onset	duration	trial_type	stimulus	response
8.033999999999999	5.0	CS+	stims2/animals/sparrow.jpg	2
19.067	4.0	CS-	stims2/tools/coathanger.jpg	2
29.116999999999997	5.0	CS+	stims2/animals/donkey.jpg	1
40.15	4.0	CS+	stims2/animals/chicken.jpg	2
49.2	4.0	CS-	stims2/tools/ducttape.jpg	2
59.25	4.5	CS-	stims2/tools/circularsaw.jpg	2
70.8	5.0	CS+	stims2/animals/dolphin.jpg	2
80.85	4.5	CS-	stims2/tools/handdrill.jpg	2
92.384	4.0	CS-	stims2/tools/hoe.jpg	2
101.417	4.0	CS+	stims2/animals/rosechafer.jpg	1
111.46700000000001	4.5	CS+	stims2/animals/moth.jpg	2
121.01700000000001	4.0	CS-	stims2/tools/drill.jpg	2
132.067	4.5	CS+	stims2/animals/bluejay.jpg	1
141.6	5.0	CS-	stims2/tools/saw.jpg	2
153.65	5.0	CS+	stims2/animals/dog.jpg	2
164.7	5.0	CS-	stims2/tools/generator.jpg	2
176.75	4.5	CS-	stims2/tools/glove.jpg	2
188.3	4.0	CS+	stims2/animals/koi.jpg	1
199.35	4.5	CS-	stims2/tools/computermouse.jpg	2
208.88299999999998	4.0	CS+	stims2/animals/peacock.jpg	1
217.933	5.0	CS-	stims2/tools/loom.jpg	2
227.967	4.5	CS+	stims2/animals/springhare.jpg	1
239.5	4.5	CS+	stims2/animals/hippo.jpg	1
250.05	5.0	CS-	stims2/tools/trowel.jpg	2
