onset	duration	trial_type	stimulus	memory_condition	encode_phase	response	low_confidence_accuracy	high_confidence_accuracy	response_time
4.033	3.0	CS+	animals/wasp.jpg	New	foil	DN	CR	CR	1.114
11.1	3.0	CS+	animals/chipmunk.jpg	Old	extinction	MO	H	M	2.0380000000000003
18.2	3.0	CS+	animals/starfish.jpg	Old	baseline	DN	M	M	1.083
25.283	3.0	CS-	tools/flashlight.jpg	New	foil	DN	CR	CR	0.879
32.35	3.0	CS+	animals/waterbuffalo.jpg	Old	acquisition	MO	H	M	1.44
39.45	3.0	CS-	tools/clamp.jpg	New	foil	MN	CR	CR	1.1540000000000001
46.533	3.0	CS-	tools/spoon.jpg	Old	extinction	MN	M	M	1.13
53.6	3.0	CS-	tools/duffelbag.jpg	Old	baseline	DN	M	M	1.252
60.7	3.0	CS+	animals/leafinsect.jpg	New	foil	DN	CR	CR	1.217
67.8	3.0	CS+	animals/rabbit.jpg	Old	extinction	DO	H	H	2.334
74.9	3.0	CS-	tools/squeegee.jpg	Old	baseline	MN	M	M	1.085
82.0	3.0	CS+	animals/slug.jpg	New	foil	DN	CR	CR	1.6669999999999998
89.1	3.0	CS-	tools/eraser.jpg	Old	extinction	DN	M	M	0.946
96.18299999999999	3.0	CS-	tools/paintroller.jpg	Old	acquisition	DN	M	M	1.035
103.28299999999999	3.0	CS-	tools/pick.jpg	New	foil	DN	CR	CR	1.212
110.35	3.0	CS-	tools/stove.jpg	Old	acquisition	DN	M	M	0.995
117.43299999999999	3.0	CS+	animals/quail.jpg	Old	acquisition	DO	H	H	1.3730000000000002
124.516	3.0	CS+	animals/dove.jpg	New	foil	MO	FA	CR	1.354
131.6	3.0	CS-	tools/snowbrush.jpg	New	foil	DN	CR	CR	1.181
138.683	3.0	CS+	animals/halibut.jpg	Old	baseline	MO	H	M	1.087
145.783	3.0	CS+	animals/cow.jpg	Old	acquisition	MO	H	M	1.232
152.85	3.0	CS+	animals/malaysianjunglenymph.jpg	New	foil	MO	FA	CR	1.525
159.95	3.0	CS-	tools/measuringdevice.jpg	Old	extinction	DN	M	M	1.936
167.05	3.0	CS-	tools/videogamecontroller.jpg	Old	baseline	DO	H	H	1.14
174.15	3.0	CS+	animals/perch.jpg	Old	baseline	MO	H	M	1.247
181.233	3.0	CS-	tools/pliers.jpg	Old	acquisition	MN	M	M	1.625
188.333	3.0	CS-	tools/rake.jpg	Old	acquisition	MN	M	M	1.8559999999999999
195.416	3.0	CS-	tools/pizzacutter.jpg	New	foil	DN	CR	CR	1.304
202.5	3.0	CS+	animals/turkey.jpg	Old	extinction	MO	H	M	1.43
209.583	3.0	CS-	tools/toaster.jpg	Old	baseline	DN	M	M	2.412
216.65	3.0	CS+	animals/tragopan.jpg	New	foil	MN	CR	CR	2.358
223.75	3.0	CS+	animals/cat.jpg	Old	baseline	DO	H	H	1.087
230.85	3.0	CS-	tools/duster.jpg	New	foil	MN	CR	CR	1.119
237.95	3.0	CS+	animals/rooster.jpg	New	foil	DN	CR	CR	1.42
245.05	3.0	CS+	animals/hummingbird.jpg	Old	acquisition	DO	H	H	0.934
252.15	3.0	CS-	tools/battery.jpg	New	foil	DN	CR	CR	2.509
259.25	3.0	CS-	tools/weedeater.jpg	Old	extinction	MN	M	M	1.796
266.33299999999997	3.0	CS+	animals/seal.jpg	Old	extinction	MO	H	M	1.2329999999999999
273.4	3.0	CS-	tools/anvil.jpg	New	foil	MN	CR	CR	1.1740000000000002
280.5	3.0	CS+	animals/beardeddragon.jpg	New	foil	DN	CR	CR	1.896
287.58299999999997	3.0	CS+	animals/brown_bear.jpg	Old	extinction	DO	H	H	2.156
295.666	3.0	CS-	tools/chisel.jpg	Old	acquisition	DN	M	M	0.794
303.75	3.0	CS-	tools/lawnmower.jpg	Old	extinction	MN	M	M	0.9990000000000001
311.83299999999997	3.0	CS+	animals/snapper.jpg	Old	acquisition	DO	H	H	0.988
