onset	duration	trial_type
4.033	15.25	animal
26.35	15.332999999999998	indoor
48.75	15.317000000000007	tool
71.133	15.334000000000005	outdoor
93.53299999999999	15.299999999999995	scrambled
111.833	6.0	rest
121.9	15.332999999999998	outdoor
144.3	15.299999999999983	animal
166.667	15.282999999999989	scrambled
189.0	15.300000000000011	tool
211.36700000000002	15.332999999999998	indoor
229.7	6.0	rest
239.75	15.300000000000011	scrambled
262.117	15.282999999999962	tool
284.467	15.333000000000027	indoor
306.867	15.332999999999972	animal
329.267	15.316000000000033	outdoor
347.583	6.0	rest
357.65	15.333000000000027	tool
380.05	15.332999999999972	scrambled
402.45	15.333000000000027	outdoor
424.85	15.332999999999972	indoor
447.25	15.300000000000011	animal
465.55	6.0	rest
