onset	duration	trial_type	stimulus	response	response_time	recognition_memory
4.033	4.5	CS-	animals/gerbil.jpg	1	0.987	MO
15.583	4.0	CS+	tools/weldinghelmet.jpg	2	1.723	MO
25.633000000000003	5.0	CS-	animals/pike.jpg	1	1.15	MO
35.683	5.0	CS-	animals/tiger.jpg	1	0.925	MO
46.733000000000004	5.0	CS+	tools/shoehorn.jpg	2	0.8340000000000001	MO
58.783	4.5	CS+	tools/hairdryer.jpg	2	0.93	MN
69.333	4.5	CS-	animals/dragonfly.jpg	1	0.9570000000000001	DO
78.883	4.5	CS+	tools/cheesegrater.jpg	2	0.888	DO
90.43299999999999	5.0	CS+	tools/ladder.jpg	2	0.7979999999999999	MO
102.48299999999999	4.5	CS-	animals/giraffe.jpg	1	0.68	MO
113.03299999999999	4.5	CS-	animals/crow.jpg	1	0.6940000000000001	
123.583	5.0	CS+	tools/ropeandpulley.jpg	2	1.143	MO
133.63299999999998	5.0	CS-	animals/angelfish.jpg	1	0.6409999999999999	MO
145.683	4.0	CS+	tools/scissors.jpg	2	0.76	MN
154.733	4.0	CS-	animals/prayingmantis.jpg	1	0.8190000000000001	MO
164.783	4.0	CS+	tools/paintroller.jpg	2	1.064	MO
175.833	4.0	CS+	tools/pliers.jpg	2	0.7170000000000001	MO
184.88299999999998	4.0	CS-	animals/baboon.jpg	1	0.634	MO
194.933	4.5	CS+	tools/gong.jpg	2	0.902	DO
204.483	5.0	CS-	animals/cow.jpg	1	0.636	MO
216.533	4.5	CS+	tools/drillbit.jpg	2	0.938	MN
228.083	4.5	CS-	animals/boar.jpg	1	0.7120000000000001	MO
237.63299999999998	4.5	CS-	animals/pelican.jpg	1	0.669	MO
249.183	4.5	CS+	tools/electricbreaker.jpg	2	0.716	DO
259.733	5.0	CS+	tools/rake.jpg	2	0.872	DO
270.783	5.0	CS-	animals/flea.jpg	1	0.79	DO
281.83299999999997	4.5	CS+	tools/faxmachine.jpg	2	0.79	MN
293.383	4.0	CS+	tools/gardenhose.jpg	2	0.727	MN
303.434	5.0	CS-	animals/waterbuffalo.jpg	1	0.542	MO
315.48400000000004	4.0	CS-	animals/herculesbeetle.jpg	1	0.6970000000000001	DO
325.534	5.0	CS+	tools/stove.jpg	2	0.9890000000000001	MO
336.584	5.0	CS-	animals/pigeon.jpg	1	1.067	DO
346.634	4.0	CS+	tools/chisel.jpg	2	1.5430000000000001	DO
356.684	4.5	CS-	animals/mole.jpg	1	1.0170000000000001	DO
366.23400000000004	5.0	CS+	tools/reflexhammer.jpg	2	1.556	DO
376.284	4.0	CS-	animals/caterpillarpeacockmoth.jpg	1	1.083	DO
385.334	4.0	CS-	animals/quail.jpg	1	1.1340000000000001	MO
396.384	4.0	CS+	tools/plunger.jpg	2	1.119	MO
405.434	4.0	CS+	tools/transmissionwrench.jpg	2	1.188	MO
414.48400000000004	4.0	CS-	animals/porcupine.jpg	1	0.912	DO
425.534	4.0	CS-	animals/leopard.jpg	1	0.838	MO
436.584	4.5	CS+	tools/rollingpin.jpg	2	1.1340000000000001	MO
447.134	4.0	CS-	animals/ostrich.jpg	1	0.835	MO
458.184	5.0	CS+	tools/wheelbarrow.jpg	2	0.997	MO
469.23400000000004	4.5	CS-	animals/snapper.jpg	1	0.735	MO
478.784	4.5	CS+	tools/plow.jpg	2	0.925	MN
488.334	5.0	CS-	animals/hummingbird.jpg	1	0.8029999999999999	DO
498.384	5.0	CS+	tools/beadingtool.jpg	2	1.858	DO
