onset	duration	trial_type	stimulus	response
8.033999999999999	4.5	CS+	stims2/tools/handdrill.jpg	2
19.584	4.0	CS-	stims2/animals/dog.jpg	1
29.634	4.0	CS+	stims2/tools/trowel.jpg	1
40.684	4.5	CS+	stims2/tools/coathanger.jpg	2
50.233999999999995	5.0	CS-	stims2/animals/bluejay.jpg	2
60.284	4.0	CS-	stims2/animals/chicken.jpg	2
70.334	5.0	CS+	stims2/tools/generator.jpg	1
81.384	5.0	CS-	stims2/animals/peacock.jpg	2
92.434	4.5	CS-	stims2/animals/koi.jpg	2
102.984	4.5	CS+	stims2/tools/drill.jpg	2
112.53399999999999	4.0	CS+	stims2/tools/loom.jpg	2
121.584	4.5	CS-	stims2/animals/donkey.jpg	2
133.134	5.0	CS+	stims2/tools/circularsaw.jpg	2
144.184	4.5	CS-	stims2/animals/springhare.jpg	2
155.734	5.0	CS+	stims2/tools/glove.jpg	2
167.78400000000002	5.0	CS-	stims2/animals/sparrow.jpg	2
178.834	4.0	CS-	stims2/animals/dolphin.jpg	2
189.88400000000001	4.0	CS+	stims2/tools/ducttape.jpg	2
198.93400000000003	4.0	CS-	stims2/animals/rosechafer.jpg	2
207.984	5.0	CS+	stims2/tools/saw.jpg	2
218.03400000000002	4.5	CS-	stims2/animals/hippo.jpg	2
227.584	4.5	CS+	stims2/tools/hoe.jpg	2
239.13400000000001	4.0	CS+	stims2/tools/computermouse.jpg	2
250.18400000000003	5.0	CS-	stims2/animals/moth.jpg	2
