stimulus	source_memory	typicality	trial_type	encode_phase	recognition_memory	trial_number
tools/routerplane.jpg	1	1	CS-	acquisition	MO	17
tools/hammer.jpg	3	6	CS-	extinction	MN	8
tools/solderingtorch.jpg	3	1	CS-	extinction	MN	4
tools/edger.jpg	2	5	CS-	extinction	DN	9
animals/elephantafrican.jpg	3	6	CS+	extinction	DO	20
animals/starfish.jpg	2	5	CS+	extinction	DO	4
animals/carp.jpg	3	7	CS+	acquisition	DO	14
animals/pigeon.jpg	3	4	CS+	baseline	DO	16
animals/shrimp.jpg	1	4	CS+	extinction	DN	7
tools/sparkplug.jpg	1	4	CS-	acquisition	MO	15
animals/cat.jpg	3	7	CS+	extinction	MO	2
tools/ropeandpulley.jpg	1	3	CS-	baseline	MO	6
animals/brown_bear.jpg	2	5	CS+	acquisition	DO	13
animals/snapper.jpg	1	4	CS+	baseline	MN	24
tools/viceclamp.jpg	2	2	CS-	acquisition	MO	10
tools/blower.jpg	3	5	CS-	extinction	MN	17
animals/chipmunk.jpg	2	5	CS+	acquisition	MN	20
tools/measuringtape.jpg	1	5	CS-	extinction	MO	15
animals/caterpillarpeacockmoth.jpg	2	2	CS+	baseline	DO	17
tools/benchdogs.jpg	3	1	CS-	acquisition		5
tools/faxmachine.jpg	2	3	CS-	baseline	DN	5
animals/llama.jpg	3	2	CS+	extinction	MO	1
tools/gardenhose.jpg	1	5	CS-	baseline	DN	8
tools/ladder.jpg	2	4	CS-	baseline	DN	1
animals/mouse.jpg	2	4	CS+	acquisition	DO	22
tools/videogamecontroller.jpg	3	6	CS-	extinction	DO	10
tools/thermometer.jpg	1	5	CS-	acquisition	DN	7
animals/pike.jpg	1	4	CS+	baseline	MO	20
animals/anteater.jpg	3	1	CS+	acquisition	MO	15
tools/blackboard.jpg	2	4	CS-	acquisition	MO	2
animals/porcupine.jpg	1	3	CS+	baseline	DO	21
tools/microwave.jpg	2	6	CS-	extinction	DN	24
animals/catfish.jpg	2	3	CS+	acquisition	MO	8
tools/weedeater.jpg	3	4	CS-	acquisition	DO	19
tools/paintroller.jpg	1	5	CS-	baseline	MN	15
animals/marmot.jpg	3	2	CS+	extinction	DO	16
animals/shark.jpg	1	4	CS+	acquisition	DN	1
tools/drillbit.jpg	1	3	CS-	baseline	DN	10
tools/rake.jpg	2	4	CS-	baseline	DO	2
animals/goldfish.jpg	3	5	CS+	extinction	DO	17
animals/crow.jpg	1	4	CS+	baseline	MO	6
animals/tiger.jpg	3	6	CS+	baseline	MO	14
tools/paintbrush.jpg	1	5	CS-	extinction	DN	18
tools/spoon.jpg	2	7	CS-	acquisition	MO	9
animals/gerbil.jpg	2	5	CS+	baseline	DO	3
animals/partridge.jpg	3	1	CS+	acquisition	MN	11
tools/hairdryer.jpg	1	5	CS-	baseline	MO	11
animals/cricket.jpg	2	3	CS+	extinction	DO	15
animals/flea.jpg	1	1	CS+	baseline	MN	7
animals/waterbuffalo.jpg	3	3	CS+	baseline	MO	9
animals/quail.jpg	1	2	CS+	baseline	DN	15
animals/prayingmantis.jpg	2	1	CS+	baseline	MO	8
animals/leopard.jpg	3	4	CS+	baseline	MO	19
animals/mole.jpg	1	1	CS+	baseline	MO	23
animals/boar.jpg	2	2	CS+	baseline	DO	12
animals/herculesbeetle.jpg	1	1	CS+	baseline	DO	1
animals/mink.jpg	3	1	CS+	acquisition	DO	4
animals/palmcockatoo.jpg	3	1	CS+	acquisition	MO	16
animals/seal.jpg	1	2	CS+	acquisition	MO	23
animals/sheep.jpg	3	2	CS+	acquisition	MO	7
animals/turkey.jpg	1	2	CS+	acquisition	MN	12
animals/mahimahi.jpg	2	1	CS+	acquisition	DN	10
animals/dramaderry.jpg	3	1	CS+	acquisition	MO	18
animals/firebug.jpg	2	3	CS+	acquisition	DO	3
animals/aardvark.jpg	3	1	CS+	extinction	MO	18
animals/hyena.jpg	3	1	CS+	extinction	MO	5
animals/racoon.jpg	1	2	CS+	extinction	MO	9
animals/flamingo.jpg	3	1	CS+	extinction	DO	24
animals/canary.jpg	1	4	CS+	extinction	DO	3
animals/horse.jpg	3	6	CS+	extinction	MN	11
animals/zebra.jpg	3	6	CS+	extinction	DO	10
animals/finch.jpg	2	3	CS+	extinction	MO	8
tools/plunger.jpg	2	6	CS-	baseline	DO	22
tools/plow.jpg	3	1	CS-	baseline	MN	14
tools/chisel.jpg	1	1	CS-	baseline	DN	3
tools/rollingpin.jpg	3	2	CS-	baseline	DO	19
tools/scissors.jpg	2	7	CS-	baseline	DO	21
tools/reflexhammer.jpg	1	3	CS-	baseline	DO	17
tools/gong.jpg	2	1	CS-	baseline		24
tools/wheelbarrow.jpg	2	4	CS-	baseline	DO	12
tools/sander.jpg	1	1	CS-	acquisition	DN	3
tools/fan.jpg	2	6	CS-	acquisition	DN	6
tools/measuringdevice.jpg	1	1	CS-	acquisition	MN	13
tools/ruler.jpg	2	7	CS-	acquisition	MN	11
tools/pruner.jpg	3	4	CS-	acquisition	MN	1
tools/eraser.jpg	2	5	CS-	acquisition	DN	21
tools/beaker.jpg	3	6	CS-	acquisition	MO	22
tools/woodchipper.jpg	1	1	CS-	acquisition	DN	16
tools/padlock.jpg	2	5	CS-	extinction	MO	3
tools/toaster.jpg	1	5	CS-	extinction	DN	21
tools/carpetblower.jpg	2	3	CS-	extinction	DO	19
tools/extensioncord.jpg	1	3	CS-	extinction	DN	7
tools/treadmill.jpg	1	5	CS-	extinction	DO	11
tools/airpump.jpg	1	1	CS-	extinction	DN	14
tools/monkeywrench.jpg	2	4	CS-	extinction	MO	20
tools/workbench.jpg	2	1	CS-	extinction	DN	2
animals/dragonfly.jpg	3	1	CS+	baseline	DN	22
animals/cow.jpg	1	7	CS+	baseline	MO	2
animals/angelfish.jpg	1	3	CS+	baseline	DN	11
animals/pelican.jpg	2	3	CS+	baseline	DO	4
animals/giraffe.jpg	1	4	CS+	baseline	MN	18
animals/baboon.jpg	2	5	CS+	baseline	DO	10
animals/hummingbird.jpg	1	2	CS+	baseline	MN	13
animals/ostrich.jpg	3	1	CS+	baseline	DO	5
animals/snail.jpg	2	3	CS+	acquisition	MO	6
animals/ant.jpg	2	3	CS+	acquisition	MO	5
animals/herring.jpg	2	6	CS+	acquisition	MO	9
animals/camel.jpg	3	3	CS+	acquisition	MO	24
animals/baldeagle.jpg	1	6	CS+	acquisition	DN	2
animals/duck.jpg	1	3	CS+	acquisition	MO	19
animals/rabbit.jpg	2	4	CS+	acquisition	DO	17
animals/assassinbug.jpg	2	3	CS+	acquisition	MO	21
animals/skunk.jpg	1	3	CS+	extinction	MO	19
animals/salmon.jpg	1	6	CS+	extinction	MO	22
animals/reindeer.jpg	2	3	CS+	extinction	DN	6
animals/perch.jpg	1	1	CS+	extinction	DO	12
animals/caterpillarhawkmoth.jpg	2	1	CS+	extinction	MO	21
animals/rhino.jpg	3	3	CS+	extinction	MO	23
animals/halibut.jpg	1	1	CS+	extinction	MO	14
animals/cranebug.jpg	2	1	CS+	extinction	MO	13
tools/electricbreaker.jpg	1	3	CS-	baseline	MN	18
tools/weldinghelmet.jpg	1	1	CS-	baseline	DO	20
tools/beadingtool.jpg	1	1	CS-	baseline	DO	7
tools/stove.jpg	2	2	CS-	baseline	MO	4
tools/shoehorn.jpg	2	1	CS-	baseline	DN	13
tools/transmissionwrench.jpg	1	1	CS-	baseline	DN	16
tools/pliers.jpg	3	5	CS-	baseline	MO	23
tools/cheesegrater.jpg	1	6	CS-	baseline	MN	9
tools/vegetablepeeler.jpg	2	3	CS-	acquisition	MN	12
tools/lawnmower.jpg	2	6	CS-	acquisition	DN	18
tools/wrench.jpg	1	7	CS-	acquisition	MO	4
tools/measuringcups.jpg	3	6	CS-	acquisition	MO	24
tools/mallet.jpg	1	1	CS-	acquisition	DN	23
tools/levelmount.jpg	2	1	CS-	acquisition	DN	14
tools/tubeflaring.jpg	1	2	CS-	acquisition	DN	20
tools/broom.jpg	1	6	CS-	acquisition	MO	8
tools/bucket.jpg	3	7	CS-	extinction	MO	6
tools/campingstove.jpg	1	1	CS-	extinction	DN	16
tools/squeegee.jpg	2	1	CS-	extinction	MO	22
tools/screwdriver.jpg	1	6	CS-	extinction	DO	5
tools/camera.jpg	1	1	CS-	extinction	DN	13
tools/jumpercables.jpg	1	5	CS-	extinction	DN	23
tools/duffelbag.jpg	2	5	CS-	extinction	MO	1
tools/chainsaw.jpg	2	5	CS-	extinction	MO	12
