stimulus	source_memory	typicality	trial_type	encode_phase	recognition_memory	trial_number
tools/extensioncord.jpg	2	5	CS-	baseline	DO	7
animals/aardvark.jpg	3	2	CS+	baseline	MO	11
tools/mallet.jpg	1	4	CS-	extinction	MN	24
tools/monkeywrench.jpg	3	6	CS-	baseline	MO	18
tools/fan.jpg	2	3	CS-	extinction	MO	12
tools/spoon.jpg	1	4	CS-	extinction	MO	21
animals/shark.jpg	2	5	CS+	extinction	MO	23
animals/dramaderry.jpg	1	4	CS+	extinction	MO	9
animals/ant.jpg	2	3	CS+	extinction	DO	14
tools/hammer.jpg	3	7	CS-	baseline	MO	10
animals/pelican.jpg	2	3	CS+	acquisition	MO	22
animals/porcupine.jpg	1	2	CS+	acquisition	DO	17
animals/goldfish.jpg	1	5	CS+	baseline	MO	20
animals/elephantafrican.jpg	2	6	CS+	baseline	DO	16
animals/snapper.jpg	3	3	CS+	acquisition	MN	12
tools/plow.jpg	3	3	CS-	acquisition	MN	20
tools/sparkplug.jpg	2	4	CS-	extinction	MO	1
animals/giraffe.jpg	2	6	CS+	acquisition	DO	20
tools/wheelbarrow.jpg	1	5	CS-	acquisition	MO	19
tools/workbench.jpg	3	2	CS-	baseline	MN	8
animals/gerbil.jpg	3	6	CS+	acquisition	DO	2
animals/waterbuffalo.jpg	3	3	CS+	acquisition	DO	7
tools/plunger.jpg	1	5	CS-	acquisition	MO	22
tools/chainsaw.jpg	2	6	CS-	baseline	DO	23
animals/mouse.jpg	3	6	CS+	extinction	MO	2
animals/ostrich.jpg	2	4	CS+	acquisition	DO	4
animals/baldeagle.jpg	2	5	CS+	extinction	MO	4
tools/electricbreaker.jpg	1	1	CS-	acquisition	MO	12
tools/ropeandpulley.jpg	1	1	CS-	acquisition	MO	2
tools/cheesegrater.jpg	3	3	CS-	acquisition	MO	17
tools/campingstove.jpg	1	1	CS-	baseline	MO	24
animals/anteater.jpg	3	3	CS+	extinction	MO	10
animals/salmon.jpg	3	3	CS+	baseline	MO	21
tools/toaster.jpg	3	5	CS-	baseline	MN	14
animals/perch.jpg	1	3	CS+	baseline	MO	18
animals/shrimp.jpg	1	2	CS+	baseline	DO	15
animals/tiger.jpg	2	7	CS+	acquisition	DO	23
tools/lawnmower.jpg	3	5	CS-	extinction	MO	11
animals/duck.jpg	3	4	CS+	extinction	MN	22
tools/gong.jpg	1	2	CS-	acquisition	MN	8
tools/pruner.jpg	2	4	CS-	extinction	MN	17
animals/llama.jpg	3	4	CS+	baseline	MO	8
animals/finch.jpg	2	2	CS+	baseline	MO	13
tools/ladder.jpg	2	6	CS-	acquisition	DO	1
tools/thermometer.jpg	1	3	CS-	extinction	DO	15
tools/squeegee.jpg	1	3	CS-	baseline	DO	4
animals/camel.jpg	1	5	CS+	extinction	MO	13
tools/benchdogs.jpg	1	1	CS-	extinction	MN	8
animals/hummingbird.jpg	2	3	CS+	acquisition	MO	13
animals/quail.jpg	3	2	CS+	acquisition	MN	18
animals/angelfish.jpg	2	4	CS+	acquisition	MO	24
animals/crow.jpg	1	6	CS+	acquisition	MO	10
animals/leopard.jpg	3	7	CS+	acquisition	DO	3
animals/pigeon.jpg	2	6	CS+	acquisition	MO	6
animals/baboon.jpg	2	3	CS+	acquisition	DO	8
animals/dragonfly.jpg	1	3	CS+	acquisition	MO	15
animals/turkey.jpg	3	3	CS+	extinction	MO	3
animals/brown_bear.jpg	1	6	CS+	extinction	MO	18
animals/seal.jpg	1	5	CS+	extinction	MO	21
animals/assassinbug.jpg	3	2	CS+	extinction	MN	11
animals/mink.jpg	2	5	CS+	extinction	MN	6
animals/carp.jpg	1	6	CS+	extinction	MN	20
animals/chipmunk.jpg	3	6	CS+	extinction	MO	8
animals/catfish.jpg	3	3	CS+	extinction	MO	7
animals/zebra.jpg	1	7	CS+	baseline	DO	1
animals/cricket.jpg	1	6	CS+	baseline	DO	5
animals/cranebug.jpg	2	3	CS+	baseline	DO	6
animals/racoon.jpg	3	6	CS+	baseline	MO	3
animals/starfish.jpg	1	4	CS+	baseline	MO	19
animals/halibut.jpg	3	3	CS+	baseline	MO	4
animals/hyena.jpg	1	4	CS+	baseline	DO	7
animals/marmot.jpg	3	6	CS+	baseline	DO	22
tools/rollingpin.jpg	1	5	CS-	acquisition	MN	13
tools/shoehorn.jpg	3	2	CS-	acquisition	MN	5
tools/transmissionwrench.jpg	3	5	CS-	acquisition	MN	24
tools/faxmachine.jpg	2	6	CS-	acquisition	MN	9
tools/weldinghelmet.jpg	1	2	CS-	acquisition	DN	23
tools/gardenhose.jpg	3	5	CS-	acquisition	MN	6
tools/drillbit.jpg	2	4	CS-	acquisition	MO	11
tools/stove.jpg	1	2	CS-	acquisition	MN	21
tools/blackboard.jpg	2	4	CS-	extinction	MN	20
tools/wrench.jpg	3	7	CS-	extinction	MO	22
tools/vegetablepeeler.jpg	3	4	CS-	extinction	MN	6
tools/routerplane.jpg	1	1	CS-	extinction	MO	7
tools/sander.jpg	2	1	CS-	extinction	MN	18
tools/ruler.jpg	2	6	CS-	extinction	DO	3
tools/measuringdevice.jpg	3	3	CS-	extinction	MN	10
tools/viceclamp.jpg	3	2	CS-	extinction	MN	16
tools/solderingtorch.jpg	1	4	CS-	baseline	MO	15
tools/jumpercables.jpg	1	6	CS-	baseline	DO	16
tools/camera.jpg	1	1	CS-	baseline	DO	11
tools/screwdriver.jpg	3	6	CS-	baseline	MO	20
tools/measuringtape.jpg	3	6	CS-	baseline	MO	21
tools/microwave.jpg	3	6	CS-	baseline	DO	12
tools/treadmill.jpg	3	4	CS-	baseline	DO	17
tools/duffelbag.jpg	1	3	CS-	baseline	DO	1
animals/flea.jpg	2	1	CS+	acquisition	DO	9
animals/boar.jpg	2	5	CS+	acquisition	DO	1
animals/mole.jpg	2	3	CS+	acquisition	MO	5
animals/pike.jpg	1	3	CS+	acquisition	MO	11
animals/prayingmantis.jpg	2	4	CS+	acquisition	DO	19
animals/caterpillarpeacockmoth.jpg	2	1	CS+	acquisition	DO	16
animals/herculesbeetle.jpg	3	3	CS+	acquisition	DO	21
animals/cow.jpg	1	7	CS+	acquisition	MO	14
animals/rabbit.jpg	1	6	CS+	extinction	MO	24
animals/sheep.jpg	3	5	CS+	extinction	MN	19
animals/partridge.jpg	1	1	CS+	extinction	MN	12
animals/herring.jpg	3	5	CS+	extinction	DO	5
animals/palmcockatoo.jpg	1	1	CS+	extinction	MO	15
animals/mahimahi.jpg	3	1	CS+	extinction	DO	16
animals/snail.jpg	3	5	CS+	extinction	MO	1
animals/firebug.jpg	3	3	CS+	extinction	MO	17
animals/cat.jpg	3	7	CS+	baseline	DO	23
animals/horse.jpg	2	7	CS+	baseline	MN	24
animals/flamingo.jpg	3	4	CS+	baseline	DO	17
animals/canary.jpg	1	4	CS+	baseline	DO	14
animals/reindeer.jpg	3	3	CS+	baseline	MO	9
animals/rhino.jpg	2	5	CS+	baseline	DO	2
animals/caterpillarhawkmoth.jpg	2	1	CS+	baseline	DO	12
animals/skunk.jpg	1	5	CS+	baseline	DO	10
tools/scissors.jpg	1	7	CS-	acquisition	DO	4
tools/pliers.jpg	3	6	CS-	acquisition	MO	10
tools/reflexhammer.jpg	1	1	CS-	acquisition	MO	3
tools/paintroller.jpg	1	4	CS-	acquisition	MN	16
tools/rake.jpg	1	5	CS-	acquisition	DO	15
tools/hairdryer.jpg	3	4	CS-	acquisition	MN	18
tools/beadingtool.jpg	1	1	CS-	acquisition	MO	7
tools/chisel.jpg	3	2	CS-	acquisition	MO	14
tools/weedeater.jpg	1	3	CS-	extinction	MN	5
tools/tubeflaring.jpg	2	1	CS-	extinction	MN	19
tools/woodchipper.jpg	2	1	CS-	extinction	MN	13
tools/broom.jpg	3	5	CS-	extinction	MO	14
tools/eraser.jpg	1	5	CS-	extinction	MO	9
tools/measuringcups.jpg	3	4	CS-	extinction	DN	4
tools/beaker.jpg	3	5	CS-	extinction	MO	2
tools/levelmount.jpg	2	1	CS-	extinction	MN	23
tools/carpetblower.jpg	2	2	CS-	baseline	MO	19
tools/padlock.jpg	1	6	CS-	baseline	DO	5
tools/blower.jpg	1	5	CS-	baseline	DO	13
tools/paintbrush.jpg	3	5	CS-	baseline	MO	22
tools/videogamecontroller.jpg	1	3	CS-	baseline	DO	2
tools/edger.jpg	2	2	CS-	baseline	MN	9
