onset	duration	trial_type	stimulus	response	response_time	recognition_memory
4.05	5.0	CS-	tools/duffelbag.jpg	2	1.344	DO
14.133	4.5	CS+	animals/zebra.jpg	1	0.642	DO
23.715999999999998	4.5	CS-	tools/videogamecontroller.jpg	2	0.789	DO
34.3	4.5	CS-	tools/bucket.jpg	2	0.985	MO
44.883	4.5	CS+	animals/rhino.jpg	1	0.853	DO
54.466	4.0	CS+	animals/racoon.jpg	1	0.708	MO
63.55	4.0	CS-	tools/squeegee.jpg	2	0.764	DO
74.633	4.0	CS+	animals/halibut.jpg	1	0.946	MO
84.71600000000001	4.5	CS+	animals/cricket.jpg	1	0.9670000000000001	DO
96.3	4.0	CS-	tools/padlock.jpg	2	0.85	DO
105.383	4.0	CS-	tools/airpump.jpg	2	1.0090000000000001	MO
114.45	4.0	CS+	animals/cranebug.jpg	1	0.8	DO
124.53299999999999	4.5	CS-	tools/extensioncord.jpg	2	0.8240000000000001	DO
136.116	5.0	CS+	animals/hyena.jpg	1	0.948	DO
147.2	5.0	CS-	tools/workbench.jpg	2	0.7609999999999999	MN
159.283	4.5	CS+	animals/llama.jpg	1	0.865	MO
168.85	5.0	CS+	animals/reindeer.jpg	1	0.802	MO
180.933	5.0	CS-	tools/edger.jpg	2	0.684	MN
193.016	5.0	CS+	animals/skunk.jpg	1	0.7290000000000001	DO
204.083	4.5	CS-	tools/hammer.jpg	2	0.9109999999999999	MO
214.65	4.0	CS+	animals/aardvark.jpg	1	0.862	MO
224.733	4.5	CS-	tools/camera.jpg	2	0.596	DO
234.3	5.0	CS-	tools/microwave.jpg	2	0.665	DO
246.36599999999999	4.5	CS+	animals/caterpillarhawkmoth.jpg	1	1.056	DO
257.95	4.0	CS+	animals/finch.jpg	1	0.705	MO
268.033	4.0	CS-	tools/blower.jpg	2	0.706	DO
279.1	4.5	CS+	animals/canary.jpg	1	0.903	DO
289.666	4.0	CS+	animals/shrimp.jpg	1	0.8240000000000001	DO
299.75	5.0	CS-	tools/toaster.jpg	2	0.892	MN
309.816	5.0	CS-	tools/solderingtorch.jpg	2	0.7090000000000001	MO
319.9	5.0	CS+	animals/elephantafrican.jpg	1	0.6970000000000001	DO
329.983	4.5	CS-	tools/jumpercables.jpg	2	0.9570000000000001	DO
340.55	4.0	CS+	animals/flamingo.jpg	1	0.606	DO
351.63300000000004	4.0	CS-	tools/treadmill.jpg	2	0.6859999999999999	DO
362.7	5.0	CS+	animals/perch.jpg	1	0.782	MO
372.76599999999996	5.0	CS-	tools/monkeywrench.jpg	2	0.65	MO
382.833	4.0	CS-	tools/carpetblower.jpg	2	1.141	MO
391.916	5.0	CS+	animals/starfish.jpg	1	1.003	MO
404.0	5.0	CS+	animals/goldfish.jpg	1	1.145	MO
414.083	4.0	CS-	tools/screwdriver.jpg	2	0.725	MO
425.15	4.5	CS-	tools/measuringtape.jpg	2	0.669	MO
436.716	4.5	CS+	animals/salmon.jpg	1	0.818	MO
448.3	4.0	CS-	tools/paintbrush.jpg	2	0.804	MO
458.38300000000004	5.0	CS+	animals/marmot.jpg	1	0.725	DO
469.467	4.5	CS-	tools/chainsaw.jpg	2	0.672	DO
480.05	4.5	CS+	animals/cat.jpg	1	0.66	DO
490.61699999999996	5.0	CS-	tools/campingstove.jpg	2	1.063	MO
500.7	4.0	CS+	animals/horse.jpg	1	0.631	MN
