onset	duration	trial_type	stimulus	response
8.033	4.5	CS-	stims2/tools/circularsaw.jpg	1
19.6	4.5	CS+	stims2/animals/dolphin.jpg	1
31.166	5.0	CS+	stims2/animals/koi.jpg	2
43.233000000000004	5.0	CS+	stims2/animals/sparrow.jpg	1
53.3	4.5	CS-	stims2/tools/handdrill.jpg	1
64.867	4.0	CS-	stims2/tools/saw.jpg	2
73.933	4.5	CS+	stims2/animals/chicken.jpg	2
85.51700000000001	4.0	CS-	stims2/tools/computermouse.jpg	2
95.6	4.0	CS-	stims2/tools/glove.jpg	2
105.68299999999999	4.0	CS+	stims2/animals/rosechafer.jpg	2
115.76700000000001	4.5	CS+	stims2/animals/springhare.jpg	2
125.35	5.0	CS-	stims2/tools/drill.jpg	2
135.417	4.0	CS+	stims2/animals/hippo.jpg	2
145.483	4.5	CS-	stims2/tools/hoe.jpg	2
155.067	4.0	CS+	stims2/animals/dog.jpg	2
165.13299999999998	5.0	CS-	stims2/tools/coathanger.jpg	2
176.2	5.0	CS-	stims2/tools/trowel.jpg	2
188.267	4.5	CS+	stims2/animals/donkey.jpg	2
197.833	4.0	CS-	stims2/tools/ducttape.jpg	2
206.917	5.0	CS+	stims2/animals/bluejay.jpg	2
219.0	5.0	CS-	stims2/tools/generator.jpg	2
230.067	4.0	CS+	stims2/animals/peacock.jpg	2
239.13299999999998	5.0	CS+	stims2/animals/moth.jpg	2
251.217	4.5	CS-	stims2/tools/loom.jpg	2
