subject,phase,trial,group,scr,condition,raw,half,quarter
5,renewal,6,control,0,CS-,0,2,6
5,renewal,7,control,0,CS-,0,2,6
5,renewal,8,control,0,CS-,0,2,6
5,renewal,9,control,0,CS-,0,2,6
5,renewal,10,control,0,CS-,0,2,6
5,renewal,11,control,0,CS-,0,2,6
5,renewal,12,control,0,CS-,0,2,6
6,renewal,1,control,0,CS+,0,1,5
6,renewal,2,control,0,CS+,0,1,5
6,renewal,3,control,0,CS+,0,1,5
6,renewal,4,control,0,CS+,0,1,5
6,renewal,5,control,0,CS+,0,2,6
6,renewal,6,control,0,CS+,0,2,6
6,renewal,7,control,0,CS+,0,2,6
6,renewal,8,control,0,CS+,0,2,6
6,renewal,9,control,0,CS+,0,2,6
6,renewal,10,control,0,CS+,0,2,6
6,renewal,11,control,0,CS+,0,2,6
6,renewal,12,control,0,CS+,0,2,6
6,renewal,1,control,0,CS-,0,1,5
6,renewal,2,control,0,CS-,0,1,5
6,renewal,3,control,0,CS-,0,1,5
6,renewal,4,control,0,CS-,0,1,5
6,renewal,5,control,0,CS-,0,2,6
6,renewal,6,control,0,CS-,0,2,6
6,renewal,7,control,0,CS-,0,2,6
6,renewal,8,control,0,CS-,0,2,6
6,renewal,9,control,0,CS-,0,2,6
6,renewal,10,control,0,CS-,0,2,6
6,renewal,11,control,0,CS-,0,2,6
6,renewal,12,control,0,CS-,0,2,6
7,renewal,1,control,0,CS+,0,1,5
7,renewal,2,control,0,CS+,0,1,5
7,renewal,3,control,0,CS+,0,1,5
7,renewal,4,control,0,CS+,0,1,5
7,renewal,5,control,0,CS+,0,2,6
7,renewal,6,control,0,CS+,0,2,6
7,renewal,7,control,0,CS+,0,2,6
7,renewal,8,control,0,CS+,0,2,6
7,renewal,9,control,0,CS+,0,2,6
7,renewal,10,control,0,CS+,0,2,6
7,renewal,11,control,0,CS+,0,2,6
7,renewal,12,control,0,CS+,0,2,6
7,renewal,1,control,0,CS-,0,1,5
7,renewal,2,control,0,CS-,0,1,5
7,renewal,3,control,0,CS-,0,1,5
7,renewal,4,control,0,CS-,0,1,5
7,renewal,5,control,0,CS-,0,2,6
7,renewal,6,control,0,CS-,0,2,6
7,renewal,7,control,0,CS-,0,2,6
7,renewal,8,control,0,CS-,0,2,6
7,renewal,9,control,0,CS-,0,2,6
7,renewal,10,control,0,CS-,0,2,6
7,renewal,11,control,0,CS-,0,2,6
7,renewal,12,control,0,CS-,0,2,6
8,renewal,1,control,0.801872808,CS+,0.643,1,5
8,renewal,2,control,0.442718872,CS+,0.196,1,5
8,renewal,3,control,0,CS+,0,1,5
8,renewal,4,control,0,CS+,0,1,5
8,renewal,5,control,0.558569602,CS+,0.312,2,6
8,renewal,6,control,0,CS+,0,2,6
8,renewal,7,control,0.709224929,CS+,0.503,2,6
8,renewal,8,control,0,CS+,0,2,6
8,renewal,9,control,0,CS+,0,2,6
8,renewal,10,control,0,CS+,0,2,6
8,renewal,11,control,0,CS+,0,2,6
8,renewal,12,control,0.490917508,CS+,0.241,2,6
8,renewal,1,control,1.347219359,CS-,1.815,1,5
8,renewal,2,control,0,CS-,0,1,5
8,renewal,3,control,0.782943165,CS-,0.613,1,5
8,renewal,4,control,0,CS-,0,1,5
8,renewal,5,control,0,CS-,0,2,6
8,renewal,6,control,0,CS-,0,2,6
8,renewal,7,control,0,CS-,0,2,6
8,renewal,8,control,0.798122798,CS-,0.637,2,6
8,renewal,9,control,0,CS-,0,2,6
8,renewal,10,control,0,CS-,0,2,6
8,renewal,11,control,0,CS-,0,2,6
8,renewal,12,control,0,CS-,0,2,6
9,renewal,1,control,1.019803903,CS+,1.04,1,5
9,renewal,2,control,0.837257428,CS+,0.701,1,5
9,renewal,3,control,0.570964097,CS+,0.326,1,5
9,renewal,4,control,0.82097503,CS+,0.674,1,5
9,renewal,5,control,0.808702665,CS+,0.654,2,6
9,renewal,6,control,0,CS+,0,2,6
9,renewal,7,control,0,CS+,0,2,6
9,renewal,8,control,0,CS+,0,2,6
9,renewal,9,control,0,CS+,0,2,6
9,renewal,10,control,0.594978991,CS+,0.354,2,6
9,renewal,11,control,0.46151923,CS+,0.213,2,6
9,renewal,12,control,0,CS+,0,2,6
9,renewal,1,control,0.999499875,CS-,0.999,1,5
9,renewal,2,control,0.467974358,CS-,0.219,1,5
9,renewal,3,control,0.925742945,CS-,0.857,1,5
9,renewal,4,control,0.857904424,CS-,0.736,1,5
9,renewal,5,control,0.635609943,CS-,0.404,2,6
9,renewal,6,control,0.708519583,CS-,0.502,2,6
9,renewal,7,control,0.581377674,CS-,0.338,2,6
9,renewal,8,control,0,CS-,0,2,6
9,renewal,9,control,0,CS-,0,2,6
9,renewal,10,control,0.608276253,CS-,0.37,2,6
