Phase,Subjects,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Conditioning,5,0,1.231,0,2.203,0.674,0.262,0.445,0.895,0,2.269,1.205,0,0.508,0.703,0.387,0.376,0,2.395,0,0.65,0,0.837,0.833,0.491,0.328,1.958,0,0.498,0,0,0.419,1.801,0,0.949,0,0.608,1.531,0,0,1.663,0,0,1.269,0,0.999,0,1.608,0
Conditioning,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conditioning,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conditioning,8,0.523,0,0,0,0,0,0.309,0,0.311,0,0,0,0.317,0.547,0,0,0,0.402,0,0,0,0,0,0,0,0,0,0,0,0.665,0,0.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conditioning,9,2.434,0.733,0.83,1.51,0.271,0,0,1.1,0,0,1.336,0.259,0,0.971,0.889,0,0.675,0.241,0,0,0,0.837,0.63,0,0,0,0.717,0.344,0.733,0.964,0.9,0,0.257,1.008,0.987,0,2,0.238,0,0,0,0,0,0,0.843,0.958,0,0
Conditioning,10,0.314,0,0.431,0,0,0,0,0.234,0,0,0,0,0.36,0,0,0,0,0.726,0,0.422,0,0.522,0,0.318,0,0,0,0,0.218,0.257,0,0,0,0,0,0,0,0,0,0,0,0,0.367,0,0,0.54,0.262,0
Conditioning,12,0,0,0.561,0.914,0,0,0,0,0,1.283,0,0,0.492,0,0.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conditioning,13,1.426,0,2.183,0.224,0.927,0.271,1.177,1.896,1.571,3.302,0.386,1.138,0,1.878,0.682,2.017,1.773,3.201,0,0.378,0,0.86,1.565,1.417,0.656,0.851,1.416,1.499,0,0.485,1.475,2.37,0.929,0.808,0.926,0.411,1.952,0,0.668,2.233,0,0.941,1.894,0,0.361,0.92,0,0
Conditioning,14,0,1.211,1.312,1.313,0,0,0.415,0,0,0.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conditioning,15,0.402,0.428,0.48,0.205,0,0,0,0,0,0,0,0,0,0,0.216,0,0,0.296,0,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0
Conditioning,16,0,0.607,0.738,0,0,0,0,0.556,0,0.783,0,0,0,0,0.703,0,0,0,0,0.604,0,0.852,0,0,0,0,0,0,0.482,0,0,0,0,0,0,0.942,0,0,0,0,0,0,1.828,0,0,0,0,0
Conditioning,17,0.584,0.953,0.888,0,0,0,0.233,0,0,2.261,1.737,0.521,0,0,0,0,0,2.194,0,0,0,0,1.867,0,0.666,2.085,0,0,0,0.883,0,2.911,0,0,0,0,2.137,0,0,0,0.325,0,0,0,0,0,0,0
Conditioning,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conditioning,19,0.318,0,1.007,0.372,0,0,0.344,0,0,1.409,0.321,0,0,0,0,0,0,2.728,0,0.334,0,0,0,0,0,0.302,0,0,0,0,0,0.289,0,0,0,0,0.27,0,0,0.257,0,0,0.242,0,0,0,0.25,0
Conditioning,20,0,0,0,0,0,0,0,0,0,0,0,0,0.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conditioning,21,1.042,0.802,1.361,0,0,0.732,0,0,0,0.912,0,0,0.657,0.341,0.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conditioning,23,0,0,0.502,0.218,0,0,0,0,0,2.052,0.227,0,0,0,0,0,0.207,0,0,0,0,0,0,0.779,0,1.033,0.807,0,0.247,0,0,0.279,0,0.666,0,0.503,0,0,0.372,0.932,0,0,0.245,0,0,0,0.628,0
Conditioning,24,0.837,1.336,0.65,1.423,0.477,1.248,0.563,0.486,0.535,0.645,0.827,0,0.2055,0,2.789,0,0.451,1.138,0,2.305,0,2.702,1.623,0,0,0,0,0.3,0.346,0.531,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0
Conditioning,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conditioning,26,5.473,6.668,7.264,5.082,0.437,1.702,3.076,0,0,0.595,1.589,0,0.581,0,2.148,0,0,0.401,0,1.007,0,1.362,0,0,0,1.173,0,0,4.585,5.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conditioning,101,0.86,0,0,0.822,0,0.271,0,0,0,0.741,0.674,0,0.201,0,0,0,0,0.592,0,0.57,0,0.305,0,0,0.456,0.665,0,0,0,0,0,0.585,0,0,0,0,0.598,0,0,0.63,0,0,0.588,0,0,0,0.61,0
Conditioning,102,1.708,0,0,1.986,0,0,0,0,0,2.18,1.997,0,0,0,0,0,0,1.994,0,1.995,0,0,0,0,0,2.059,0,0,0.73,0,0,2.099,0,0,0,1.049,2.03,0,0,2.056,0,0,2.09,0,0,0,2.035,0
Conditioning,103,0.328,0,0,0.355,0,0,0,0,0,0.34,0.34,0,0,0,0,0,0,0.323,0,0.314,0,0,0,0,0,0.312,0,0,0,0,0,0.299,0,0,0,0,0.299,0,0,0.292,0,0,0.297,0,0,0,0.292,0
Conditioning,104,1.513,0.639,0.956,2.442,0,0.411,0.686,0.852,1.318,1.817,1.553,0,0,0,0.798,1.133,0,0.961,0,1.017,0,0,0.245,0,2.104,1.242,0,0,0,0,1.208,1.782,0,0,0.305,0.941,1.651,0,0,1.107,0,0,1.037,0,0,0,0.956,0
Conditioning,105,0,1.77,1.168,3.005,0,0,0,0,0.26,1.365,2.273,0,0,0,0.369,0,0,1.454,0,1.783,0,0,0,0,0,1.641,0,0,0,0,0,1.635,0,0,0,0,1.719,0,0,1.824,0,0,1.823,0,0,0,1.805,0
Conditioning,106,1.564,0,0.555,1.831,0,0,0.302,0,0,1.921,1.673,0,0.544,0.402,0.425,0,0.215,2.003,0,1.826,0,0.617,0,0,0,1.704,0,0,0,0.347,0,1.724,0,0.207,0,0,1.972,0,0,1.826,0.202,0.231,1.8,0,0.21,0,1.837,0
Conditioning,107,2.157,0,0.322,2.328,0.321,0.265,0.274,0,0,2.601,2.578,0,0,0.36,0.393,0,0,2.177,0,2.246,0,0,0,0,0,2.532,0.508,0,0.457,0,0,2.421,0,0,0,0,2.111,0,0,1.853,0,0,1.924,0,0,0,1.609,0
Conditioning,108,0.648,0.323,0.538,0.595,0,0,0,0,0,0.848,0.387,0,0.511,0,0.532,0.3,0,1.432,0,1.268,0,0.294,0.674,0,0,1.51,0,0.547,0.671,0.772,0.242,1.701,0,0.537,0,0,1.557,0,0,1.885,0,0,1.075,0,0.486,0,1.809,0
Conditioning,109,2.68,0,0,2.674,0,0,0,0,0,2.543,2.452,0,0,0,0,0,0,2.502,0,2.516,0,0,0,0,0,2.415,0,0,0,0,0,2.452,0,0.296,0,0,2.401,0,0,2.339,0,0,2.282,0,0,0,2.313,0
Conditioning,110,1.855,0,0,2.029,0,0,0,0,0,2.07,2.098,0,0,0,0,0,0,2.07,0,2.076,0,0,0,0,0,2.061,0,0,0,0,0,2.017,0,0,0,0,1.998,0,0,2.006,0,0,1.994,0,0,0,1.959,0
Conditioning,111,1.156,0.448,0,0.44,0,0,0,0,0,0.306,0.265,0,0.802,0,0.259,0,0,1.062,0.567,0.709,0,0,0.236,0.502,0,0.326,0,0,0.247,1.133,0,0.379,0.382,0.343,0.329,0,0.402,0.717,0.709,0.422,0,0,0.209,0,0,0,0.221,0.48
Conditioning,112,1.856,0,0,0.779,0,0,0,0,0,0.721,0.836,0.3,0,0,0,0,0,0.628,0,0.619,0,0,0,0,0,0.54,0,0,0,0,0,0.489,0,0,0,0,0.46,0,0,0.474,0,0,0.463,0,0,0,0.466,0
Conditioning,113,1.3,0,0.424,2.604,0,0,1.296,0,0,2.011,2.255,0,0,0,1.773,0,0,2.807,0,2.227,0,0,0,0,0,2.191,0,0,1.048,0,0,2.378,0,0,0,0,2.224,0,0,2.239,0,0,2.23,0,0,0,2.189,0
Conditioning,114,0.839,0,0,0.408,0,0,0,0,0,0.352,0.328,0,0,0,0,0,0,0.343,0,0.274,0,0,0,0,0,0.302,0,0,0,0,0,0.276,0,0,0,0,0.296,0,0,0.277,0,0,0.265,0,0,0,0.28,0
Conditioning,115,2.806,1.541,3.028,0,0,1.083,4.168,2.236,0,0,0,0,4.707,0,6.785,0,0,7.185,3.807,4.178,0,4.034,2.127,0,1.667,3.764,0.741,1.017,2.124,1.367,0,6.871,0,3.829,0,0,6.588,0,1.602,6.515,0,0,8,0,3.81,0,8.818,0
Conditioning,116,2.301,1.931,5.738,2.362,2.513,1.957,3.482,1.284,3.083,7.351,5.685,2.679,2.111,1.469,2.05,0.358,0,5.307,0,3.912,0,3.321,1.15,0.259,0,8.238,0,1.02,3.054,1.489,0,5.407,0,1.142,0,0,7.972,0,0,7.649,0,0,8.082,0,0.885,1.985,8.036,0
Conditioning,117,3.501,2.557,2.124,3.018,2.174,3.569,0,0.91,1.617,5.593,4.116,0,0,1.721,0,0,0,1.939,0,2.162,0,0.895,0,0,0.691,1.78,0,0,0,0.846,0,4.205,0,0,0,0.939,5.494,0,0,8.052,0,0,8.042,0,0,0,2.523,0
Conditioning,118,1.756,0.836,0.361,2.249,0,0.315,0.228,0,0,2.095,1.826,0,0.747,0,0,0,0,1.791,0,1.974,0,0,0.274,0,0.386,1.718,0,0,0,0.222,0.382,1.669,0,0.488,0,0,2.584,0,0,2.761,0,0,2.043,0,0.628,0,2.673,0
Conditioning,120,1.023,0,0,1.095,0,0,0,0,0,1.594,2.079,0,0,0,0,0,0,1.925,0,2.16,0,0,0,0,0,1.762,0,0,0,0,0,1.568,0,0,0,0,1.55,0,0,1.803,0,0,1.856,0,0,0,1.879,0
Conditioning,121,1.518,0.433,0.758,2.261,0.781,0,0.546,0.375,0,4.685,2.937,0,0,0,0.259,0,0,2.812,0,2.861,0,0,0,0,1.596,3.062,0,0,0,0,0,3.045,0,0,0,0,2.912,0,0,3.131,0,0,3.071,0,0,0,3.132,0
Conditioning,122,4.858,3.826,5.218,1.423,0,4.505,1.696,0,0.81,10.195,8.3,2.137,0.756,0,4.992,0,1.065,11.94,0,9.547,0.839,6.164,3.988,1.805,0,10.984,0,0.944,0.5216,6.513,0,11.563,0,2.906,0,8.889,8.68,0,2.21,12.156,2.517,0,12.171,0,7.522,0.566,11.964,0
Conditioning,123,1.197,0,0,1.19,0,0,0,0,0,1.226,1.211,0,0,0,0,0,0,1.188,0,1.24,0,0,0,0,0,1.173,0,0,0,0,0,1.237,0,0,0,0,1.239,0,0,1.214,0,0,1.211,0,0,0,1.229,0
Conditioning,124,2.075,0,0,2.185,1.081,0,0.727,0,0,1.977,1.638,0,0.599,0.546,0,0,0,1.82,0,1.591,0,0.991,0,0.898,0,2.2,0,0,0,0,0,1.518,0.669,0,0.41,0,1.617,0,0,1.71,0,0,2.175,0,0.425,0,1.661,0
Conditioning,125,7.247,3.875,0.418,5.796,2.072,3.993,2.709,0,0,8.073,7.643,5.657,4.353,3.115,3.109,0,1.016,7.052,3.753,6.074,0,1.538,3.263,0,4.039,6.076,0,1.728,3.755,3.219,0,2.737,0,1.536,0,0,7.431,0,0,7.862,2.133,0,7.296,1.097,0,2.362,7.574,0
Extinction,1,0.389,0.303,0,0,0,0.23,0,0,0.263,0.242,0,0,0.349,0.765,1.01,0.205,0,0,0.459,0,0,0.656,0.46,0.605,0.218,0.387,0.692,0.888,0.874,0,0.509,0.497,0.509,0.84,1.863,0.642,0,0.962,0.473,0,0.862,0.668,0.813,0.787,0.323,0.642,1.522,0.511
Extinction,2,0.935,0.544,1.045,1.972,0.218,0,1.416,0,0.561,0,0,0.839,0,0.364,0,0.411,0,0,0,0,0,0,0,0.292,0,0.218,0,0,0,0.791,0,0.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,3,0,0,0.523,0.617,0,0,0,0,0,0,0,0,0,0.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534,0,0,0,0,0,0,0,0,0,0,0,0,0.547,0
Extinction,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Extinction,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Extinction,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,8,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,9,0,0.994,0.238,1.344,0.772,1.054,1.028,0.825,1.025,0.675,1.13,0.881,0.944,0.82,0.711,0.907,0.509,0.886,0.708,0,0.512,0.834,0.791,0.874,0,0,0,0,0,0,0,0,0.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
