onset	duration	trial_type	stimulus	response
8.017000000000001	4.5	CS+	stims2/tools/glove.jpg	2
18.567	4.0	CS-	stims2/animals/dolphin.jpg	1
27.616999999999997	5.0	CS+	stims2/tools/generator.jpg	2
38.667	5.0	CS+	stims2/tools/saw.jpg	2
48.717	4.5	CS-	stims2/animals/chicken.jpg	2
59.266999999999996	5.0	CS-	stims2/animals/peacock.jpg	2
70.317	5.0	CS+	stims2/tools/hoe.jpg	2
82.367	5.0	CS-	stims2/animals/springhare.jpg	2
93.417	5.0	CS-	stims2/animals/hippo.jpg	2
105.46700000000001	4.0	CS+	stims2/tools/circularsaw.jpg	2
116.51700000000001	4.0	CS+	stims2/tools/drill.jpg	2
125.56700000000001	4.5	CS-	stims2/animals/moth.jpg	2
136.11700000000002	4.5	CS+	stims2/tools/ducttape.jpg	2
145.667	4.0	CS-	stims2/animals/donkey.jpg	2
156.7	4.0	CS+	stims2/tools/computermouse.jpg	2
165.75	4.0	CS-	stims2/animals/sparrow.jpg	2
176.8	4.0	CS-	stims2/animals/bluejay.jpg	2
187.851	5.0	CS+	stims2/tools/handdrill.jpg	2
198.9	5.0	CS-	stims2/animals/koi.jpg	2
210.95	4.5	CS+	stims2/tools/coathanger.jpg	2
222.5	4.5	CS-	stims2/animals/dog.jpg	2
232.05	4.5	CS+	stims2/tools/loom.jpg	2
242.6	4.0	CS+	stims2/tools/trowel.jpg	2
251.65	4.5	CS-	stims2/animals/rosechafer.jpg	2
