onset	duration	trial_type	stimulus	memory_condition	encode_phase	response	low_confidence_accuracy	high_confidence_accuracy	response_time
4.05	3.0	CS-	animals/bullfrog.jpg	New	foil	MO	FA	CR	2.69
11.2	3.0	CS-	animals/firebug.jpg	Old	extinction	MO	H	M	1.8330000000000002
18.35	3.0	CS-	animals/stickinsect.jpg	New	foil	DN	CR	CR	1.87
26.5	3.0	CS-	animals/panda.jpg	New	foil	DN	CR	CR	1.375
33.633	3.0	CS+	tools/plow.jpg	Old	acquisition	DO	H	H	2.085
41.766999999999996	3.0	CS-	animals/caterpillarhawkmoth.jpg	Old	baseline	DO	H	H	1.538
49.917	3.0	CS-	animals/mahimahi.jpg	Old	extinction	DO	H	H	1.178
57.05	3.0	CS+	tools/faxmachine.jpg	Old	acquisition	DO	H	H	1.298
64.2	3.0	CS+	tools/magnet.jpg	New	foil	DO	FA	FA	1.54
72.333	3.0	CS-	animals/caterpillarpeacockmoth.jpg	Old	acquisition	DO	H	H	1.2770000000000001
79.467	3.0	CS+	tools/levelmount.jpg	Old	extinction	MN	M	M	2.454
86.617	3.0	CS-	animals/monkey.jpg	New	foil	DO	FA	FA	1.611
93.75	3.0	CS-	animals/hyena.jpg	Old	baseline	DO	H	H	1.439
100.9	3.0	CS+	tools/whistle.jpg	New	foil	DN	CR	CR	1.535
109.03299999999999	3.0	CS+	tools/caulkinggun.jpg	New	foil	DN	CR	CR	2.1319999999999997
116.15	3.0	CS-	animals/mole.jpg	Old	acquisition	MN	M	M	1.933
124.3	3.0	CS+	tools/camera.jpg	Old	baseline	DO	H	H	1.111
131.45	3.0	CS+	tools/blackboard.jpg	Old	extinction	DO	H	H	1.214
138.6	3.0	CS+	tools/wateringcan.jpg	New	foil	MN	CR	CR	1.864
145.733	3.0	CS+	tools/solderingtorch.jpg	Old	baseline	MN	M	M	2.372
152.88299999999998	3.0	CS+	tools/sparkplug.jpg	Old	extinction	MO	H	M	2.015
160.017	3.0	CS-	animals/boar.jpg	Old	acquisition	MO	H	M	1.919
168.167	3.0	CS+	tools/microwave.jpg	Old	baseline	MN	M	M	1.608
176.3	3.0	CS+	tools/ropeandpulley.jpg	Old	acquisition	DO	H	H	1.206
183.45	3.0	CS-	animals/herring.jpg	Old	extinction	MO	H	M	2.184
191.583	3.0	CS+	tools/fan.jpg	Old	extinction	MN	M	M	2.096
199.7	3.0	CS-	animals/seaslug.jpg	New	foil	MN	CR	CR	2.8489999999999998
207.833	3.0	CS-	animals/cricket.jpg	Old	baseline	DO	H	H	1.444
214.967	3.0	CS+	tools/hairdryer.jpg	Old	acquisition	MO	H	M	2.6189999999999998
222.11700000000002	3.0	CS+	tools/microscope.jpg	New	foil	MN	CR	CR	2.372
229.267	3.0	CS-	animals/hermitcrab.jpg	New	foil	DN	CR	CR	2.181
237.4	3.0	CS-	animals/gerbil.jpg	Old	acquisition	DO	H	H	1.14
244.55	3.0	CS+	tools/mellonballer.jpg	New	foil	DN	CR	CR	1.811
252.7	3.0	CS-	animals/goldfish.jpg	Old	baseline	DO	H	H	1.317
260.85	3.0	CS+	tools/electricdrill.jpg	New	foil	MO	FA	CR	2.2430000000000003
268.0	3.0	CS-	animals/koala.jpg	New	foil	DO	FA	FA	1.883
275.133	3.0	CS-	animals/dramaderry.jpg	Old	extinction	DO	H	H	0.971
282.283	3.0	CS+	tools/workbench.jpg	Old	baseline	DO	H	H	0.922
289.433	3.0	CS+	tools/whisk.jpg	New	foil	MO	FA	CR	1.7890000000000001
297.58299999999997	3.0	CS-	animals/woodlouse.jpg	New	foil	MN	CR	CR	1.499
304.716	3.0	CS+	tools/rollingpin.jpg	Old	acquisition	DO	H	H	1.415
312.85	3.0	CS-	animals/marmot.jpg	Old	baseline	DO	H	H	1.733
319.983	3.0	CS-	animals/octopus.jpg	New	foil	MO	FA	CR	1.886
328.11699999999996	3.0	CS+	tools/engine.jpg	New	foil	MN	CR	CR	1.619
336.26599999999996	3.0	CS-	animals/camel.jpg	Old	extinction	DO	H	H	0.892
344.4	3.0	CS+	tools/grapplinghook.jpg	New	foil	DO	FA	FA	1.25
