stimulus	source_memory	typicality	trial_type	encode_phase	recognition_memory
tools/tubeflaring.jpg	1	1	CS-	extinction	MO
animals/goldfish.jpg	1	7	CS+	baseline	DO
animals/elephantafrican.jpg	1	7	CS+	baseline	DO
animals/firebug.jpg	2	1	CS+	extinction	DO
animals/turkey.jpg	2	3	CS+	extinction	MO
animals/herring.jpg	2	3	CS+	extinction	DO
tools/spoon.jpg	1	7	CS-	extinction	MN
tools/routerplane.jpg	3	1	CS-	extinction	DO
tools/solderingtorch.jpg	1	1	CS-	baseline	DO
tools/wrench.jpg	1	7	CS-	extinction	DO
tools/workbench.jpg	3	1	CS-	baseline	DO
tools/beadingtool.jpg	2	1	CS-	acquisition	DO
tools/wheelbarrow.jpg	1	7	CS-	acquisition	DO
tools/lawnmower.jpg	3	6	CS-	extinction	MO
tools/drillbit.jpg	2	7	CS-	acquisition	DO
animals/quail.jpg	2	4	CS+	acquisition	DO
tools/videogamecontroller.jpg	1	6	CS-	baseline	DO
animals/rabbit.jpg	2	7	CS+	extinction	DO
animals/duck.jpg	2	5	CS+	extinction	DO
animals/flamingo.jpg	2	7	CS+	baseline	DO
animals/waterbuffalo.jpg	2	3	CS+	acquisition	DO
animals/brown_bear.jpg	2	7	CS+	extinction	DO
animals/shark.jpg	2	6	CS+	extinction	MO
animals/aardvark.jpg	2	1	CS+	baseline	DO
animals/giraffe.jpg	1	7	CS+	acquisition	DO
tools/padlock.jpg	3	2	CS-	baseline	DO
tools/gong.jpg	3	1	CS-	acquisition	DO
animals/pelican.jpg	2	4	CS+	acquisition	DO
tools/mallet.jpg	1	3	CS-	extinction	MO
tools/plow.jpg	2	1	CS-	acquisition	DO
animals/herculesbeetle.jpg	2	1	CS+	acquisition	DO
animals/reindeer.jpg	2	3	CS+	baseline	DO
tools/pliers.jpg	1	7	CS-	acquisition	DO
tools/stove.jpg	3	2	CS-	acquisition	DO
tools/treadmill.jpg	3	3	CS-	baseline	DO
tools/woodchipper.jpg	3	1	CS-	extinction	DO
tools/camera.jpg	1	5	CS-	baseline	DO
animals/porcupine.jpg	1	1	CS+	acquisition	DO
tools/campingstove.jpg	3	1	CS-	baseline	DO
animals/ant.jpg	2	4	CS+	extinction	DO
tools/paintroller.jpg	1	4	CS-	acquisition	MN
animals/canary.jpg	2	3	CS+	baseline	DO
animals/racoon.jpg	2	4	CS+	baseline	DO
animals/gerbil.jpg	2	6	CS+	acquisition	DO
tools/measuringcups.jpg	3	1	CS-	extinction	DO
animals/pigeon.jpg	2	2	CS+	acquisition	DO
animals/cricket.jpg	2	3	CS+	baseline	DO
tools/monkeywrench.jpg	3	2	CS-	baseline	DO
animals/angelfish.jpg	2	4	CS+	acquisition	DO
animals/tiger.jpg	1	7	CS+	acquisition	DO
animals/leopard.jpg	2	7	CS+	acquisition	DO
animals/ostrich.jpg	2	2	CS+	acquisition	DO
animals/boar.jpg	2	1	CS+	acquisition	DO
animals/crow.jpg	2	1	CS+	acquisition	DO
animals/snapper.jpg	3	2	CS+	acquisition	MO
animals/caterpillarpeacockmoth.jpg	3	2	CS+	acquisition	DO
animals/partridge.jpg	2	1	CS+	extinction	DO
animals/anteater.jpg	1	1	CS+	extinction	DO
animals/mouse.jpg	2	7	CS+	extinction	DO
animals/assassinbug.jpg	2	1	CS+	extinction	DO
animals/baldeagle.jpg	2	4	CS+	extinction	DO
animals/snail.jpg	2	4	CS+	extinction	DO
animals/seal.jpg	1	7	CS+	extinction	DO
animals/sheep.jpg	1	7	CS+	extinction	MO
animals/horse.jpg	2	5	CS+	baseline	DO
animals/finch.jpg	3	1	CS+	baseline	DO
animals/rhino.jpg	2	7	CS+	baseline	DO
animals/starfish.jpg	1	7	CS+	baseline	DO
animals/cranebug.jpg	2	4	CS+	baseline	DO
animals/llama.jpg	1	4	CS+	baseline	DO
animals/shrimp.jpg	1	1	CS+	baseline	MO
animals/halibut.jpg	2	4	CS+	baseline	MO
tools/ladder.jpg	1	7	CS-	acquisition	MO
tools/shoehorn.jpg	3	1	CS-	acquisition	DO
tools/rake.jpg	3	4	CS-	acquisition	DO
tools/cheesegrater.jpg	3	3	CS-	acquisition	DO
tools/faxmachine.jpg	3	1	CS-	acquisition	DO
tools/scissors.jpg	3	7	CS-	acquisition	DO
tools/electricbreaker.jpg	1	2	CS-	acquisition	DO
tools/weldinghelmet.jpg	3	3	CS-	acquisition	MO
tools/fan.jpg	3	6	CS-	extinction	DO
tools/sparkplug.jpg	3	4	CS-	extinction	DO
tools/blackboard.jpg	2	3	CS-	extinction	DN
tools/benchdogs.jpg	3	1	CS-	extinction	DO
tools/broom.jpg	3	4	CS-	extinction	MO
tools/eraser.jpg	2	2	CS-	extinction	DO
tools/sander.jpg	3	1	CS-	extinction	DO
tools/thermometer.jpg	3	4	CS-	extinction	DO
tools/blower.jpg	3	4	CS-	baseline	DO
tools/hammer.jpg	3	5	CS-	baseline	DO
tools/extensioncord.jpg	3	5	CS-	baseline	MN
tools/bucket.jpg	1	7	CS-	baseline	DO
tools/carpetblower.jpg	3	2	CS-	baseline	MN
tools/screwdriver.jpg	1	7	CS-	baseline	MN
tools/airpump.jpg	3	1	CS-	baseline	DO
tools/paintbrush.jpg	3	6	CS-	baseline	MO
animals/flea.jpg	2	1	CS+	acquisition	DO
animals/pike.jpg	2	6	CS+	acquisition	DO
animals/cow.jpg	2	7	CS+	acquisition	DO
animals/baboon.jpg	2	7	CS+	acquisition	DO
animals/hummingbird.jpg	2	6	CS+	acquisition	MO
animals/prayingmantis.jpg	2	4	CS+	acquisition	DO
animals/mole.jpg	2	1	CS+	acquisition	DO
animals/dragonfly.jpg	2	5	CS+	acquisition	DO
animals/camel.jpg	2	5	CS+	extinction	DO
animals/carp.jpg	2	5	CS+	extinction	DO
animals/catfish.jpg	2	2	CS+	extinction	DO
animals/mink.jpg	2	1	CS+	extinction	DO
animals/dramaderry.jpg	2	5	CS+	extinction	MO
animals/palmcockatoo.jpg	2	1	CS+	extinction	DO
animals/mahimahi.jpg	2	1	CS+	extinction	MN
animals/chipmunk.jpg	2	3	CS+	extinction	DO
animals/caterpillarhawkmoth.jpg	2	3	CS+	baseline	DO
animals/marmot.jpg	2	1	CS+	baseline	DO
animals/cat.jpg	2	7	CS+	baseline	DO
animals/perch.jpg	2	3	CS+	baseline	DO
animals/salmon.jpg	2	3	CS+	baseline	DO
