onset	duration	trial_type	stimulus	response
8.033	5.0	CS-	stims2/tools/glove.jpg	2
20.083	4.0	CS+	stims2/animals/sparrow.jpg	1
31.133000000000003	4.5	CS+	stims2/animals/donkey.jpg	1
41.683	5.0	CS+	stims2/animals/peacock.jpg	1
52.733000000000004	5.0	CS-	stims2/tools/drill.jpg	2
62.783	4.5	CS-	stims2/tools/handdrill.jpg	2
72.333	5.0	CS+	stims2/animals/rosechafer.jpg	2
82.383	4.5	CS-	stims2/tools/loom.jpg	2
92.93299999999999	4.5	CS-	stims2/tools/saw.jpg	2
104.48299999999999	4.0	CS+	stims2/animals/chicken.jpg	1
113.53299999999999	4.5	CS+	stims2/animals/springhare.jpg	2
123.083	4.0	CS-	stims2/tools/generator.jpg	2
133.13299999999998	4.0	CS+	stims2/animals/moth.jpg	2
143.183	5.0	CS-	stims2/tools/ducttape.jpg	2
155.216	5.0	CS+	stims2/animals/dolphin.jpg	2
167.266	4.0	CS-	stims2/tools/trowel.jpg	2
177.31599999999997	4.0	CS-	stims2/tools/circularsaw.jpg	2
188.36599999999999	5.0	CS+	stims2/animals/bluejay.jpg	1
198.416	4.5	CS-	stims2/tools/computermouse.jpg	2
208.96599999999998	4.0	CS+	stims2/animals/koi.jpg	1
220.016	4.0	CS-	stims2/tools/coathanger.jpg	2
229.06599999999997	4.5	CS+	stims2/animals/dog.jpg	2
240.61599999999999	4.5	CS+	stims2/animals/hippo.jpg	1
250.149	5.0	CS-	stims2/tools/hoe.jpg	2
