onset	duration	trial_type
4.034	15.3	animal
26.4	15.332999999999998	indoor
48.8	15.284000000000004	tool
71.15	15.333999999999987	outdoor
93.53299999999999	15.301000000000002	scrambled
111.834	6.0	rest
121.9	15.334000000000005	outdoor
144.3	15.333999999999973	animal
166.7	15.300000000000011	scrambled
189.067	15.299999999999983	tool
211.43400000000003	15.332999999999998	indoor
229.767	6.0	rest
239.833	15.283999999999994	scrambled
262.183	15.317000000000007	tool
284.567	15.315999999999974	indoor
306.95	15.333000000000027	animal
329.35	15.332999999999972	outdoor
347.68300000000005	6.0	rest
357.75	15.333000000000027	tool
380.15	15.266999999999996	scrambled
402.483	15.334000000000005	outdoor
424.88300000000004	15.333000000000027	indoor
447.267	15.316000000000033	animal
465.583	6.0	rest
