stimulus	source_memory	typicality	trial_type	encode_phase	recognition_memory	trial_number
tools/beaker.jpg	2	4	CS-	acquisition	DO	24
animals/racoon.jpg	1	7	CS+	extinction	DO	19
tools/hairdryer.jpg	3	3	CS-	baseline	DO	3
animals/shark.jpg	2	6	CS+	acquisition	DO	23
animals/zebra.jpg	2	7	CS+	extinction	DO	9
animals/cow.jpg	2	6	CS+	baseline	DO	1
tools/scissors.jpg	1	4	CS-	baseline	DN	5
tools/blower.jpg	3	4	CS-	extinction		21
animals/porcupine.jpg	2	5	CS+	baseline	DO	8
animals/flea.jpg	2	2	CS+	baseline	DO	22
animals/leopard.jpg	3	7	CS+	baseline	DO	10
animals/dragonfly.jpg	2	3	CS+	baseline	DO	23
tools/blackboard.jpg	1	3	CS-	acquisition	DO	11
tools/rake.jpg	1	2	CS-	baseline	MN	2
animals/camel.jpg	2	6	CS+	acquisition	DO	2
animals/mouse.jpg	2	7	CS+	acquisition	DO	24
animals/pigeon.jpg	2	6	CS+	baseline	DO	21
animals/rhino.jpg	2	7	CS+	extinction	DO	17
tools/chainsaw.jpg	1	6	CS-	extinction	DO	23
tools/airpump.jpg	1	2	CS-	extinction	DO	11
animals/ant.jpg	2	1	CS+	acquisition	DO	6
animals/firebug.jpg	2	2	CS+	acquisition	DO	17
tools/screwdriver.jpg	3	6	CS-	extinction	DO	7
tools/shoehorn.jpg	2	1	CS-	baseline	DO	9
animals/palmcockatoo.jpg	1	6	CS+	acquisition	MN	14
tools/spoon.jpg	1	7	CS-	acquisition	DN	1
tools/sander.jpg	2	1	CS-	acquisition	DO	4
animals/flamingo.jpg	2	6	CS+	extinction	DO	12
tools/transmissionwrench.jpg	3	4	CS-	baseline	DN	12
tools/wheelbarrow.jpg	3	4	CS-	baseline	DO	17
tools/squeegee.jpg	1	6	CS-	extinction	DN	6
animals/llama.jpg	3	7	CS+	extinction	DO	1
tools/pruner.jpg	1	6	CS-	acquisition	DN	8
animals/crow.jpg	2	6	CS+	baseline	DO	4
tools/fan.jpg	1	3	CS-	acquisition	DN	3
animals/baldeagle.jpg	1	7	CS+	acquisition	DN	22
animals/cricket.jpg	2	2	CS+	extinction	DO	22
tools/plow.jpg	3	2	CS-	baseline	DN	10
tools/bucket.jpg	1	5	CS-	extinction	DO	17
animals/goldfish.jpg	2	4	CS+	extinction	DO	20
animals/seal.jpg	2	6	CS+	acquisition	DO	19
tools/lawnmower.jpg	1	6	CS-	acquisition	DO	12
tools/vegetablepeeler.jpg	1	3	CS-	acquisition	MO	18
animals/mole.jpg	2	7	CS+	baseline	DO	2
tools/extensioncord.jpg	1	7	CS-	extinction	DO	16
animals/reindeer.jpg	2	2	CS+	extinction	DO	14
tools/monkeywrench.jpg	2	7	CS-	extinction	DO	4
tools/gong.jpg	1	6	CS-	baseline	DO	21
animals/pelican.jpg	2	2	CS+	baseline	DN	17
animals/prayingmantis.jpg	2	1	CS+	baseline	DO	14
animals/giraffe.jpg	2	7	CS+	baseline	DO	6
animals/herculesbeetle.jpg	2	1	CS+	baseline	DO	24
animals/baboon.jpg	1	3	CS+	baseline	DO	3
animals/boar.jpg	1	6	CS+	baseline	DO	5
animals/quail.jpg	3	5	CS+	baseline	DN	19
animals/hummingbird.jpg	2	6	CS+	baseline	DO	13
animals/dramaderry.jpg	2	5	CS+	acquisition	DO	10
animals/turkey.jpg	1	6	CS+	acquisition	DN	5
animals/anteater.jpg	2	3	CS+	acquisition	DO	3
animals/rabbit.jpg	2	7	CS+	acquisition	DO	13
animals/snail.jpg	2	4	CS+	acquisition	DO	15
animals/partridge.jpg	1	5	CS+	acquisition	MN	9
animals/mink.jpg	2	4	CS+	acquisition	DO	8
animals/catfish.jpg	3	7	CS+	acquisition	DN	7
animals/caterpillarhawkmoth.jpg	1	5	CS+	extinction	DO	8
animals/perch.jpg	3	6	CS+	extinction	DO	15
animals/skunk.jpg	2	6	CS+	extinction	DO	16
animals/marmot.jpg	3	6	CS+	extinction	DN	10
animals/finch.jpg	2	5	CS+	extinction	DO	2
animals/salmon.jpg	3	6	CS+	extinction	DO	24
animals/cranebug.jpg	2	1	CS+	extinction	DO	13
animals/canary.jpg	2	6	CS+	extinction	DO	6
tools/stove.jpg	1	5	CS-	baseline	DN	7
tools/reflexhammer.jpg	2	6	CS-	baseline	DO	11
tools/gardenhose.jpg	3	5	CS-	baseline	DO	15
tools/beadingtool.jpg	1	4	CS-	baseline	DO	24
tools/paintroller.jpg	3	6	CS-	baseline	DN	14
tools/ladder.jpg	2	6	CS-	baseline	DO	6
tools/plunger.jpg	3	6	CS-	baseline	DO	16
tools/drillbit.jpg	2	1	CS-	baseline	DO	13
tools/measuringdevice.jpg	2	5	CS-	acquisition	DN	23
tools/weedeater.jpg	2	6	CS-	acquisition	DO	19
tools/routerplane.jpg	3	6	CS-	acquisition	DO	2
tools/thermometer.jpg	3	6	CS-	acquisition	DN	7
tools/sparkplug.jpg	2	6	CS-	acquisition	DO	5
tools/broom.jpg	1	4	CS-	acquisition	DN	17
tools/wrench.jpg	1	6	CS-	acquisition	MN	14
