condition,response_phase,beta,p,tail,ci,topval,encode_phase,star
CS+,acquisition,0.546087146598518,0.00039999999999995595,>,[0.234  0.8563],1.1600051216620297,extinction,***
CS+,baseline,-0.16947302139352222,0.29899999999999993,<,[-0.4961  0.1404],0.4269964003017946,extinction,
CS+,extinction,-0.37656798979749184,0.01540000000000008,<,[-0.6921 -0.0679],0.20047609340996403,extinction,*
CS-,acquisition,0.46596047343613234,0.0,>,[0.2659 0.6884],0.8900144781384101,extinction,***
CS-,baseline,-0.18934232252322805,0.16660000000000008,<,[-0.4694  0.0792],0.29852957436390115,extinction,
CS-,extinction,-0.27657657748095216,0.0354000000000001,<,[-0.5447 -0.0186],0.28023456032697514,extinction,*
