condition,response_phase,beta,p,tail,ci,topval,encode_phase,star
CS+,acquisition,0.6524530341745922,0.0,>,[0.4102 0.9041],1.2027061281948352,acquisition,***
CS+,baseline,-0.17935858126689683,0.2634000000000001,<,[-0.4909  0.1294],0.4075168144170953,acquisition,
CS+,extinction,-0.47306141644534955,0.0012000000000000899,<,[-0.7714 -0.1895],0.08536064920708891,acquisition,**
CS-,acquisition,0.6773483197803954,0.0,>,[0.3748 0.9787],1.2264560669970865,acquisition,***
CS-,baseline,-0.2702699178429365,0.11799999999999988,<,[-0.6053  0.0628],0.36189777422799313,acquisition,
CS-,extinction,-0.40701458116802536,0.0052000000000000934,<,[-0.7058 -0.1144],0.14332893349834724,acquisition,**
