phase,condition,beta,p,tail,ci,topval,star
acquisition,CS+,0.16662687390335051,0.0005999999999999339,>,[0.0732 0.2591],0.3595573155591489,***
acquisition,CS-,0.093719863003562,0.048799999999999955,>,[0.0004 0.197 ],0.31153963272111573,*
baseline,CS+,0.07956795308763516,0.057600000000000096,>,[-0.0033  0.1597],0.2515175635665898,
baseline,CS-,0.11813928837000706,0.01419999999999999,>,[0.0212 0.2221],0.31746957797359604,*
extinction,CS+,0.17412312790306753,0.00019999999999997797,>,[0.0733 0.2764],0.37855774364846306,***
extinction,CS-,0.12932873977262296,0.020199999999999996,>,[0.0182 0.2622],0.4203073709332269,*
