condition,response_phase,beta,p,tail,ci,topval,encode_phase,star
CS+,acquisition,0.4801366070054763,0.0014000000000000679,>,[0.2004 0.762 ],1.0010507094076226,baseline,**
CS+,baseline,0.08693579555172262,0.5656000000000001,>,[-0.2138  0.3861],0.6511175033426639,baseline,
CS+,extinction,-0.5671206361796549,0.0,<,[-0.8346 -0.3007],-0.005739219777911126,baseline,***
CS-,acquisition,0.34531390292379144,0.0018000000000000238,>,[0.1346 0.5645],0.7930370430945256,baseline,**
CS-,baseline,-0.13728393008321674,0.2936000000000001,<,[-0.3929  0.1263],0.36425697050609707,baseline,
CS-,extinction,-0.2079682906988679,0.05459999999999998,<,[-0.4173  0.003 ],0.1655331946125724,baseline,
