onset	duration	trial_type	stimulus	response	response_time	recognition_memory
4.033	4.5	CS+	tools/workbench.jpg	2	0.631	MN
13.6	4.0	CS-	animals/hyena.jpg	1	0.601	DO
24.666999999999998	4.0	CS+	tools/measuringtape.jpg	2	0.534	MO
33.733000000000004	4.5	CS+	tools/carpetblower.jpg	2	0.541	MO
43.3	4.5	CS-	animals/salmon.jpg	1	0.7170000000000001	DN
54.867	5.0	CS-	animals/llama.jpg	1	0.505	MO
66.933	5.0	CS+	tools/squeegee.jpg	2	0.456	MN
79.0	4.5	CS-	animals/marmot.jpg	1	0.48200000000000004	DO
89.56700000000001	4.5	CS-	animals/shrimp.jpg	1	0.636	DO
99.134	5.0	CS+	tools/camera.jpg	2	0.545	DO
110.2	4.0	CS+	tools/hammer.jpg	2	0.55	DO
120.26700000000001	4.0	CS-	animals/halibut.jpg	1	0.504	DO
129.334	4.0	CS+	tools/microwave.jpg	2	0.494	DO
140.4	5.0	CS-	animals/perch.jpg	1	0.47200000000000003	MN
150.467	5.0	CS+	tools/duffelbag.jpg	2	0.528	DO
160.534	4.5	CS-	animals/reindeer.jpg	1	0.444	DO
172.1	4.0	CS-	animals/starfish.jpg	1	0.763	DO
181.167	4.5	CS+	tools/edger.jpg	2	0.517	DO
192.734	5.0	CS-	animals/elephantafrican.jpg	1	0.532	DO
202.8	4.0	CS+	tools/toaster.jpg	2	0.593	DO
211.86700000000002	4.0	CS-	animals/cat.jpg	1	0.516	DO
221.93400000000003	5.0	CS+	tools/campingstove.jpg	2	0.607	DO
233.0	5.0	CS+	tools/paintbrush.jpg	2	0.5329999999999999	MO
244.067	5.0	CS-	animals/caterpillarhawkmoth.jpg	1	0.5710000000000001	DO
255.13400000000001	4.5	CS-	animals/aardvark.jpg	1	0.561	MO
264.7	4.0	CS+	tools/screwdriver.jpg	2	0.565	MO
275.767	4.5	CS-	animals/cricket.jpg	1	0.55	DO
285.334	4.5	CS-	animals/racoon.jpg	1	0.469	MO
296.9	4.5	CS+	tools/airpump.jpg	2	0.512	MN
308.467	4.5	CS+	tools/monkeywrench.jpg	2	0.528	DO
319.034	5.0	CS-	animals/skunk.jpg	1	0.552	DO
329.1	4.0	CS+	tools/bucket.jpg	2	0.551	MO
339.167	5.0	CS-	animals/zebra.jpg	1	0.499	DO
351.23400000000004	5.0	CS+	tools/padlock.jpg	2	0.519	DO
362.301	5.0	CS-	animals/rhino.jpg	1	0.5670000000000001	MO
374.36699999999996	5.0	CS+	tools/videogamecontroller.jpg	2	0.6890000000000001	DO
384.434	4.0	CS+	tools/extensioncord.jpg	2	0.505	DO
393.501	4.0	CS-	animals/horse.jpg	1	0.529	MN
402.56699999999995	4.0	CS-	animals/flamingo.jpg	1	0.594	DO
413.634	4.5	CS+	tools/treadmill.jpg	2	0.514	DO
424.20099999999996	4.5	CS+	tools/jumpercables.jpg	2	0.52	
434.767	5.0	CS-	animals/finch.jpg	1	0.489	DO
446.834	4.0	CS+	tools/chainsaw.jpg	2	0.42700000000000005	DO
456.901	4.0	CS-	animals/canary.jpg	1	0.451	DO
466.967	5.0	CS+	tools/blower.jpg	2	0.5529999999999999	DO
479.034	4.5	CS-	animals/goldfish.jpg	1	0.515	MO
489.601	4.5	CS+	tools/solderingtorch.jpg	2	0.46399999999999997	DO
501.168	4.0	CS-	animals/cranebug.jpg	1	0.525	MO
