onset	duration	trial_type	stimulus	memory_condition	encode_phase	response	low_confidence_accuracy	high_confidence_accuracy	response_time
4.016	3.0	CS+	tools/ruler.jpg	Old	acquisition	MN	M	M	1.515
11.083	3.0	CS+	tools/snowbrush.jpg	New	foil	MN	CR	CR	1.7180000000000002
18.15	3.0	CS+	tools/thermometer.jpg	Old	acquisition	MN	M	M	1.874
25.233	3.0	CS-	animals/dove.jpg	New	foil	DN	CR	CR	1.588
32.3	3.0	CS-	animals/giraffe.jpg	Old	baseline	MO	H	M	1.87
39.383	3.0	CS+	tools/rollingpin.jpg	Old	baseline	DO	H	H	1.357
46.45	3.0	CS-	animals/slug.jpg	New	foil	DN	CR	CR	1.247
53.5	3.0	CS-	animals/boar.jpg	Old	baseline	DO	H	H	1.4509999999999998
60.583	3.0	CS+	tools/measuringtape.jpg	Old	extinction	DO	H	H	1.732
67.633	3.0	CS+	tools/ropeandpulley.jpg	Old	baseline	DO	H	H	1.3459999999999999
74.7	3.0	CS-	animals/orangutan.jpg	New	foil	DN	CR	CR	1.7930000000000001
81.783	3.0	CS+	tools/flashlight.jpg	New	foil	MN	CR	CR	1.8119999999999998
88.833	3.0	CS-	animals/hyena.jpg	Old	extinction	DO	H	H	1.504
95.9	3.0	CS+	tools/anvil.jpg	New	foil	MO	FA	CR	1.696
102.95	3.0	CS-	animals/caterpillarhawkmoth.jpg	Old	extinction	MO	H	M	1.767
110.0	3.0	CS-	animals/camel.jpg	Old	acquisition	DO	H	H	1.3880000000000001
117.083	3.0	CS+	tools/workbench.jpg	Old	extinction	DO	H	H	1.173
124.15	3.0	CS-	animals/mink.jpg	Old	acquisition	MO	H	M	1.686
131.233	3.0	CS-	animals/malaysianjunglenymph.jpg	New	foil	DN	CR	CR	1.5230000000000001
138.3	3.0	CS+	tools/duster.jpg	New	foil	DN	CR	CR	1.284
145.38299999999998	3.0	CS-	animals/owl.jpg	New	foil	MN	CR	CR	1.858
152.45	3.0	CS+	tools/microwave.jpg	Old	extinction	DN	M	M	1.475
159.533	3.0	CS+	tools/measuringcups.jpg	Old	acquisition	MN	M	M	1.883
166.583	3.0	CS-	animals/armadillo.jpg	New	foil	MN	CR	CR	2.088
173.65	3.0	CS+	tools/razorblade.jpg	New	foil	DN	CR	CR	1.426
180.733	3.0	CS-	animals/sheep.jpg	Old	acquisition	MO	H	M	2.363
187.8	3.0	CS-	animals/tragopan.jpg	New	foil	MN	CR	CR	1.751
194.88299999999998	3.0	CS+	tools/stapler.jpg	New	foil	MN	CR	CR	1.6740000000000002
201.95	3.0	CS+	tools/edger.jpg	Old	extinction	DO	H	H	1.508
209.033	3.0	CS-	animals/shrimp.jpg	Old	extinction	DO	H	H	1.187
216.1	3.0	CS-	animals/porcupine.jpg	Old	baseline	MO	H	M	1.479
223.15	3.0	CS-	animals/pelican.jpg	Old	baseline	MO	H	M	1.6680000000000001
230.233	3.0	CS+	tools/battery.jpg	New	foil	DO	FA	FA	1.919
237.3	3.0	CS-	animals/goldfish.jpg	Old	extinction	DN	M	M	2.005
244.38299999999998	3.0	CS-	animals/firebug.jpg	Old	acquisition	MN	M	M	2.276
251.45	3.0	CS+	tools/ladder.jpg	Old	baseline	DO	H	H	1.578
258.5	3.0	CS+	tools/pick.jpg	New	foil	MN	CR	CR	1.692
265.58299999999997	3.0	CS-	animals/rooster.jpg	New	foil	MO	FA	CR	1.933
272.633	3.0	CS+	tools/faxmachine.jpg	Old	baseline	DO	H	H	1.6
279.683	3.0	CS+	tools/sparkplug.jpg	Old	acquisition	DO	H	H	0.902
286.75	3.0	CS+	tools/telephone.jpg	New	foil	MN	CR	CR	1.817
294.8	3.0	CS-	animals/crab.jpg	New	foil	DN	CR	CR	1.4069999999999998
302.883	3.0	CS+	tools/broom.jpg	Old	acquisition	DO	H	H	1.587
310.95	3.0	CS+	tools/jumpercables.jpg	Old	extinction	DO	H	H	1.159
319.033	3.0	CS+	tools/pizzacutter.jpg	New	foil	MO	FA	CR	1.306
327.1	3.0	CS-	animals/herring.jpg	Old	acquisition	MN	M	M	1.765
335.15	3.0	CS-	animals/caracal.jpg	New	foil	MO	FA	CR	2.122
343.233	3.0	CS-	animals/caterpillarpeacockmoth.jpg	Old	baseline	MO	H	M	2.01
351.316	3.0	CS+	tools/camera.jpg	Old	extinction	DO	H	H	1.3940000000000001
359.38300000000004	3.0	CS-	animals/beardeddragon.jpg	New	foil	MO	FA	CR	1.775
367.45	3.0	CS-	animals/marmot.jpg	Old	extinction	MN	M	M	1.651
375.533	3.0	CS-	animals/dramaderry.jpg	Old	acquisition	MN	M	M	2.112
383.583	3.0	CS+	tools/levelmount.jpg	Old	acquisition	DO	H	H	1.375
391.65	3.0	CS-	animals/mole.jpg	Old	baseline	DO	H	H	1.5230000000000001
399.733	3.0	CS+	tools/clamp.jpg	New	foil	DO	FA	FA	1.2590000000000001
407.8	3.0	CS-	animals/cricket.jpg	Old	extinction	DO	H	H	1.4669999999999999
415.85	3.0	CS-	animals/stinkbug.jpg	New	foil	MN	CR	CR	1.8840000000000001
423.93300000000005	3.0	CS+	tools/hedgeshears.jpg	New	foil	MO	FA	CR	2.3680000000000003
432.0	3.0	CS+	tools/scissors.jpg	Old	baseline	DO	H	H	1.1840000000000002
440.05	3.0	CS+	tools/gardenhose.jpg	Old	baseline	DO	H	H	1.043
448.13300000000004	3.0	CS+	tools/plow.jpg	Old	baseline	DO	H	H	1.234
456.18300000000005	3.0	CS+	tools/solderingtorch.jpg	Old	extinction	DN	M	M	1.6059999999999999
464.25	3.0	CS+	tools/blackboard.jpg	Old	acquisition	DO	H	H	1.995
472.3	3.0	CS-	animals/mouse.jpg	Old	acquisition	MO	H	M	1.6030000000000002
480.38300000000004	3.0	CS-	animals/wasp.jpg	New	foil	DN	CR	CR	1.607
488.45	3.0	CS-	animals/flamingo.jpg	Old	extinction	DO	H	H	1.661
496.5	3.0	CS+	tools/laptop.jpg	New	foil	DO	FA	FA	1.2409999999999999
