onset	duration	trial_type
4.016	15.234000000000002	animal
26.3	15.232999999999999	indoor
48.583	15.233000000000004	tool
70.866	15.233999999999995	outdoor
93.15	15.23299999999999	scrambled
111.383	6.0	rest
121.43299999999999	15.249999999999984	outdoor
143.733	15.233000000000004	animal
166.016	15.234000000000007	scrambled
188.3	15.232999999999974	tool
210.583	15.233000000000004	indoor
228.81599999999997	6.0	rest
238.86599999999999	15.23399999999998	scrambled
261.149	15.23399999999998	tool
283.433	15.233000000000004	indoor
305.716	15.233000000000004	animal
327.999	15.23399999999998	outdoor
346.233	6.0	rest
356.283	15.233000000000004	tool
378.566	15.233000000000004	scrambled
400.849	15.25	outdoor
423.149	15.23399999999998	indoor
445.43300000000005	15.233000000000004	animal
463.666	6.0	rest
