onset	duration	trial_type	stimulus	memory_condition	encode_phase	response	low_confidence_accuracy	high_confidence_accuracy	response_time
4.033	3.0	CS+	tools/mellonballer.jpg	New	foil	MN	CR	CR	2.441
11.117	3.0	CS+	tools/microscope.jpg	New	foil	DN	CR	CR	2.061
19.183	3.0	CS-	animals/panda.jpg	New	foil	DN	CR	CR	2.4819999999999998
26.267	3.0	CS+	tools/sparkplug.jpg	Old	extinction	MN	M	M	2.346
33.333	3.0	CS+	tools/solderingtorch.jpg	Old	baseline	MO	H	M	1.3419999999999999
40.417	3.0	CS+	tools/whistle.jpg	New	foil	MN	CR	CR	1.29
48.516999999999996	3.0	CS-	animals/camel.jpg	Old	extinction	MO	H	M	1.59
56.617	3.0	CS-	animals/boar.jpg	Old	acquisition	DO	H	H	1.226
63.717	3.0	CS+	tools/monkeywrench.jpg	Old	baseline	MO	H	M	1.383
71.817	3.0	CS-	animals/marmot.jpg	Old	baseline	DO	H	H	1.271
78.916	3.0	CS+	tools/levelmount.jpg	Old	extinction	MN	M	M	1.598
86.98299999999999	3.0	CS-	animals/porcupine.jpg	Old	acquisition	MO	H	M	1.3259999999999998
94.066	3.0	CS-	animals/herring.jpg	Old	extinction	DO	H	H	1.3559999999999999
101.15	3.0	CS-	animals/monkey.jpg	New	foil	MO	FA	CR	1.7990000000000002
108.21600000000001	3.0	CS+	tools/dremel.jpg	New	foil	MN	CR	CR	1.5330000000000001
115.28299999999999	3.0	CS+	tools/faxmachine.jpg	Old	acquisition	MO	H	M	2.569
122.366	3.0	CS-	animals/balloonfish.jpg	New	foil	MN	CR	CR	1.943
130.45	3.0	CS-	animals/hyena.jpg	Old	baseline	DO	H	H	0.935
137.533	3.0	CS+	tools/ladder.jpg	Old	acquisition	DO	H	H	1.104
144.616	3.0	CS-	animals/crane.jpg	New	foil	MO	FA	CR	1.444
151.7	3.0	CS+	tools/plow.jpg	Old	acquisition	DO	H	H	1.037
158.8	3.0	CS-	animals/highlandcow.jpg	New	foil	DN	CR	CR	1.46
165.9	3.0	CS-	animals/mouse.jpg	Old	extinction	MO	H	M	1.5190000000000001
173.0	3.0	CS-	animals/caterpillarhawkmoth.jpg	Old	baseline	DO	H	H	0.99
181.083	3.0	CS-	animals/woodlouse.jpg	New	foil	DN	CR	CR	1.002
188.166	3.0	CS-	animals/pigeon.jpg	Old	acquisition	MN	M	M	1.244
196.233	3.0	CS+	tools/level.jpg	New	foil	MN	CR	CR	1.91
