onset	duration	trial_type	stimulus	memory_condition	encode_phase	response	low_confidence_accuracy	high_confidence_accuracy	response_time
4.034	3.0	CS-	animals/highlandcow.jpg	New	foil	MO	FA	CR	2.2159999999999997
11.134	3.0	CS-	animals/finch.jpg	Old	extinction	DO	H	H	2.154
18.234	3.0	CS+	tools/treadmill.jpg	Old	extinction	DO	H	H	2.115
25.3	3.0	CS+	tools/magnet.jpg	New	foil	MN	CR	CR	1.639
33.384	3.0	CS+	tools/drillbit.jpg	Old	baseline	DO	H	H	1.574
40.467	3.0	CS-	animals/prayingmantis.jpg	Old	baseline	DO	H	H	1.274
48.534	3.0	CS+	tools/whistle.jpg	New	foil	MO	FA	CR	1.735
55.63399999999999	3.0	CS-	animals/aardvark.jpg	Old	extinction	MO	H	M	2.14
63.733999999999995	3.0	CS-	animals/koala.jpg	New	foil	MN	CR	CR	1.841
71.834	3.0	CS+	tools/viceclamp.jpg	Old	acquisition	MO	H	M	2.003
78.934	3.0	CS-	animals/crane.jpg	New	foil	DO	FA	FA	2.327
87.03399999999999	3.0	CS+	tools/bucket.jpg	Old	extinction	DN	M	M	1.913
95.1	3.0	CS-	animals/ant.jpg	Old	acquisition	DO	H	H	1.71
102.184	3.0	CS+	tools/gong.jpg	Old	baseline	DO	H	H	1.46
110.28399999999999	3.0	CS-	animals/angelfish.jpg	Old	baseline	MO	H	M	1.8119999999999998
117.35	3.0	CS-	animals/duck.jpg	Old	acquisition	MN	M	M	2.51
125.434	3.0	CS+	tools/whisk.jpg	New	foil	DN	CR	CR	1.4680000000000002
133.5	3.0	CS+	tools/vegetablepeeler.jpg	Old	acquisition	DN	M	M	1.574
141.584	3.0	CS-	animals/stickinsect.jpg	New	foil	MN	CR	CR	2.0980000000000003
149.65	3.0	CS+	tools/mellonballer.jpg	New	foil	MN	CR	CR	2.207
157.734	3.0	CS-	animals/monkey.jpg	New	foil	MN	CR	CR	2.1519999999999997
164.834	3.0	CS+	tools/cheesegrater.jpg	Old	baseline	DO	H	H	1.3130000000000002
172.9	3.0	CS-	animals/catfish.jpg	Old	acquisition	DN	M	M	1.2690000000000001
180.984	3.0	CS-	animals/panda.jpg	New	foil	DO	FA	FA	1.5190000000000001
188.084	3.0	CS-	animals/flea.jpg	Old	baseline	DO	H	H	1.425
196.18400000000003	3.0	CS+	tools/dremel.jpg	New	foil	MO	FA	CR	2.271
203.28400000000002	3.0	CS+	tools/level.jpg	New	foil	MN	CR	CR	2.206
211.38400000000001	3.0	CS-	animals/reindeer.jpg	Old	extinction	DN	M	M	2.171
218.484	3.0	CS+	tools/engine.jpg	New	foil	MO	FA	CR	2.66
225.584	3.0	CS-	animals/pike.jpg	Old	baseline	DO	H	H	1.831
233.65	3.0	CS+	tools/campingstove.jpg	Old	extinction	DN	M	M	1.528
240.734	3.0	CS+	tools/beaker.jpg	Old	acquisition	DO	H	H	1.31
248.834	3.0	CS-	animals/hermitcrab.jpg	New	foil	DN	CR	CR	1.6469999999999998
255.9	3.0	CS-	animals/octopus.jpg	New	foil	MO	FA	CR	1.8969999999999998
263.98400000000004	3.0	CS+	tools/plunger.jpg	Old	baseline	DO	H	H	1.321
271.067	3.0	CS-	animals/dragonfly.jpg	Old	baseline	DO	H	H	1.334
