onset	duration	trial_type
4.033	15.284	animal
26.384	15.332999999999998	indoor
48.766999999999996	15.317	tool
71.15	15.316999999999993	outdoor
93.51700000000001	15.299999999999995	scrambled
111.81700000000001	6.0	rest
121.884	15.333000000000013	outdoor
144.267	15.332999999999998	animal
166.667	15.25	scrambled
188.967	15.282999999999989	tool
211.317	15.332999999999998	indoor
229.65	6.0	rest
239.717	15.332999999999998	scrambled
262.117	15.332999999999972	tool
284.517	15.333000000000027	indoor
306.91700000000003	15.300000000000011	animal
329.284	15.333000000000027	outdoor
347.61699999999996	6.0	rest
357.667	15.283000000000017	tool
380.017	15.25	scrambled
402.334	15.332999999999972	outdoor
424.73400000000004	15.333000000000027	indoor
447.134	15.315999999999974	animal
465.45	6.0	rest
