stimulus	source_memory	typicality	trial_type	encode_phase	recognition_memory
animals/pigeon.jpg	1	7	CS+	acquisition	DO
animals/cow.jpg	3	6	CS+	acquisition	MO
animals/caterpillarpeacockmoth.jpg	1	4	CS+	acquisition	DO
animals/shark.jpg	2	6	CS+	extinction	DO
animals/dramaderry.jpg	3	4	CS+	extinction	MN
animals/mahimahi.jpg	3	1	CS+	extinction	DO
animals/partridge.jpg	3	1	CS+	extinction	DN
animals/assassinbug.jpg	2	4	CS+	extinction	DN
animals/catfish.jpg	2	1	CS+	extinction	DN
animals/duck.jpg	3	6	CS+	extinction	MO
animals/snail.jpg	3	1	CS+	extinction	DO
animals/flamingo.jpg	3	6	CS+	baseline	DO
animals/reindeer.jpg	3	1	CS+	baseline	DO
animals/zebra.jpg	1	7	CS+	baseline	DO
animals/horse.jpg	1	7	CS+	baseline	DO
animals/rhino.jpg	1	7	CS+	baseline	DO
animals/finch.jpg	1	6	CS+	baseline	DO
animals/cranebug.jpg	2	6	CS+	baseline	DO
animals/racoon.jpg	1	4	CS+	baseline	DO
tools/cheesegrater.jpg	3	1	CS-	acquisition	MN
tools/ladder.jpg	2	5	CS-	acquisition	MO
tools/gardenhose.jpg	1	4	CS-	acquisition	DO
tools/transmissionwrench.jpg	3	1	CS-	acquisition	MN
tools/plow.jpg	3	1	CS-	acquisition	DO
tools/stove.jpg	2	1	CS-	acquisition	DN
tools/pliers.jpg	3	5	CS-	acquisition	MO
tools/gong.jpg	1	1	CS-	acquisition	DO
tools/woodchipper.jpg	1	1	CS-	extinction	MO
tools/benchdogs.jpg	3	1	CS-	extinction	DO
tools/weedeater.jpg	2	1	CS-	extinction	DO
tools/measuringdevice.jpg	3	4	CS-	extinction	MO
tools/routerplane.jpg	2	5	CS-	extinction	DO
tools/broom.jpg	1	5	CS-	extinction	DO
tools/tubeflaring.jpg	3	1	CS-	extinction	MO
tools/fan.jpg	3	3	CS-	extinction	MN
tools/extensioncord.jpg	2	5	CS-	baseline	DO
tools/campingstove.jpg	3	1	CS-	baseline	DO
tools/duffelbag.jpg	2	5	CS-	baseline	DN
tools/blower.jpg	3	2	CS-	baseline	DO
tools/camera.jpg	2	1	CS-	baseline	DO
tools/paintbrush.jpg	3	4	CS-	baseline	DO
tools/airpump.jpg	3	1	CS-	baseline	DO
tools/solderingtorch.jpg	1	1	CS-	baseline	DN
