C:\Users\Emily\Box\Eshani\raw_typicality_source_mem\Typicality_Source_Mem-14-1.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,Intro.DEVICE,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,SMP,SourceMemInstructions.DEVICE,SourceMemInstructions2.DEVICE,SourceMemPractice.DEVICE,SourceMemPractice.Duration,SourceMemPractice.FinishTime,SourceMemPractice.OffsetTime,SourceMemPractice.OnsetTime,SourceMemPractice.StartTime,SourceMemPracticeFB.DEVICE,SourceMemPracticeFB.Duration,SourceMemPracticeFB.FinishTime,SourceMemPracticeFB.OffsetTime,SourceMemPracticeFB.OnsetTime,SourceMemPracticeFB.StartTime,StudioVersion,Typicality1.DEVICE,Typicality2.DEVICE,Typicality3.DEVICE,TypicalityPractice.DEVICE,TypicalityPractice.Duration,TypicalityPractice.FinishTime,TypicalityPractice.OffsetTime,TypicalityPractice.OnsetTime,TypicalityPractice.StartTime,TypicalityPracticeFB.DEVICE,TypicalityPracticeFB.Duration,TypicalityPracticeFB.FinishTime,TypicalityPracticeFB.OffsetTime,TypicalityPracticeFB.OnsetTime,TypicalityPracticeFB.StartTime,Block,AB,AE,AFC,Block1,Block1.Cycle,Block1.Sample,Block2,Block2.Cycle,Block2.Sample,Block3,Block3.Cycle,Block3.Sample,ITI.Duration,ITI.FinishTime,ITI.OffsetTime,ITI.OnsetTime,ITI.StartTime,ITIdur,Phase,Procedure,Running,SourceMem.DEVICE,SourceMem.Duration,SourceMem.FinishTime,SourceMem.OffsetTime,SourceMem.OnsetTime,SourceMem.RESP,SourceMem.RT,SourceMem.StartTime,stims,TB,TE,TFC,Typicality.DEVICE,Typicality.Duration,Typicality.FinishTime,Typicality.OffsetTime,Typicality.OnsetTime,Typicality.RESP,Typicality.RT,Typicality.StartTime
Typicality_Source_Mem,14,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2742192</Frequency><Timestamp dt:dt=""r8"">553416213844</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Typicality_Source_Mem-14-1,59.996,1.0.0.83,1,Keyboard,-634375083,Full,3.0.3.31,3.0.3.31,2/6/2018,,18:19:22,"Correct! Now let's practice typicality, press space...",Keyboard,Keyboard,Keyboard,-1,606621,606620,603629,603602,Keyboard,-1,608690,608688,606652,606622,3.0.3.18,Keyboard,Keyboard,Keyboard,Keyboard,-1,611635,611634,608724,608691,Keyboard,-1,618616,618615,611663,611636,1,,,,4,1,1,,,,,,,563,636076,636076,635513,635465,563,Baseline,Proc,Block1,Keyboard,-1,629725,629724,618672,1,11052,618651,stims2/tools/chisel.jpg,15,,,Keyboard,-1,635464,635463,629762,2,5701,629732
Typicality_Source_Mem,14,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2742192</Frequency><Timestamp dt:dt=""r8"">553416213844</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Typicality_Source_Mem-14-1,59.996,1.0.0.83,1,Keyboard,-634375083,Full,3.0.3.31,3.0.3.31,2/6/2018,,18:19:22,"Correct! Now let's practice typicality, press space...",Keyboard,Keyboard,Keyboard,-1,606621,606620,603629,603602,Keyboard,-1,608690,608688,606652,606622,3.0.3.18,Keyboard,Keyboard,Keyboard,Keyboard,-1,611635,611634,608724,608691,Keyboard,-1,618616,618615,611663,611636,2,,,,6,1,2,,,,,,,778,650785,650784,650006,649980,778,Extinction,Proc,Block1,Keyboard,-1,643144,643143,636136,2,7006,636117,stims2/tools/camera.jpg,,2,,Keyboard,-1,649979,649978,643176,2,6801,643149
Typicality_Source_Mem,14,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2742192</Frequency><Timestamp dt:dt=""r8"">553416213844</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Typicality_Source_Mem-14-1,59.996,1.0.0.83,1,Keyboard,-634375083,Full,3.0.3.31,3.0.3.31,2/6/2018,,18:19:22,"Correct! Now let's practice typicality, press space...",Keyboard,Keyboard,Keyboard,-1,606621,606620,603629,603602,Keyboard,-1,608690,608688,606652,606622,3.0.3.18,Keyboard,Keyboard,Keyboard,Keyboard,-1,611635,611634,608724,608691,Keyboard,-1,618616,618615,611663,611636,3,,,,4,1,3,,,,,,,662,657320,657319,656657,656634,662,Baseline,Proc,Block1,Keyboard,-1,653692,653691,650845,3,2846,650823,stims2/tools/reflexhammer.jpg,7,,,Keyboard,-1,656633,656631,653717,5,2914,653698
Typicality_Source_Mem,14,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2742192</Frequency><Timestamp dt:dt=""r8"">553416213844</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Typicality_Source_Mem-14-1,59.996,1.0.0.83,1,Keyboard,-634375083,Full,3.0.3.31,3.0.3.31,2/6/2018,,18:19:22,"Correct! Now let's practice typicality, press space...",Keyboard,Keyboard,Keyboard,-1,606621,606620,603629,603602,Keyboard,-1,608690,608688,606652,606622,3.0.3.18,Keyboard,Keyboard,Keyboard,Keyboard,-1,611635,611634,608724,608691,Keyboard,-1,618616,618615,611663,611636,4,,,,6,1,4,,,,,,,606,665200,665199,664593,664563,606,Extinction,Proc,Block1,Keyboard,-1,661140,661139,657381,3,3758,657361,stims2/tools/hammer.jpg,,24,,Keyboard,-1,664562,664561,661170,7,3390,661146
Typicality_Source_Mem,14,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2742192</Frequency><Timestamp dt:dt=""r8"">553416213844</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Typicality_Source_Mem-14-1,59.996,1.0.0.83,1,Keyboard,-634375083,Full,3.0.3.31,3.0.3.31,2/6/2018,,18:19:22,"Correct! Now let's practice typicality, press space...",Keyboard,Keyboard,Keyboard,-1,606621,606620,603629,603602,Keyboard,-1,608690,608688,606652,606622,3.0.3.18,Keyboard,Keyboard,Keyboard,Keyboard,-1,611635,611634,608724,608691,Keyboard,-1,618616,618615,611663,611636,5,,,15,2,1,5,,,,,,,604,683284,683283,682679,682648,604,FearConditioning,Proc,Block1,Keyboard,-1,670900,670898,665266,3,5632,665235,stims2/animals/chipmunk.jpg,,,,Keyboard,-1,682645,682644,670938,4,11706,670908
Typicality_Source_Mem,14,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2742192</Frequency><Timestamp dt:dt=""r8"">553416213844</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Typicality_Source_Mem-14-1,59.996,1.0.0.83,1,Keyboard,-634375083,Full,3.0.3.31,3.0.3.31,2/6/2018,,18:19:22,"Correct! Now let's practice typicality, press space...",Keyboard,Keyboard,Keyboard,-1,606621,606620,603629,603602,Keyboard,-1,608690,608688,606652,606622,3.0.3.18,Keyboard,Keyboard,Keyboard,Keyboard,-1,611635,611634,608724,608691,Keyboard,-1,618616,618615,611663,611636,6,,21,,3,1,6,,,,,,,709,693324,693324,692615,692594,709,Extinction,Proc,Block1,Keyboard,-1,686621,686620,683351,2,3268,683328,stims2/animals/racoon.jpg,,,,Keyboard,-1,692593,692592,686658,6,5933,686627
Typicality_Source_Mem,14,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2742192</Frequency><Timestamp dt:dt=""r8"">553416213844</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Typicality_Source_Mem-14-1,59.996,1.0.0.83,1,Keyboard,-634375083,Full,3.0.3.31,3.0.3.31,2/6/2018,,18:19:22,"Correct! Now let's practice typicality, press space...",Keyboard,Keyboard,Keyboard,-1,606621,606620,603629,603602,Keyboard,-1,608690,608688,606652,606622,3.0.3.18,Keyboard,Keyboard,Keyboard,Keyboard,-1,611635,611634,608724,608691,Keyboard,-1,618616,618615,611663,611636,7,,,,5,1,7,,,,,,,767,704358,704357,703590,703562,767,FearConditioning,Proc,Block1,Keyboard,-1,700331,700330,693387,3,6942,693363,stims2/tools/lawnmower.jpg,,,18,Keyboard,-1,703561,703560,700368,5,3191,700336
Typicality_Source_Mem,14,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2742192</Frequency><Timestamp dt:dt=""r8"">553416213844</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Typicality_Source_Mem-14-1,59.996,1.0.0.83,1,Keyboard,-634375083,Full,3.0.3.31,3.0.3.31,2/6/2018,,18:19:22,"Correct! Now let's practice typicality, press space...",Keyboard,Keyboard,Keyboard,-1,606621,606620,603629,603602,Keyboard,-1,608690,608688,606652,606622,3.0.3.18,Keyboard,Keyboard,Keyboard,Keyboard,-1,611635,611634,608724,608691,Keyboard,-1,618616,618615,611663,611636,8,1,,,1,1,8,,,,,,,676,712368,712367,711691,711674,676,Baseline,Proc,Block1,Keyboard,-1,709225,709224,704430,2,4793,704399,stims2/animals/flea.jpg,,,,Keyboard,-1,711672,711671,709252,2,2419,709232
Typicality_Source_Mem,14,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2742192</Frequency><Timestamp dt:dt=""r8"">553416213844</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Typicality_Source_Mem-14-1,59.996,1.0.0.83,1,Keyboard,-634375083,Full,3.0.3.31,3.0.3.31,2/6/2018,,18:19:22,"Correct! Now let's practice typicality, press space...",Keyboard,Keyboard,Keyboard,-1,606621,606620,603629,603602,Keyboard,-1,608690,608688,606652,606622,3.0.3.18,Keyboard,Keyboard,Keyboard,Keyboard,-1,611635,611634,608724,608691,Keyboard,-1,618616,618615,611663,611636,9,,,,6,1,9,,,,,,,620,718030,718029,717409,717382,620,Extinction,Proc,Block1,Keyboard,-1,714508,714507,712431,2,2076,712407,stims2/tools/campingstove.jpg,,1,,Keyboard,-1,717380,717379,714537,3,2842,714515
Typicality_Source_Mem,14,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2742192</Frequency><Timestamp dt:dt=""r8"">553416213844</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-02-07T00:19:22Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Typicality_Source_Mem-14-1,59.996,1.0.0.83,1,Keyboard,-634375083,Full,3.0.3.31,3.0.3.31,2/6/2018,,18:19:22,"Correct! Now let's practice typicality, press space...",Keyboard,Keyboard,Keyboard,-1,606621,606620,603629,603602,Keyboard,-1,608690,608688,606652,606622,3.0.3.18,Keyboard,Keyboard,Keyboard,Keyboard,-1,611635,611634,608724,608691,Keyboard,-1,618616,618615,611663,611636,10,12,,,1,1,10,,,,,,,699,725578,725577,724878,724858,699,Baseline,Proc,Block1,Keyboard,-1,721616,721615,718098,3,3516,718071,stims2/animals/hummingbird.jpg,,,,Keyboard,-1,724856,724855,721655,5,3200,721623
