onset	duration	trial_type
4.033	15.299999999999995	animal
26.4	15.332999999999998	indoor
48.783	15.316999999999993	tool
71.167	15.332999999999998	outdoor
93.56700000000001	15.300000000000011	scrambled
111.867	6.0	rest
121.93299999999999	15.333999999999987	outdoor
144.333	15.300000000000011	animal
166.7	15.300000000000011	scrambled
189.067	15.332999999999998	tool
211.467	15.332999999999998	indoor
229.8	6.0	rest
239.86700000000002	15.300000000000011	scrambled
262.23400000000004	15.300000000000011	tool
284.6	15.334000000000005	indoor
306.98400000000004	15.26600000000002	animal
329.31699999999995	15.332999999999972	outdoor
347.65	6.0	rest
357.717	15.317000000000007	tool
380.084	15.300000000000011	scrambled
402.45	15.334000000000005	outdoor
424.851	15.315999999999974	indoor
447.23400000000004	15.350000000000026	animal
465.584	6.0	rest
