stimulus	source_memory	typicality	trial_type	encode_phase	recognition_memory	trial_number
tools/blower.jpg	1	3	CS-	baseline	MO	8
animals/flea.jpg	2	7	CS+	acquisition	DO	11
animals/pelican.jpg	2	7	CS+	acquisition	MO	15
animals/pike.jpg	3	4	CS+	acquisition	MN	19
animals/boar.jpg	3	5	CS+	acquisition	MO	23
animals/tiger.jpg	2	5	CS+	acquisition	MO	3
animals/dragonfly.jpg	3	4	CS+	acquisition	MO	21
animals/caterpillarpeacockmoth.jpg	2	7	CS+	acquisition	DO	13
animals/ostrich.jpg	1	5	CS+	acquisition	MO	7
animals/dramaderry.jpg	1	5	CS+	extinction	MO	1
animals/ant.jpg	1	5	CS+	extinction	MN	16
animals/mink.jpg	2	6	CS+	extinction	MO	23
animals/shark.jpg	2	5	CS+	extinction	MO	17
animals/chipmunk.jpg	2	5	CS+	extinction	MO	20
animals/mouse.jpg	2	7	CS+	extinction	MO	21
animals/mahimahi.jpg	1	4	CS+	extinction	MO	6
animals/assassinbug.jpg	2	5	CS+	extinction	MO	4
animals/cricket.jpg	2	5	CS+	baseline	DO	24
animals/aardvark.jpg	2	4	CS+	baseline	MN	17
animals/goldfish.jpg	1	4	CS+	baseline	MO	6
animals/elephantafrican.jpg	1	3	CS+	baseline	MO	1
animals/canary.jpg	2	7	CS+	baseline	MO	4
animals/rhino.jpg	2	4	CS+	baseline	MO	2
animals/caterpillarhawkmoth.jpg	2	5	CS+	baseline	DO	15
animals/skunk.jpg	2	4	CS+	baseline	MO	12
tools/scissors.jpg	2	5	CS-	acquisition	DO	14
tools/stove.jpg	1	4	CS-	acquisition	MO	13
tools/ladder.jpg	1	4	CS-	acquisition	MO	21
tools/cheesegrater.jpg	1	4	CS-	acquisition	MO	5
tools/shoehorn.jpg	1	3	CS-	acquisition	MN	9
tools/rollingpin.jpg	1	3	CS-	acquisition	MO	6
tools/gong.jpg	2	3	CS-	acquisition	MN	22
tools/electricbreaker.jpg	2	3	CS-	acquisition	MO	2
tools/routerplane.jpg	1	4	CS-	extinction	MN	1
tools/pruner.jpg	1	3	CS-	extinction	MN	20
tools/beaker.jpg	1	3	CS-	extinction	MN	3
tools/measuringdevice.jpg	1	3	CS-	extinction	MO	5
tools/tubeflaring.jpg	1	3	CS-	extinction	MN	12
tools/vegetablepeeler.jpg	2	4	CS-	extinction	MO	17
tools/mallet.jpg	2	4	CS-	extinction	MN	22
tools/viceclamp.jpg	1	3	CS-	extinction	MO	18
tools/solderingtorch.jpg	1	2	CS-	baseline	MO	4
tools/microwave.jpg	1	4	CS-	baseline	MO	10
tools/treadmill.jpg	1	3	CS-	baseline	MN	17
tools/chainsaw.jpg	1	3	CS-	baseline	MO	16
tools/carpetblower.jpg	1	3	CS-	baseline	MO	21
tools/monkeywrench.jpg	2	3	CS-	baseline	DO	7
tools/edger.jpg	2	5	CS-	baseline	MO	3
tools/padlock.jpg	2	4	CS-	baseline	MO	5
