onset	duration	trial_type
4.034	15.333000000000002	animal
26.433000000000003	15.334000000000005	indoor
48.817	15.333000000000006	tool
71.217	15.332999999999998	outdoor
93.617	15.283	scrambled
111.9	6.0	rest
121.96700000000001	15.333000000000013	outdoor
144.36700000000002	15.332999999999998	animal
166.767	15.332999999999998	scrambled
189.167	15.332999999999998	tool
211.567	15.332999999999998	indoor
229.9	6.0	rest
239.95	15.267000000000026	scrambled
262.267	15.300000000000011	tool
284.633	15.334000000000005	indoor
307.017	15.316000000000033	animal
329.4	15.333000000000027	outdoor
347.733	6.0	rest
357.783	15.300000000000011	tool
380.15	15.300000000000011	scrambled
402.517	15.333000000000027	outdoor
424.917	15.333000000000027	indoor
447.31699999999995	15.315999999999974	animal
465.63300000000004	6.0	rest
