stimulus	source_memory	typicality	trial_type	encode_phase	recognition_memory
tools/plunger.jpg	1	5	CS+	baseline	DO
tools/pruner.jpg	2	4	CS+	acquisition	DO
animals/cow.jpg	3	6	CS-	baseline	DN
tools/transmissionwrench.jpg	3	4	CS+	baseline	DN
animals/sheep.jpg	1	3	CS-	acquisition	DN
tools/fan.jpg	2	6	CS+	acquisition	MO
animals/quail.jpg	3	3	CS-	baseline	DN
tools/squeegee.jpg	2	6	CS+	extinction	MN
tools/chainsaw.jpg	2	4	CS+	extinction	DO
tools/ropeandpulley.jpg	1	2	CS+	baseline	DN
animals/prayingmantis.jpg	2	4	CS-	baseline	DO
animals/chipmunk.jpg	3	7	CS-	acquisition	MN
tools/solderingtorch.jpg	2	2	CS+	extinction	MO
animals/mink.jpg	1	3	CS-	acquisition	DO
animals/boar.jpg	1	2	CS-	baseline	MN
animals/cricket.jpg	3	5	CS-	extinction	MN
animals/rabbit.jpg	3	5	CS-	acquisition	MN
tools/levelmount.jpg	2	3	CS+	acquisition	DO
tools/reflexhammer.jpg	1	1	CS+	baseline	DO
animals/horse.jpg	1	1	CS-	extinction	MN
animals/rhino.jpg	2	2	CS-	extinction	DO
animals/hummingbird.jpg	2	3	CS-	baseline	DN
tools/edger.jpg	2	5	CS+	extinction	MN
tools/campingstove.jpg	3	2	CS+	extinction	DN
tools/blower.jpg	1	5	CS+	extinction	DO
animals/ant.jpg	3	7	CS-	acquisition	MO
tools/drillbit.jpg	3	3	CS+	baseline	MO
tools/paintbrush.jpg	1	6	CS+	extinction	MO
animals/flea.jpg	2	2	CS-	baseline	DO
animals/shrimp.jpg	3	3	CS-	extinction	MN
tools/stove.jpg	2	1	CS+	baseline	MN
tools/sander.jpg	3	4	CS+	acquisition	DO
animals/zebra.jpg	3	5	CS-	extinction	DN
tools/rake.jpg	1	2	CS+	baseline	DO
animals/mole.jpg	3	1	CS-	baseline	MN
animals/anteater.jpg	3	1	CS-	acquisition	DN
tools/workbench.jpg	1	4	CS+	extinction	DO
animals/flamingo.jpg	1	2	CS-	extinction	MN
tools/broom.jpg	2	7	CS+	acquisition	MN
tools/plow.jpg	1	3	CS+	baseline	DN
animals/brown_bear.jpg	2	3	CS-	acquisition	MO
animals/baldeagle.jpg	1	6	CS-	acquisition	DO
animals/llama.jpg	3	2	CS-	extinction	DO
tools/measuringdevice.jpg	1	3	CS+	acquisition	MO
animals/gerbil.jpg	2	3	CS-	baseline	MO
animals/aardvark.jpg	1	1	CS-	extinction	DO
tools/wrench.jpg	1	7	CS+	acquisition	DO
tools/beaker.jpg	3	4	CS+	acquisition	MN
animals/crow.jpg	1	7	CS-	baseline	MO
animals/dragonfly.jpg	1	2	CS-	baseline	MO
animals/leopard.jpg	3	1	CS-	baseline	MN
animals/pelican.jpg	2	3	CS-	baseline	MO
animals/pigeon.jpg	3	7	CS-	baseline	MO
animals/giraffe.jpg	1	2	CS-	baseline	DO
animals/porcupine.jpg	1	1	CS-	baseline	MO
animals/caterpillarpeacockmoth.jpg	3	1	CS-	baseline	DO
animals/herring.jpg	2	6	CS-	acquisition	MN
animals/camel.jpg	2	2	CS-	acquisition	DO
animals/mahimahi.jpg	2	1	CS-	acquisition	MO
animals/shark.jpg	3	3	CS-	acquisition	MN
animals/mouse.jpg	3	5	CS-	acquisition	MO
animals/seal.jpg	2	4	CS-	acquisition	DO
animals/carp.jpg	2	7	CS-	acquisition	MN
animals/snail.jpg	2	5	CS-	acquisition	MO
animals/starfish.jpg	2	2	CS-	extinction	MN
animals/reindeer.jpg	1	5	CS-	extinction	MO
animals/elephantafrican.jpg	2	4	CS-	extinction	DO
animals/cranebug.jpg	1	6	CS-	extinction	DN
animals/perch.jpg	3	7	CS-	extinction	MN
animals/cat.jpg	1	7	CS-	extinction	DN
animals/hyena.jpg	2	2	CS-	extinction	MO
animals/salmon.jpg	2	7	CS-	extinction	MN
tools/wheelbarrow.jpg	2	5	CS+	baseline	DO
tools/ladder.jpg	3	5	CS+	baseline	MO
tools/chisel.jpg	1	3	CS+	baseline	MN
tools/gardenhose.jpg	1	7	CS+	baseline	DO
tools/pliers.jpg	3	4	CS+	baseline	MN
tools/rollingpin.jpg	3	5	CS+	baseline	MN
tools/beadingtool.jpg	2	1	CS+	baseline	MO
tools/cheesegrater.jpg	1	5	CS+	baseline	MN
tools/vegetablepeeler.jpg	2	7	CS+	acquisition	DO
tools/routerplane.jpg	1	2	CS+	acquisition	MN
tools/benchdogs.jpg	3	1	CS+	acquisition	DN
tools/eraser.jpg	2	2	CS+	acquisition	MO
tools/spoon.jpg	1	7	CS+	acquisition	MO
tools/woodchipper.jpg	3	1	CS+	acquisition	MN
tools/sparkplug.jpg	2	2	CS+	acquisition	MN
tools/measuringcups.jpg	3	4	CS+	acquisition	DN
tools/measuringtape.jpg	2	7	CS+	extinction	DO
tools/toaster.jpg	3	6	CS+	extinction	DN
tools/monkeywrench.jpg	1	7	CS+	extinction	DO
tools/airpump.jpg	3	5	CS+	extinction	DN
tools/jumpercables.jpg	1	7	CS+	extinction	DO
tools/microwave.jpg	2	7	CS+	extinction	DN
tools/duffelbag.jpg	1	6	CS+	extinction	
tools/camera.jpg	1	3	CS+	extinction	MO
animals/waterbuffalo.jpg	2	5	CS-	baseline	MO
animals/ostrich.jpg	3	2	CS-	baseline	MO
animals/angelfish.jpg	2	5	CS-	baseline	MN
animals/snapper.jpg	2	1	CS-	baseline	MN
animals/pike.jpg	3	3	CS-	baseline	MN
animals/herculesbeetle.jpg	1	1	CS-	baseline	DO
animals/baboon.jpg	1	5	CS-	baseline	DO
animals/tiger.jpg	3	7	CS-	baseline	DO
animals/partridge.jpg	2	1	CS-	acquisition	DN
animals/dramaderry.jpg	2	2	CS-	acquisition	MN
animals/turkey.jpg	3	3	CS-	acquisition	
animals/duck.jpg	1	6	CS-	acquisition	DO
animals/firebug.jpg	3	1	CS-	acquisition	MO
animals/catfish.jpg	2	5	CS-	acquisition	DO
animals/assassinbug.jpg	1	1	CS-	acquisition	MN
animals/palmcockatoo.jpg	1	1	CS-	acquisition	DN
animals/finch.jpg	1	3	CS-	extinction	MN
animals/halibut.jpg	2	4	CS-	extinction	DN
animals/skunk.jpg	3	5	CS-	extinction	MO
animals/marmot.jpg	2	6	CS-	extinction	MO
animals/canary.jpg	2	2	CS-	extinction	DN
animals/goldfish.jpg	3	7	CS-	extinction	MN
