onset	duration	trial_type
4.033	15.334000000000001	animal
26.433000000000003	15.334000000000005	indoor
48.833	15.334000000000005	tool
71.233	15.333999999999987	outdoor
93.617	15.283	scrambled
111.9	6.0	rest
121.96700000000001	15.333000000000013	outdoor
144.35	15.332999999999998	animal
166.733	15.25	scrambled
189.05	15.299999999999983	tool
211.417	15.332999999999998	indoor
229.75	6.0	rest
239.817	15.299000000000007	scrambled
262.16700000000003	15.316000000000033	tool
284.55	15.332999999999972	indoor
306.95	15.300000000000011	animal
329.31699999999995	15.332999999999972	outdoor
347.65	6.0	rest
357.7	15.300000000000011	tool
380.066	15.284000000000047	scrambled
402.417	15.333000000000027	outdoor
424.81699999999995	15.332999999999972	indoor
447.217	15.283000000000017	animal
465.5	6.0	rest
