onset	duration	trial_type	stimulus	memory_condition	encode_phase	response	low_confidence_accuracy	high_confidence_accuracy	response_time
4.033	3.0	CS+	animals/dockbug2.jpg	New	foil	DN	CR	CR	1.9169999999999998
11.117	3.0	CS+	animals/partridge.jpg	Old	acquisition	DO	H	H	1.044
18.2	3.0	CS+	animals/halibut.jpg	Old	extinction	DO	H	H	1.546
25.267	3.0	CS-	tools/clippers.jpg	New	foil	DO	FA	FA	0.7959999999999999
32.35	3.0	CS+	animals/anteater.jpg	Old	acquisition	DO	H	H	0.892
39.45	3.0	CS-	tools/smartphone.jpg	New	foil	DO	FA	FA	0.858
46.55	3.0	CS+	animals/ibises.jpg	New	foil	DO	FA	FA	0.759
53.65	3.0	CS-	tools/eraser.jpg	Old	acquisition	DO	H	H	0.835
60.75	3.0	CS-	tools/electricsewingmachine.jpg	New	foil	DN	CR	CR	1.219
67.85	3.0	CS-	tools/nailgun.jpg	New	foil	DN	CR	CR	0.87
74.95	3.0	CS+	animals/gecko.jpg	New	foil	DN	CR	CR	1.432
82.01700000000001	3.0	CS+	animals/herculesbeetle.jpg	Old	baseline	DN	M	M	1.208
89.1	3.0	CS-	tools/shoehorn.jpg	Old	baseline	DO	H	H	1.314
96.167	3.0	CS+	animals/quail.jpg	Old	baseline	DN	M	M	1.4069999999999998
103.26700000000001	3.0	CS+	animals/toucan.jpg	New	foil	DN	CR	CR	0.851
110.367	3.0	CS-	tools/videogamecontroller.jpg	Old	extinction	DN	M	M	0.705
117.45	3.0	CS-	tools/duffelbag.jpg	Old	extinction	DO	H	H	1.288
124.53299999999999	3.0	CS+	animals/cranebug.jpg	Old	extinction	DO	H	H	0.927
131.61700000000002	3.0	CS-	tools/weldinghelmet.jpg	Old	baseline	DO	H	H	1.148
138.683	3.0	CS-	tools/woodchipper.jpg	Old	acquisition	DO	H	H	0.736
145.767	3.0	CS+	animals/carp.jpg	Old	acquisition	DO	H	H	0.887
152.86700000000002	3.0	CS-	tools/stove.jpg	Old	baseline	DO	H	H	1.29
159.967	3.0	CS+	animals/lion.jpg	New	foil	DO	FA	FA	1.683
167.03400000000002	3.0	CS-	tools/compass.jpg	New	foil	DO	FA	FA	1.3840000000000001
174.11700000000002	3.0	CS-	tools/airpump.jpg	Old	extinction	DO	H	H	0.998
181.18400000000003	3.0	CS+	animals/snapper.jpg	Old	baseline	DO	H	H	0.9279999999999999
188.267	3.0	CS-	tools/routerplane.jpg	Old	acquisition	DO	H	H	1.082
195.334	3.0	CS+	animals/starfish.jpg	Old	extinction	DN	M	M	1.12
202.433	3.0	CS+	animals/turkey.jpg	Old	acquisition	DO	H	H	0.868
209.517	3.0	CS-	tools/vacuumcleaner.jpg	New	foil	MO	FA	CR	1.056
216.6	3.0	CS-	tools/watch.jpg	New	foil	DO	FA	FA	2.017
223.68400000000003	3.0	CS-	tools/cuttingboard.jpg	New	foil	MO	FA	CR	0.848
230.75	3.0	CS+	animals/kangaroo.jpg	New	foil	MO	FA	CR	1.051
237.834	3.0	CS+	animals/vulture.jpg	New	foil	MO	FA	CR	1.68
244.917	3.0	CS+	animals/clam.jpg	New	foil	MN	CR	CR	0.9329999999999999
251.984	3.0	CS-	tools/paintroller.jpg	Old	baseline	DN	M	M	1.29
259.084	3.0	CS-	tools/measuringdevice.jpg	Old	acquisition	DO	H	H	0.938
266.184	3.0	CS-	tools/toaster.jpg	Old	extinction	DO	H	H	0.87
273.284	3.0	CS+	animals/canary.jpg	Old	extinction	MO	H	M	1.55
280.367	3.0	CS+	animals/hummingbird.jpg	Old	baseline	DO	H	H	1.0190000000000001
287.467	3.0	CS+	animals/emu.jpg	New	foil	MO	FA	CR	1.139
295.567	3.0	CS-	tools/squeegee.jpg	Old	extinction	MO	H	M	0.6509999999999999
303.634	3.0	CS+	animals/waterbuffalo.jpg	Old	baseline	MO	H	M	1.034
311.73400000000004	3.0	CS+	animals/chipmunk.jpg	Old	acquisition	MO	H	M	1.147
