onset	duration	trial_type
4.0169999999999995	15.317	animal
26.4	15.334000000000005	indoor
48.801	15.315999999999988	tool
71.184	15.332999999999998	outdoor
93.584	15.332999999999998	scrambled
111.917	6.0	rest
121.984	15.333000000000013	outdoor
144.384	15.334000000000005	animal
166.78400000000002	15.317000000000007	scrambled
189.167	15.317000000000007	tool
211.551	15.332999999999998	indoor
229.88400000000001	6.0	rest
239.951	15.332999999999998	scrambled
262.351	15.333000000000027	tool
284.751	15.333000000000027	indoor
307.151	15.317000000000007	animal
329.534	15.334000000000005	outdoor
347.86800000000005	6.0	rest
357.918	15.300000000000011	tool
380.285	15.315999999999974	scrambled
402.668	15.332999999999972	outdoor
425.06800000000004	15.333000000000027	indoor
447.468	15.317000000000007	animal
465.785	6.0	rest
