condition,response_phase,beta,p,tail,ci,topval,botval,encode_phase,star
CS+,acquisition,0.4801366070054763,0.0014000000000000679,>,[0.2004 0.762 ],0.9560507094076226,-0.1259553878169564,baseline,**
CS+,baseline,0.08693579555172262,0.5656000000000001,>,[-0.2138  0.3861],0.6061175033426639,-0.5634961674168879,baseline,
CS+,extinction,-0.5671206361796549,0.0,<,[-0.8346 -0.3007],-0.050739219777911126,-1.125756753453764,baseline,***
CS-,acquisition,0.34531390292379144,0.0018000000000000238,>,[0.1346 0.5645],0.7480370430945256,-0.12758556997859707,baseline,**
CS-,baseline,-0.13728393008321674,0.2936000000000001,<,[-0.3929  0.1263],0.3192569705060971,-0.6575718535180919,baseline,
CS-,extinction,-0.2079682906988679,0.05459999999999998,<,[-0.4173  0.003 ],0.1205331946125724,-0.65728752678684,baseline,~
