condition,response_phase,beta,p,tail,ci,topval,botval,encode_phase,star
CS+,acquisition,0.6524530341745922,0.0,>,[0.4102 0.9041],1.1577061281948353,0.12145533536560786,acquisition,***
CS+,baseline,-0.17935858126689683,0.2634000000000001,<,[-0.4909  0.1294],0.3625168144170953,-0.8719174863688526,acquisition,
CS+,extinction,-0.47306141644534955,0.0012000000000000899,<,[-0.7714 -0.1895],0.040360649207088914,-1.059356892845473,acquisition,**
CS-,acquisition,0.6773483197803954,0.0,>,[0.3748 0.9787],1.1814560669970866,0.08077610763230901,acquisition,***
CS-,baseline,-0.2702699178429365,0.11799999999999988,<,[-0.6053  0.0628],0.31689777422799315,-1.018020000768265,acquisition,
CS-,extinction,-0.40701458116802536,0.0052000000000000934,<,[-0.7058 -0.1144],0.09832893349834725,-1.0361993219021748,acquisition,**
