condition,response_phase,beta,p,tail,ci,topval,botval,encode_phase,star
CS+,acquisition,0.546087146598518,0.00039999999999995595,>,[0.234  0.8563],1.1150051216620298,-0.08636816773906043,extinction,***
CS+,baseline,-0.16947302139352222,0.29899999999999993,<,[-0.4961  0.1404],0.3819964003017946,-0.9938936303128183,extinction,
CS+,extinction,-0.37656798979749184,0.01540000000000008,<,[-0.6921 -0.0679],0.15547609340996404,-0.9857100771728273,extinction,*
CS-,acquisition,0.46596047343613234,0.0,>,[0.2659 0.6884],0.84501447813841,0.018765760433455916,extinction,***
CS-,baseline,-0.18934232252322805,0.16660000000000008,<,[-0.4694  0.0792],0.25352957436390117,-0.7234942595875069,extinction,
CS-,extinction,-0.27657657748095216,0.0354000000000001,<,[-0.5447 -0.0186],0.23523456032697515,-0.869930940136702,extinction,*
