onset	duration	trial_type
4.0169999999999995	15.283	animal
26.366999999999997	15.333000000000002	indoor
48.75	15.266999999999996	tool
71.083	15.334000000000005	outdoor
93.46700000000001	15.233000000000004	scrambled
111.7	6.0	rest
121.76700000000001	15.316000000000004	outdoor
144.15	15.317000000000007	animal
166.517	15.233000000000004	scrambled
188.8	15.282999999999989	tool
211.13299999999998	15.299999999999983	indoor
229.433	6.0	rest
239.483	15.25	scrambled
261.783	15.300000000000011	tool
284.15	15.333000000000027	indoor
306.533	15.266999999999996	animal
328.85	15.299999999999955	outdoor
347.15	6.0	rest
357.2	15.283000000000017	tool
379.533	15.25	scrambled
401.85	15.332999999999972	outdoor
424.233	15.317000000000007	indoor
446.6	15.25	animal
464.85	6.0	rest
