onset	duration	trial_type	stimulus	response	response_time	recognition_memory
4.05	5.0	CS-	animals/waterbuffalo.jpg	1	1.195	MN
14.116	5.0	CS+	tools/beadingtool.jpg	2	1.216	MO
24.183000000000003	4.5	CS-	animals/cow.jpg	1	0.86	MN
35.75	4.0	CS-	animals/baboon.jpg	1	0.845	MO
45.816	4.0	CS+	tools/gong.jpg	2	1.46	DO
54.883	4.0	CS+	tools/hairdryer.jpg	2	1.0490000000000002	MO
64.95	4.5	CS-	animals/caterpillarpeacockmoth.jpg	1	1.46	MO
76.516	5.0	CS+	tools/drillbit.jpg	2	1.14	DO
88.583	5.0	CS+	tools/gardenhose.jpg	2	0.856	MO
98.65	5.0	CS-	animals/angelfish.jpg	1	0.85	DO
110.71600000000001	4.0	CS-	animals/ostrich.jpg	1	1.078	MO
119.78299999999999	4.0	CS+	tools/reflexhammer.jpg	2	1.196	DO
130.85	4.0	CS-	animals/flea.jpg	1	0.855	MO
141.917	4.5	CS+	tools/rollingpin.jpg	2	0.785	DO
152.5	5.0	CS-	animals/leopard.jpg	1	0.767	MN
164.567	5.0	CS+	tools/scissors.jpg	2	0.8859999999999999	MO
176.63299999999998	4.5	CS+	tools/weldinghelmet.jpg	2	1.609	MO
187.2	4.5	CS-	animals/prayingmantis.jpg	1	1.075	MN
197.767	4.0	CS+	tools/pliers.jpg	2	1.004	MO
208.833	5.0	CS-	animals/quail.jpg	1	0.9229999999999999	MN
219.9	4.0	CS+	tools/cheesegrater.jpg	2	1.188	MN
228.967	4.0	CS-	animals/herculesbeetle.jpg	1	0.929	MO
240.033	4.0	CS-	animals/pike.jpg	1	0.975	MO
251.1	4.5	CS+	tools/chisel.jpg	2	0.9	MN
260.66700000000003	4.0	CS+	tools/ropeandpulley.jpg	2	1.012	DN
270.733	4.5	CS-	animals/pelican.jpg	1	0.773	MN
281.3	5.0	CS+	tools/transmissionwrench.jpg	2	0.899	MO
291.367	4.0	CS+	tools/stove.jpg	2	0.976	MN
301.434	4.5	CS-	animals/dragonfly.jpg	1	0.8759999999999999	DO
311.0	4.0	CS-	animals/gerbil.jpg	1	0.778	MO
321.067	5.0	CS+	tools/faxmachine.jpg	2	0.96	DN
333.15	5.0	CS-	animals/crow.jpg	1	1.265	MN
343.217	4.0	CS+	tools/paintroller.jpg	2	1.036	MO
353.284	5.0	CS-	animals/hummingbird.jpg	1	0.892	MN
363.35	4.5	CS+	tools/plunger.jpg	2	1.358	DO
374.917	4.5	CS-	animals/boar.jpg	1	0.9129999999999999	MN
385.48400000000004	5.0	CS-	animals/giraffe.jpg	1	0.7929999999999999	MN
397.55	4.5	CS+	tools/plow.jpg	2	0.9329999999999999	MO
407.11699999999996	5.0	CS+	tools/wheelbarrow.jpg	2	0.6920000000000001	DO
417.184	4.5	CS-	animals/mole.jpg	1	0.856	DO
427.75	5.0	CS-	animals/tiger.jpg	1	0.8490000000000001	MO
437.81699999999995	4.5	CS+	tools/shoehorn.jpg	2	1.091	MO
448.384	4.0	CS-	animals/snapper.jpg	1	0.68	MN
457.45099999999996	4.5	CS+	tools/rake.jpg	2	0.703	DO
468.017	4.0	CS-	animals/porcupine.jpg	1	0.7909999999999999	MO
479.084	5.0	CS+	tools/electricbreaker.jpg	2	0.835	MO
491.151	4.5	CS-	animals/pigeon.jpg	1	0.9640000000000001	DO
501.717	4.5	CS+	tools/ladder.jpg	2	0.946	DO
