onset	duration	trial_type	stimulus	response	response_time	recognition_memory
4.016	4.5	CS+	animals/canary.jpg	1	0.7859999999999999	MO
15.35	4.0	CS-	tools/airpump.jpg	2	0.265	MN
24.217	5.0	CS+	animals/llama.jpg	2	0.198	DO
36.05	4.5	CS+	animals/shrimp.jpg	2	0.5	MO
46.36600000000001	4.5	CS-	tools/bucket.jpg	2	0.496	MO
55.717	5.0	CS-	tools/treadmill.jpg	2	0.606	DO
66.583	4.0	CS+	animals/finch.jpg	1	0.7040000000000001	MO
76.4	4.5	CS-	tools/edger.jpg	2	0.325	MN
86.71700000000001	4.0	CS+	animals/reindeer.jpg	1	0.5720000000000001	MO
95.583	5.0	CS-	tools/solderingtorch.jpg	2	0.47	DO
106.4	5.0	CS-	tools/squeegee.jpg	2	0.616	MN
118.18299999999999	4.0	CS+	animals/marmot.jpg	1	0.9129999999999999	DN
127.05	4.0	CS-	tools/campingstove.jpg	2	0.894	MN
136.86700000000002	5.0	CS+	animals/cranebug.jpg	2	0.985	MO
146.733	5.0	CS-	tools/paintbrush.jpg	2	0.747	MO
157.567	4.5	CS+	animals/salmon.jpg	2	1.298	MO
167.88299999999998	4.0	CS+	animals/starfish.jpg	2	0.86	DO
178.667	4.0	CS-	tools/microwave.jpg	2	0.8859999999999999	MN
188.517	5.0	CS+	animals/flamingo.jpg	2	0.8059999999999999	DO
200.36700000000002	4.5	CS-	tools/chainsaw.jpg	2	0.753	MO
209.717	5.0	CS+	animals/goldfish.jpg	2	0.82	MO
219.583	4.5	CS-	tools/blower.jpg	2	0.7559999999999999	MO
230.86700000000002	5.0	CS-	tools/workbench.jpg	2	0.953	MN
242.667	5.0	CS+	animals/zebra.jpg	2	1.033	DO
252.533	4.5	CS+	animals/aardvark.jpg	2	0.91	DO
263.85	4.5	CS-	tools/camera.jpg	2	0.736	MO
273.2	5.0	CS+	animals/halibut.jpg	2	0.835	MO
284.033	4.0	CS+	animals/rhino.jpg	2	0.907	DO
294.83299999999997	5.0	CS-	tools/hammer.jpg	2	0.695	MO
306.633	4.5	CS-	tools/monkeywrench.jpg	2	0.6890000000000001	MO
316.95	4.5	CS+	animals/skunk.jpg	2	0.9620000000000001	MO
328.267	4.0	CS-	tools/videogamecontroller.jpg	2	0.684	MO
338.11699999999996	4.5	CS+	animals/hyena.jpg	2	0.7020000000000001	MN
348.43300000000005	4.5	CS-	tools/duffelbag.jpg	2	0.764	MN
358.75	5.0	CS+	animals/cat.jpg	2	0.773	MN
369.583	4.0	CS-	tools/padlock.jpg	2	0.768	DN
380.36699999999996	4.0	CS-	tools/extensioncord.jpg	2	0.593	MO
389.217	4.5	CS+	animals/elephantafrican.jpg	2	0.682	DO
399.55	4.0	CS+	animals/racoon.jpg	2	0.603	MN
408.43300000000005	5.0	CS-	tools/toaster.jpg	2	0.585	MN
420.25	5.0	CS-	tools/carpetblower.jpg	2	0.541	DO
430.1	5.0	CS+	animals/perch.jpg	2	0.924	MN
439.98400000000004	4.0	CS-	tools/measuringtape.jpg	2	0.895	MO
450.81699999999995	4.5	CS+	animals/cricket.jpg	2	0.7190000000000001	DO
462.1	4.0	CS-	tools/screwdriver.jpg	2	0.7609999999999999	DO
472.934	4.0	CS+	animals/horse.jpg	2	0.556	MO
481.784	4.5	CS-	tools/jumpercables.jpg	2	0.602	DO
491.167	4.0	CS+	animals/caterpillarhawkmoth.jpg	2	0.767	DO
