onset	duration	trial_type	stimulus	response
8.033999999999999	5.0	CS+	stims2/tools/handdrill.jpg	2
20.067	5.0	CS-	stims2/animals/chicken.jpg	1
31.116999999999997	4.0	CS+	stims2/tools/ducttape.jpg	1
42.167	4.5	CS+	stims2/tools/trowel.jpg	1
52.717	4.5	CS-	stims2/animals/springhare.jpg	1
62.266999999999996	5.0	CS-	stims2/animals/dolphin.jpg	1
73.317	4.5	CS+	stims2/tools/loom.jpg	2
83.867	5.0	CS-	stims2/animals/dog.jpg	1
93.917	4.5	CS-	stims2/animals/rosechafer.jpg	1
103.45	5.0	CS+	stims2/tools/hoe.jpg	1
113.5	5.0	CS+	stims2/tools/circularsaw.jpg	2
125.55	4.0	CS-	stims2/animals/koi.jpg	2
135.6	4.0	CS+	stims2/tools/generator.jpg	2
146.65	4.5	CS-	stims2/animals/hippo.jpg	2
157.2	4.0	CS+	stims2/tools/drill.jpg	2
166.25	4.0	CS-	stims2/animals/bluejay.jpg	2
177.3	4.0	CS-	stims2/animals/donkey.jpg	2
187.35	4.0	CS+	stims2/tools/glove.jpg	2
198.4	4.5	CS-	stims2/animals/sparrow.jpg	2
209.95	5.0	CS+	stims2/tools/computermouse.jpg	2
219.984	5.0	CS-	stims2/animals/peacock.jpg	2
231.03400000000002	4.5	CS+	stims2/tools/saw.jpg	2
240.584	4.5	CS+	stims2/tools/coathanger.jpg	2
252.13400000000001	4.0	CS-	stims2/animals/moth.jpg	2
