onset	duration	trial_type	stimulus	response	response_time	recognition_memory
4.05	5.0	CS-	tools/scissors.jpg	2	0.8590000000000001	MN
15.117	4.5	CS+	animals/baboon.jpg	1	0.8690000000000001	
26.684	4.0	CS-	tools/drillbit.jpg	2	0.8109999999999999	DO
36.75	5.0	CS-	tools/electricbreaker.jpg	2	0.9440000000000001	MO
47.833999999999996	4.5	CS+	animals/angelfish.jpg	1	1.183	DO
59.417	5.0	CS+	animals/flea.jpg	1	1.443	DO
69.484	5.0	CS-	tools/ropeandpulley.jpg	2	1.482	DO
81.567	4.5	CS+	animals/porcupine.jpg	1	0.647	DO
93.15	4.5	CS+	animals/quail.jpg	1	0.9	MO
103.71700000000001	5.0	CS-	tools/plunger.jpg	2	1.3869999999999998	DO
113.78399999999999	4.5	CS-	tools/stove.jpg	2	1.2570000000000001	MN
125.35	4.5	CS+	animals/giraffe.jpg	1	1.167	MO
134.934	4.5	CS-	tools/rollingpin.jpg	2	1.187	MN
145.517	4.0	CS+	animals/ostrich.jpg	1	0.738	DO
154.584	5.0	CS-	tools/reflexhammer.jpg	2	0.887	MN
165.65	5.0	CS+	animals/prayingmantis.jpg	1	0.851	DO
175.734	4.5	CS+	animals/pelican.jpg	1	0.9670000000000001	MO
185.317	4.5	CS-	tools/gardenhose.jpg	2	1.0959999999999999	DO
196.88400000000001	4.5	CS+	animals/snapper.jpg	1	0.953	MN
207.467	5.0	CS-	tools/cheesegrater.jpg	2	0.7809999999999999	MN
218.55	4.0	CS+	animals/crow.jpg	1	0.653	DO
227.61700000000002	5.0	CS-	tools/hairdryer.jpg	2	1.2429999999999999	DN
238.68400000000003	4.0	CS-	tools/faxmachine.jpg	2	1.177	DN
249.75	4.0	CS+	animals/dragonfly.jpg	1	1.1440000000000001	DO
259.834	5.0	CS+	animals/leopard.jpg	1	1.031	DO
271.91700000000003	4.0	CS-	tools/gong.jpg	2	1.124	DO
283.0	5.0	CS+	animals/boar.jpg	1	0.8490000000000001	DN
294.084	4.0	CS+	animals/gerbil.jpg	1	1.13	DO
305.15	4.5	CS-	tools/transmissionwrench.jpg	2	1.229	MN
316.73400000000004	4.0	CS-	tools/ladder.jpg	2	0.987	MO
326.817	4.5	CS+	animals/pigeon.jpg	1	1.11	MO
336.384	5.0	CS-	tools/pliers.jpg	2	1.024	MN
348.467	4.0	CS+	animals/waterbuffalo.jpg	1	0.96	DO
357.533	4.0	CS-	tools/rake.jpg	2	1.014	MO
366.61699999999996	5.0	CS+	animals/caterpillarpeacockmoth.jpg	1	1.6119999999999999	DO
377.684	4.5	CS-	tools/beadingtool.jpg	2	0.799	MN
389.25	4.0	CS-	tools/paintroller.jpg	2	0.654	MN
399.31699999999995	4.0	CS+	animals/herculesbeetle.jpg	1	1.115	DO
408.38300000000004	5.0	CS+	animals/pike.jpg	1	0.746	MO
420.45	4.0	CS-	tools/shoehorn.jpg	2	0.748	MO
431.517	4.5	CS-	tools/plow.jpg	2	0.873	MN
442.083	4.0	CS+	animals/mole.jpg	1	1.166	MN
451.167	4.5	CS-	tools/weldinghelmet.jpg	2	1.45	MO
460.75	5.0	CS+	animals/tiger.jpg	1	0.74	
471.81699999999995	4.0	CS-	tools/chisel.jpg	2	0.8290000000000001	
480.9	5.0	CS+	animals/hummingbird.jpg	1	0.821	DO
490.983	4.5	CS-	tools/wheelbarrow.jpg	2	0.919	DO
500.55	4.0	CS+	animals/cow.jpg	1	0.768	MO
