subject,condition,encode_phase,category,source_memory,typicality,trial_number,hc_acc
16,CS-,acquisition,tools,2.125,4.916666666666667,12.5,0.08333333333333333
16,CS-,baseline,tools,1.8333333333333333,4.833333333333333,12.5,0.08333333333333333
16,CS-,extinction,tools,1.875,5.125,12.5,0.041666666666666664
17,CS+,acquisition,tools,2.0,4.75,12.5,0.875
17,CS+,baseline,tools,2.125,5.458333333333333,12.5,0.8333333333333334
17,CS+,extinction,tools,2.0833333333333335,4.541666666666667,12.5,0.6666666666666666
17,CS-,acquisition,tools,1.7916666666666667,5.416666666666667,12.5,0.625
17,CS-,baseline,tools,1.9583333333333333,5.416666666666667,12.5,0.75
17,CS-,extinction,tools,2.2083333333333335,4.75,12.5,0.25
19,CS+,acquisition,animals,1.9166666666666667,4.25,12.5,0.625
19,CS+,baseline,animals,1.7916666666666667,4.833333333333333,12.5,0.7916666666666666
19,CS+,extinction,animals,2.375,4.041666666666667,12.5,0.625
19,CS-,acquisition,animals,2.0833333333333335,2.8333333333333335,12.5,0.6666666666666666
19,CS-,baseline,animals,2.25,3.2083333333333335,12.5,0.8333333333333334
19,CS-,extinction,animals,2.2083333333333335,3.25,12.5,0.6666666666666666
21,CS+,acquisition,tools,1.9166666666666667,3.7916666666666665,12.5,0.5833333333333334
21,CS+,baseline,tools,1.7916666666666667,4.791666666666667,12.5,0.5416666666666666
21,CS+,extinction,tools,2.4166666666666665,3.7916666666666665,12.5,0.25
21,CS-,acquisition,tools,2.0,3.9583333333333335,12.5,0.8333333333333334
21,CS-,baseline,tools,1.9166666666666667,4.166666666666667,12.5,0.625
21,CS-,extinction,tools,1.8333333333333333,3.9166666666666665,12.5,0.3333333333333333
101,CS+,acquisition,animals,2.125,4.916666666666667,12.5,0.6666666666666666
101,CS+,baseline,animals,2.3333333333333335,4.583333333333333,12.5,0.3333333333333333
101,CS+,extinction,animals,2.1666666666666665,4.666666666666667,12.5,0.4583333333333333
101,CS-,acquisition,animals,2.5833333333333335,3.125,12.5,0.16666666666666666
101,CS-,baseline,animals,2.2083333333333335,3.4583333333333335,12.5,0.041666666666666664
101,CS-,extinction,animals,2.1666666666666665,3.5,12.5,0.20833333333333334
102,CS+,acquisition,animals,2.75,5.291666666666667,12.5,0.625
102,CS+,baseline,animals,2.6666666666666665,5.5,12.5,0.5833333333333334
102,CS+,extinction,animals,2.4583333333333335,4.625,12.5,0.4166666666666667
102,CS-,acquisition,animals,2.0833333333333335,3.2083333333333335,12.5,0.625
102,CS-,baseline,animals,2.6666666666666665,3.2083333333333335,12.5,0.5416666666666666
102,CS-,extinction,animals,2.4583333333333335,3.25,12.5,0.5
103,CS+,acquisition,tools,1.7916666666666667,4.291666666666667,12.5,0.7916666666666666
103,CS+,baseline,tools,1.75,2.9583333333333335,12.5,0.7916666666666666
103,CS+,extinction,tools,2.2083333333333335,4.0,12.5,0.5
103,CS-,acquisition,tools,1.7916666666666667,3.7916666666666665,12.5,0.6666666666666666
103,CS-,baseline,tools,1.5833333333333333,3.5833333333333335,12.5,0.7916666666666666
103,CS-,extinction,tools,1.875,3.0,12.5,0.7916666666666666
104,CS+,acquisition,animals,2.0,2.5416666666666665,12.5,0.25
104,CS+,baseline,animals,1.8333333333333333,3.0,12.5,0.4583333333333333
104,CS+,extinction,animals,2.0,2.8333333333333335,12.5,0.16666666666666666
104,CS-,acquisition,animals,2.0,3.375,12.5,0.125
104,CS-,baseline,animals,2.0,3.125,12.5,0.25
104,CS-,extinction,animals,2.0,3.75,12.5,0.08333333333333333
105,CS+,acquisition,animals,1.375,6.375,12.5,0.625
105,CS+,baseline,animals,1.75,6.25,12.5,0.875
105,CS+,extinction,animals,1.5,6.0,12.5,0.5416666666666666
105,CS-,acquisition,animals,1.875,4.5,12.5,0.4583333333333333
105,CS-,baseline,animals,1.7916666666666667,5.416666666666667,12.5,0.7083333333333334
105,CS-,extinction,animals,2.0,4.5,12.5,0.5416666666666666
106,CS+,acquisition,animals,1.625,3.3333333333333335,12.5,0.3333333333333333
106,CS+,baseline,animals,1.4583333333333333,3.0833333333333335,12.5,0.5
106,CS+,extinction,animals,1.7083333333333333,2.9583333333333335,12.5,0.375
106,CS-,acquisition,animals,1.9166666666666667,3.8333333333333335,12.5,0.125
106,CS-,baseline,animals,1.9166666666666667,4.166666666666667,12.5,0.4166666666666667
106,CS-,extinction,animals,2.375,4.416666666666667,12.5,0.20833333333333334
107,CS+,acquisition,tools,2.0,4.625,12.5,0.625
107,CS+,baseline,tools,1.9166666666666667,5.125,12.5,0.5
107,CS+,extinction,tools,1.8333333333333333,5.083333333333333,12.5,0.5833333333333334
107,CS-,acquisition,tools,1.6666666666666667,4.666666666666667,12.5,0.5833333333333334
107,CS-,baseline,tools,2.1666666666666665,3.7083333333333335,12.5,0.5416666666666666
107,CS-,extinction,tools,1.7916666666666667,4.875,12.5,0.6666666666666666
108,CS+,acquisition,tools,2.25,2.7083333333333335,12.5,0.5
108,CS+,baseline,tools,2.2083333333333335,2.7083333333333335,12.5,0.75
108,CS+,extinction,tools,2.0416666666666665,3.0833333333333335,12.5,0.375
108,CS-,acquisition,tools,1.9583333333333333,4.166666666666667,12.5,0.25
108,CS-,baseline,tools,1.9166666666666667,3.9583333333333335,12.5,0.5416666666666666
108,CS-,extinction,tools,1.875,4.333333333333333,12.5,0.5
109,CS+,acquisition,tools,2.1666666666666665,5.25,12.5,0.8333333333333334
109,CS+,baseline,tools,2.2083333333333335,5.5,12.5,0.875
109,CS+,extinction,tools,2.75,5.541666666666667,12.5,0.75
109,CS-,acquisition,tools,2.1666666666666665,5.833333333333333,12.5,0.7083333333333334
109,CS-,baseline,tools,1.875,5.833333333333333,12.5,0.75
109,CS-,extinction,tools,2.2083333333333335,5.875,12.5,0.7083333333333334
110,CS+,acquisition,animals,2.125,4.291666666666667,12.5,0.75
110,CS+,baseline,animals,1.8333333333333333,5.166666666666667,12.5,0.7083333333333334
110,CS+,extinction,animals,2.125,4.75,12.5,0.4583333333333333
110,CS-,acquisition,animals,2.375,5.041666666666667,12.5,0.7083333333333334
110,CS-,baseline,animals,2.2916666666666665,5.333333333333333,12.5,0.4583333333333333
110,CS-,extinction,animals,2.3333333333333335,4.416666666666667,12.5,0.3333333333333333
111,CS+,acquisition,animals,1.9583333333333333,3.7916666666666665,12.5,0.9166666666666666
111,CS+,baseline,animals,1.7916666666666667,4.125,12.5,0.9166666666666666
111,CS+,extinction,animals,1.875,3.7916666666666665,12.5,0.7916666666666666
111,CS-,acquisition,animals,2.375,3.4166666666666665,12.5,0.7083333333333334
111,CS-,baseline,animals,2.3333333333333335,4.416666666666667,12.5,0.5833333333333334
111,CS-,extinction,animals,2.375,3.375,12.5,0.5416666666666666
112,CS+,acquisition,tools,2.0416666666666665,4.5,12.5,0.4166666666666667
112,CS+,baseline,tools,2.0416666666666665,4.5,12.5,0.5416666666666666
112,CS+,extinction,tools,2.2916666666666665,4.333333333333333,12.5,0.25
112,CS-,acquisition,tools,1.8333333333333333,4.291666666666667,12.5,0.20833333333333334
112,CS-,baseline,tools,1.9583333333333333,4.333333333333333,12.5,0.4583333333333333
112,CS-,extinction,tools,2.0416666666666665,4.0,12.5,0.16666666666666666
113,CS+,acquisition,tools,1.9583333333333333,3.875,12.5,0.375
113,CS+,baseline,tools,1.875,3.8333333333333335,12.5,0.3333333333333333
113,CS+,extinction,tools,1.75,5.25,12.5,0.3333333333333333
