,subject,condition,encode_phase,response_phase,prop,mem_prop
90,7,CS+,baseline,baseline,0.3333333333333333,0.2857142857142857
91,7,CS+,baseline,acquisition,0.20833333333333331,0.42857142857142855
92,7,CS+,baseline,extinction,0.4583333333333333,0.2857142857142857
93,7,CS+,acquisition,baseline,0.20833333333333331,0.2
94,7,CS+,acquisition,acquisition,0.625,0.7
95,7,CS+,acquisition,extinction,0.16666666666666666,0.1
96,7,CS+,extinction,baseline,0.25,0.0
97,7,CS+,extinction,acquisition,0.3333333333333333,0.625
98,7,CS+,extinction,extinction,0.4166666666666667,0.375
99,7,CS-,baseline,baseline,0.375,0.5
100,7,CS-,baseline,acquisition,0.25,0.25
101,7,CS-,baseline,extinction,0.375,0.25
102,7,CS-,acquisition,baseline,0.5416666666666666,0.3
103,7,CS-,acquisition,acquisition,0.3333333333333333,0.5
104,7,CS-,acquisition,extinction,0.125,0.2
105,7,CS-,extinction,baseline,0.7083333333333334,0.3333333333333333
106,7,CS-,extinction,acquisition,0.08333333333333333,0.3333333333333333
107,7,CS-,extinction,extinction,0.20833333333333331,0.3333333333333333
108,8,CS+,baseline,baseline,0.20833333333333331,0.2
109,8,CS+,baseline,acquisition,0.4166666666666667,0.6
110,8,CS+,baseline,extinction,0.375,0.2
111,8,CS+,acquisition,baseline,0.08333333333333333,0.047619047619047616
112,8,CS+,acquisition,acquisition,0.7916666666666666,0.8095238095238095
113,8,CS+,acquisition,extinction,0.125,0.14285714285714285
114,8,CS+,extinction,baseline,0.16666666666666666,0.1176470588235294
115,8,CS+,extinction,acquisition,0.5,0.5294117647058824
116,8,CS+,extinction,extinction,0.3333333333333333,0.35294117647058826
117,8,CS-,baseline,baseline,0.3333333333333333,0.2307692307692308
118,8,CS-,baseline,acquisition,0.375,0.4615384615384616
119,8,CS-,baseline,extinction,0.2916666666666667,0.3076923076923077
120,8,CS-,acquisition,baseline,0.2916666666666667,0.15384615384615385
121,8,CS-,acquisition,acquisition,0.4166666666666667,0.6153846153846154
122,8,CS-,acquisition,extinction,0.2916666666666667,0.2307692307692308
123,8,CS-,extinction,baseline,0.375,0.4
124,8,CS-,extinction,acquisition,0.3333333333333333,0.5
125,8,CS-,extinction,extinction,0.2916666666666667,0.1
126,9,CS+,baseline,baseline,0.375,0.6666666666666666
127,9,CS+,baseline,acquisition,0.2916666666666667,0.3333333333333333
128,9,CS+,baseline,extinction,0.3333333333333333,0.0
129,9,CS+,acquisition,baseline,0.4583333333333333,0.4117647058823529
130,9,CS+,acquisition,acquisition,0.5,0.5882352941176471
131,9,CS+,acquisition,extinction,0.04166666666666666,0.0
132,9,CS+,extinction,baseline,0.3333333333333333,0.4
133,9,CS+,extinction,acquisition,0.5,0.2
134,9,CS+,extinction,extinction,0.16666666666666666,0.4
135,9,CS-,baseline,baseline,0.2916666666666667,0.16666666666666666
136,9,CS-,baseline,acquisition,0.2916666666666667,0.25
137,9,CS-,baseline,extinction,0.4166666666666667,0.5833333333333334
138,9,CS-,acquisition,baseline,0.04166666666666666,0.0
139,9,CS-,acquisition,acquisition,0.5416666666666666,0.5294117647058824
140,9,CS-,acquisition,extinction,0.4166666666666667,0.4705882352941176
141,9,CS-,extinction,baseline,0.25,0.18181818181818185
142,9,CS-,extinction,acquisition,0.4583333333333333,0.4545454545454545
143,9,CS-,extinction,extinction,0.2916666666666667,0.3636363636363637
144,10,CS+,baseline,baseline,0.2916666666666667,0.2
145,10,CS+,baseline,acquisition,0.20833333333333331,0.2
146,10,CS+,baseline,extinction,0.5,0.6
147,10,CS+,acquisition,baseline,0.0,0.0
148,10,CS+,acquisition,acquisition,0.8333333333333334,0.8260869565217391
149,10,CS+,acquisition,extinction,0.16666666666666666,0.17391304347826084
150,10,CS+,extinction,baseline,0.0,0.0
151,10,CS+,extinction,acquisition,0.7083333333333334,0.8
152,10,CS+,extinction,extinction,0.2916666666666667,0.2
153,10,CS-,baseline,baseline,0.3333333333333333,0.3333333333333333
154,10,CS-,baseline,acquisition,0.125,0.2
155,10,CS-,baseline,extinction,0.5416666666666666,0.4666666666666667
156,10,CS-,acquisition,baseline,0.25,0.2222222222222222
157,10,CS-,acquisition,acquisition,0.04166666666666666,0.0
158,10,CS-,acquisition,extinction,0.7083333333333334,0.7777777777777778
159,10,CS-,extinction,baseline,0.25,0.15384615384615385
160,10,CS-,extinction,acquisition,0.25,0.38461538461538464
161,10,CS-,extinction,extinction,0.5,0.4615384615384616
162,12,CS+,baseline,baseline,0.375,0.4615384615384616
163,12,CS+,baseline,acquisition,0.25,0.3076923076923077
164,12,CS+,baseline,extinction,0.375,0.2307692307692308
165,12,CS+,acquisition,baseline,0.20833333333333331,0.07692307692307693
166,12,CS+,acquisition,acquisition,0.5416666666666666,0.6153846153846154
167,12,CS+,acquisition,extinction,0.25,0.3076923076923077
168,12,CS+,extinction,baseline,0.3333333333333333,0.0
169,12,CS+,extinction,acquisition,0.16666666666666666,0.3333333333333333
170,12,CS+,extinction,extinction,0.5,0.6666666666666666
171,12,CS-,baseline,baseline,0.375,0.6363636363636364
172,12,CS-,baseline,acquisition,0.20833333333333331,0.18181818181818185
173,12,CS-,baseline,extinction,0.4166666666666667,0.18181818181818185
174,12,CS-,acquisition,baseline,0.5416666666666666,0.6666666666666666
175,12,CS-,acquisition,acquisition,0.125,0.3333333333333333
176,12,CS-,acquisition,extinction,0.3333333333333333,0.0
177,12,CS-,extinction,baseline,0.2916666666666667,0.5
178,12,CS-,extinction,acquisition,0.375,0.5
179,12,CS-,extinction,extinction,0.3333333333333333,0.0
180,13,CS+,baseline,baseline,0.375,0.5
181,13,CS+,baseline,acquisition,0.4583333333333333,0.5
182,13,CS+,baseline,extinction,0.16666666666666666,0.0
183,13,CS+,acquisition,baseline,0.3333333333333333,0.25
184,13,CS+,acquisition,acquisition,0.375,0.75
185,13,CS+,acquisition,extinction,0.2916666666666667,0.0
186,13,CS+,extinction,baseline,0.5,0.0
187,13,CS+,extinction,acquisition,0.2916666666666667,1.0
188,13,CS+,extinction,extinction,0.20833333333333331,0.0
189,13,CS-,baseline,baseline,0.75,0.6666666666666666
190,13,CS-,baseline,acquisition,0.04166666666666666,0.0
191,13,CS-,baseline,extinction,0.20833333333333331,0.3333333333333333
192,13,CS-,acquisition,baseline,0.3333333333333333,0.0
193,13,CS-,acquisition,acquisition,0.25,0.5
194,13,CS-,acquisition,extinction,0.4166666666666667,0.5
195,13,CS-,extinction,baseline,0.16666666666666666,0.0
196,13,CS-,extinction,acquisition,0.3333333333333333,0.4
197,13,CS-,extinction,extinction,0.5,0.6
198,14,CS+,baseline,baseline,0.20833333333333331,0.0
199,14,CS+,baseline,acquisition,0.5833333333333334,1.0
200,14,CS+,baseline,extinction,0.20833333333333331,0.0
201,14,CS+,acquisition,baseline,0.16666666666666666,0.0
202,14,CS+,acquisition,acquisition,0.6666666666666666,0.8888888888888888
203,14,CS+,acquisition,extinction,0.16666666666666666,0.1111111111111111
204,14,CS+,extinction,baseline,0.5,0.0
205,14,CS+,extinction,acquisition,0.2916666666666667,1.0
206,14,CS+,extinction,extinction,0.20833333333333331,0.0
207,14,CS-,baseline,baseline,0.375,0.1111111111111111
208,14,CS-,baseline,acquisition,0.5,0.7777777777777778
209,14,CS-,baseline,extinction,0.125,0.1111111111111111
210,14,CS-,acquisition,baseline,0.3333333333333333,0.25
211,14,CS-,acquisition,acquisition,0.25,0.75
212,14,CS-,acquisition,extinction,0.4166666666666667,0.0
213,14,CS-,extinction,baseline,0.3333333333333333,0.0
214,14,CS-,extinction,acquisition,0.25,0.3333333333333333
215,14,CS-,extinction,extinction,0.4166666666666667,0.6666666666666666
216,15,CS+,baseline,baseline,0.08333333333333333,0.1
217,15,CS+,baseline,acquisition,0.8333333333333334,0.9
218,15,CS+,baseline,extinction,0.08333333333333333,0.0
219,15,CS+,acquisition,baseline,0.08333333333333333,0.10526315789473684
220,15,CS+,acquisition,acquisition,0.875,0.8421052631578947
221,15,CS+,acquisition,extinction,0.04166666666666666,0.05263157894736842
222,15,CS+,extinction,baseline,0.0,0.0
223,15,CS+,extinction,acquisition,0.625,0.6
224,15,CS+,extinction,extinction,0.375,0.4
225,15,CS-,baseline,baseline,0.25,0.5
226,15,CS-,baseline,acquisition,0.4166666666666667,0.375
227,15,CS-,baseline,extinction,0.3333333333333333,0.125
228,15,CS-,acquisition,baseline,0.04166666666666666,0.25
229,15,CS-,acquisition,acquisition,0.5833333333333334,0.75
230,15,CS-,acquisition,extinction,0.375,0.0
231,15,CS-,extinction,baseline,0.04166666666666666,0.0
232,15,CS-,extinction,acquisition,0.375,1.0
233,15,CS-,extinction,extinction,0.5833333333333334,0.0
234,16,CS+,baseline,baseline,0.08333333333333333,0.16666666666666666
235,16,CS+,baseline,acquisition,0.5833333333333334,0.8333333333333334
236,16,CS+,baseline,extinction,0.3333333333333333,0.0
237,16,CS+,acquisition,baseline,0.08333333333333333,0.0
238,16,CS+,acquisition,acquisition,0.875,1.0
239,16,CS+,acquisition,extinction,0.04166666666666666,0.0
240,16,CS+,extinction,baseline,0.16666666666666666,0.2
241,16,CS+,extinction,acquisition,0.5833333333333334,0.6
242,16,CS+,extinction,extinction,0.25,0.2
243,16,CS-,baseline,baseline,0.5,0.5
244,16,CS-,baseline,acquisition,0.16666666666666666,0.5
245,16,CS-,baseline,extinction,0.3333333333333333,0.0
246,16,CS-,acquisition,baseline,0.375,1.0
247,16,CS-,acquisition,acquisition,0.125,0.0
248,16,CS-,acquisition,extinction,0.5,0.0
249,16,CS-,extinction,baseline,0.4166666666666667,1.0
250,16,CS-,extinction,acquisition,0.2916666666666667,0.0
251,16,CS-,extinction,extinction,0.2916666666666667,0.0
252,17,CS+,baseline,baseline,0.08333333333333333,0.05
253,17,CS+,baseline,acquisition,0.7083333333333334,0.8
254,17,CS+,baseline,extinction,0.20833333333333331,0.15
