subject,stimulus,source_memory,typicality,trial_type,encode_phase,recognition_memory,trial_number,group,hc_acc
s2,animals/finch.jpg,acquisition,5,CS+,extinction,DO,2,healthy,1
s2,animals/salmon.jpg,extinction,6,CS+,extinction,DO,24,healthy,1
s2,animals/cranebug.jpg,acquisition,1,CS+,extinction,DO,13,healthy,1
s2,animals/canary.jpg,acquisition,6,CS+,extinction,DO,6,healthy,1
s2,tools/stove.jpg,baseline,5,CS-,baseline,DN,7,healthy,0
s2,tools/reflexhammer.jpg,acquisition,6,CS-,baseline,DO,11,healthy,1
s2,tools/gardenhose.jpg,extinction,5,CS-,baseline,DO,15,healthy,1
s2,tools/beadingtool.jpg,baseline,4,CS-,baseline,DO,24,healthy,1
s2,tools/paintroller.jpg,extinction,6,CS-,baseline,DN,14,healthy,0
s2,tools/ladder.jpg,acquisition,6,CS-,baseline,DO,6,healthy,1
s2,tools/plunger.jpg,extinction,6,CS-,baseline,DO,16,healthy,1
s2,tools/drillbit.jpg,acquisition,1,CS-,baseline,DO,13,healthy,1
s2,tools/measuringdevice.jpg,acquisition,5,CS-,acquisition,DN,23,healthy,0
s2,tools/weedeater.jpg,acquisition,6,CS-,acquisition,DO,19,healthy,1
s2,tools/routerplane.jpg,extinction,6,CS-,acquisition,DO,2,healthy,1
s2,tools/thermometer.jpg,extinction,6,CS-,acquisition,DN,7,healthy,0
s2,tools/sparkplug.jpg,acquisition,6,CS-,acquisition,DO,5,healthy,1
s2,tools/broom.jpg,baseline,4,CS-,acquisition,DN,17,healthy,0
s2,tools/wrench.jpg,baseline,6,CS-,acquisition,MN,14,healthy,0
s2,tools/tubeflaring.jpg,baseline,2,CS-,acquisition,MN,15,healthy,0
s2,tools/edger.jpg,acquisition,4,CS-,extinction,DO,19,healthy,1
s2,tools/paintbrush.jpg,extinction,7,CS-,extinction,DN,10,healthy,0
s2,tools/measuringtape.jpg,extinction,7,CS-,extinction,DN,1,healthy,0
s2,tools/jumpercables.jpg,baseline,3,CS-,extinction,DO,15,healthy,1
s2,tools/videogamecontroller.jpg,acquisition,7,CS-,extinction,DO,3,healthy,1
s2,tools/padlock.jpg,acquisition,5,CS-,extinction,DN,8,healthy,0
s2,tools/carpetblower.jpg,baseline,6,CS-,extinction,MO,24,healthy,0
s2,tools/microwave.jpg,extinction,6,CS-,extinction,DN,20,healthy,0
s2,animals/pike.jpg,extinction,6,CS+,baseline,DO,16,healthy,1
s2,animals/caterpillarpeacockmoth.jpg,acquisition,4,CS+,baseline,DO,18,healthy,1
s2,animals/waterbuffalo.jpg,baseline,4,CS+,baseline,DO,7,healthy,1
s2,animals/snapper.jpg,acquisition,2,CS+,baseline,DO,20,healthy,1
s2,animals/ostrich.jpg,acquisition,2,CS+,baseline,DO,11,healthy,1
s2,animals/tiger.jpg,acquisition,7,CS+,baseline,DO,12,healthy,1
s2,animals/angelfish.jpg,extinction,7,CS+,baseline,DO,15,healthy,1
s2,animals/gerbil.jpg,baseline,6,CS+,baseline,DO,9,healthy,1
s2,animals/assassinbug.jpg,acquisition,2,CS+,acquisition,DO,16,healthy,1
