subject,encode_phase,response_phase,prop,mem_prop,_count,mem_count,cr,hr,group
2,baseline,baseline,-0.12500000000000003,-0.005681818181818149,-3,1,0.125,0.25,healthy
2,baseline,acquisition,0.3333333333333333,0.24431818181818177,8,8,0.125,0.25,healthy
2,baseline,extinction,-0.20833333333333334,-0.23863636363636365,-5,-3,0.125,0.25,healthy
2,acquisition,baseline,-0.2916666666666667,-0.3333333333333333,-7,-2,0.25,0.375,healthy
2,acquisition,acquisition,0.375,0.38888888888888895,9,11,0.25,0.375,healthy
2,acquisition,extinction,-0.08333333333333333,-0.05555555555555555,-2,0,0.25,0.375,healthy
2,extinction,baseline,-0.2916666666666667,-0.36363636363636365,-7,-3,0.29166666666666674,0.41666666666666663,healthy
2,extinction,acquisition,0.375,0.34848484848484845,9,11,0.29166666666666674,0.41666666666666663,healthy
2,extinction,extinction,-0.08333333333333331,0.015151515151515194,-2,2,0.29166666666666674,0.41666666666666663,healthy
3,baseline,baseline,0.0,-0.1527777777777778,0,-1,0.02083333333333337,0.041666666666666685,healthy
3,baseline,acquisition,-0.125,0.05555555555555558,-3,1,0.02083333333333337,0.041666666666666685,healthy
3,baseline,extinction,0.125,0.09722222222222221,3,1,0.02083333333333337,0.041666666666666685,healthy
3,acquisition,baseline,-0.20833333333333337,0.0,-5,0,0.1875,0.20833333333333334,healthy
3,acquisition,acquisition,0.08333333333333331,0.6666666666666666,2,4,0.1875,0.20833333333333334,healthy
3,acquisition,extinction,0.125,-0.6666666666666667,3,1,0.1875,0.20833333333333334,healthy
3,extinction,baseline,-0.125,-0.2777777777777778,-3,0,0.1875,0.20833333333333334,healthy
3,extinction,acquisition,-0.125,-0.02777777777777779,-3,1,0.1875,0.20833333333333334,healthy
3,extinction,extinction,0.25,0.3055555555555556,6,4,0.1875,0.20833333333333334,healthy
4,baseline,baseline,0.125,0.3333333333333333,3,5,0.04166666666666663,0.0,healthy
4,baseline,acquisition,-0.16666666666666669,-0.2666666666666667,-4,-4,0.04166666666666663,0.0,healthy
4,baseline,extinction,0.04166666666666663,-0.06666666666666665,1,-1,0.04166666666666663,0.0,healthy
4,acquisition,baseline,-0.041666666666666685,0.09999999999999998,-1,-1,-0.16666666666666663,-0.20833333333333331,healthy
4,acquisition,acquisition,0.0,-0.10000000000000003,0,-3,-0.16666666666666663,-0.20833333333333331,healthy
4,acquisition,extinction,0.041666666666666685,0.0,1,-1,-0.16666666666666663,-0.20833333333333331,healthy
4,extinction,baseline,-0.08333333333333331,-0.16666666666666669,-2,1,0.33333333333333337,0.2916666666666667,healthy
4,extinction,acquisition,-0.08333333333333331,-0.041666666666666685,-2,2,0.33333333333333337,0.2916666666666667,healthy
4,extinction,extinction,0.16666666666666669,0.20833333333333331,4,4,0.33333333333333337,0.2916666666666667,healthy
5,baseline,baseline,-0.08333333333333334,-0.06178489702517162,-2,-1,0.02083333333333348,0.16666666666666674,healthy
5,baseline,acquisition,0.20833333333333337,0.09839816933638457,5,5,0.02083333333333348,0.16666666666666674,healthy
5,baseline,extinction,-0.125,-0.036613272311212836,-3,0,0.02083333333333348,0.16666666666666674,healthy
5,acquisition,baseline,0.0,-0.013368983957219256,0,0,0.06249999999999989,0.20833333333333326,healthy
5,acquisition,acquisition,0.5,0.3796791443850268,12,11,0.06249999999999989,0.20833333333333326,healthy
5,acquisition,extinction,-0.5,-0.36631016042780745,-12,-6,0.06249999999999989,0.20833333333333326,healthy
5,extinction,baseline,-0.04166666666666667,-0.04736842105263159,-1,-1,-0.1875,-0.04166666666666674,healthy
5,extinction,acquisition,0.4166666666666667,0.4921052631578947,10,9,-0.1875,-0.04166666666666674,healthy
5,extinction,extinction,-0.37500000000000006,-0.4447368421052632,-9,-9,-0.1875,-0.04166666666666674,healthy
6,baseline,baseline,-0.125,0.125,-3,1,0.125,0.16666666666666666,healthy
6,baseline,acquisition,0.29166666666666663,0.25,7,4,0.125,0.16666666666666666,healthy
6,baseline,extinction,-0.16666666666666666,-0.375,-4,-1,0.125,0.16666666666666666,healthy
6,acquisition,baseline,-0.41666666666666663,-0.8947368421052632,-10,0,0.6666666666666666,0.7083333333333333,healthy
6,acquisition,acquisition,0.6666666666666667,0.7368421052631579,16,14,0.6666666666666666,0.7083333333333333,healthy
6,acquisition,extinction,-0.25,0.15789473684210525,-6,3,0.6666666666666666,0.7083333333333333,healthy
6,extinction,baseline,-0.16666666666666669,-0.35714285714285715,-4,1,0.45833333333333337,0.5,healthy
6,extinction,acquisition,0.5416666666666667,0.2857142857142857,13,10,0.45833333333333337,0.5,healthy
6,extinction,extinction,-0.375,0.07142857142857142,-9,1,0.45833333333333337,0.5,healthy
7,baseline,baseline,-0.041666666666666685,-0.2142857142857143,-1,0,0.08333333333333334,0.12500000000000003,healthy
7,baseline,acquisition,-0.041666666666666685,0.17857142857142855,-1,2,0.08333333333333334,0.12500000000000003,healthy
7,baseline,extinction,0.08333333333333331,0.0357142857142857,2,1,0.08333333333333334,0.12500000000000003,healthy
7,acquisition,baseline,-0.3333333333333333,-0.09999999999999998,-8,-1,-0.041666666666666685,0.0,healthy
7,acquisition,acquisition,0.2916666666666667,0.19999999999999996,7,2,-0.041666666666666685,0.0,healthy
7,acquisition,extinction,0.04166666666666666,-0.1,1,-1,-0.041666666666666685,0.0,healthy
7,extinction,baseline,-0.45833333333333337,-0.3333333333333333,-11,-1,0.16666666666666663,0.20833333333333331,healthy
7,extinction,acquisition,0.25,0.2916666666666667,6,4,0.16666666666666663,0.20833333333333331,healthy
7,extinction,extinction,0.20833333333333337,0.041666666666666685,5,2,0.16666666666666663,0.20833333333333331,healthy
8,baseline,baseline,-0.125,-0.0307692307692308,-3,0,0.0625,0.08333333333333337,healthy
8,baseline,acquisition,0.041666666666666685,0.13846153846153836,1,3,0.0625,0.08333333333333337,healthy
8,baseline,extinction,0.08333333333333331,-0.1076923076923077,2,-1,0.0625,0.08333333333333337,healthy
8,acquisition,baseline,-0.20833333333333337,-0.10622710622710624,-5,-1,0.3125,0.33333333333333337,healthy
8,acquisition,acquisition,0.37499999999999994,0.19413919413919412,9,9,0.3125,0.33333333333333337,healthy
8,acquisition,extinction,-0.16666666666666669,-0.08791208791208796,-4,0,0.3125,0.33333333333333337,healthy
8,extinction,baseline,-0.20833333333333334,-0.28235294117647064,-5,-2,0.2708333333333333,0.2916666666666667,healthy
8,extinction,acquisition,0.16666666666666669,0.02941176470588236,4,4,0.2708333333333333,0.2916666666666667,healthy
8,extinction,extinction,0.04166666666666663,0.2529411764705882,1,5,0.2708333333333333,0.2916666666666667,healthy
9,baseline,baseline,0.08333333333333331,0.5,2,2,-0.2916666666666667,-0.25,healthy
9,baseline,acquisition,0.0,0.08333333333333331,0,-1,-0.2916666666666667,-0.25,healthy
