condition,gc,group,half,phase,quarter,scr,subject
CS-,control_CS-,control,1,renewal,5,0.0,21
CS+,control_CS+,control,1,renewal,5,0.9018654945,23
CS-,control_CS-,control,1,renewal,5,0.1543129935,23
CS+,control_CS+,control,1,renewal,5,1.26285136625,24
CS-,control_CS-,control,1,renewal,5,0.94951635825,24
CS+,control_CS+,control,1,renewal,5,0.0,25
CS-,control_CS-,control,1,renewal,5,0.0,25
CS+,control_CS+,control,1,renewal,5,0.52917627275,26
CS-,control_CS-,control,1,renewal,5,0.25836021375,26
CS+,ptsd_CS+,ptsd,1,renewal,5,0.941882914,101
CS-,ptsd_CS-,ptsd,1,renewal,5,0.55359058375,101
CS+,ptsd_CS+,ptsd,1,renewal,5,0.0,102
CS-,ptsd_CS-,ptsd,1,renewal,5,0.0,102
CS+,ptsd_CS+,ptsd,1,renewal,5,0.0,103
CS-,ptsd_CS-,ptsd,1,renewal,5,0.0,103
CS+,ptsd_CS+,ptsd,1,renewal,5,0.8611187005000001,104
CS-,ptsd_CS-,ptsd,1,renewal,5,0.229401395,104
CS+,ptsd_CS+,ptsd,1,renewal,5,0.0,105
CS-,ptsd_CS-,ptsd,1,renewal,5,0.0,105
CS+,ptsd_CS+,ptsd,1,renewal,5,0.4131945825000001,106
CS-,ptsd_CS-,ptsd,1,renewal,5,0.5350985487500001,106
CS+,ptsd_CS+,ptsd,1,renewal,5,0.0,107
CS-,ptsd_CS-,ptsd,1,renewal,5,0.0,107
CS+,ptsd_CS+,ptsd,1,renewal,5,0.32040798400000003,108
CS-,ptsd_CS-,ptsd,1,renewal,5,0.16240381775,108
CS+,ptsd_CS+,ptsd,1,renewal,5,0.0,109
CS-,ptsd_CS-,ptsd,1,renewal,5,0.0,109
CS+,ptsd_CS+,ptsd,1,renewal,5,0.0,110
CS-,ptsd_CS-,ptsd,1,renewal,5,0.0,110
CS+,ptsd_CS+,ptsd,1,renewal,5,0.11456439225,111
CS-,ptsd_CS-,ptsd,1,renewal,5,0.23894007775,111
CS+,ptsd_CS+,ptsd,1,renewal,5,0.119895788,112
CS-,ptsd_CS-,ptsd,1,renewal,5,0.0,112
CS+,ptsd_CS+,ptsd,1,renewal,5,0.0,113
CS-,ptsd_CS-,ptsd,1,renewal,5,0.0,113
CS+,ptsd_CS+,ptsd,1,renewal,5,0.0,114
CS-,ptsd_CS-,ptsd,1,renewal,5,0.0,114
CS+,ptsd_CS+,ptsd,1,renewal,5,0.47291635675000004,115
CS-,ptsd_CS-,ptsd,1,renewal,5,0.13133925525,115
CS+,ptsd_CS+,ptsd,1,renewal,5,1.61310749925,116
CS-,ptsd_CS-,ptsd,1,renewal,5,0.91390384925,116
CS+,ptsd_CS+,ptsd,1,renewal,5,0.5818621102499999,117
CS-,ptsd_CS-,ptsd,1,renewal,5,0.17818529675,117
CS+,ptsd_CS+,ptsd,1,renewal,5,0.912690094,118
CS-,ptsd_CS-,ptsd,1,renewal,5,0.2226263685,118
CS+,ptsd_CS+,ptsd,1,renewal,5,0.0,120
CS-,ptsd_CS-,ptsd,1,renewal,5,0.0,120
CS+,ptsd_CS+,ptsd,1,renewal,5,1.1482997655,121
CS-,ptsd_CS-,ptsd,1,renewal,5,0.68009701425,121
CS+,ptsd_CS+,ptsd,1,renewal,5,0.8912299692499999,122
CS-,ptsd_CS-,ptsd,1,renewal,5,0.242255031,122
CS+,ptsd_CS+,ptsd,1,renewal,5,0.15062370325,123
CS-,ptsd_CS-,ptsd,1,renewal,5,0.17482133725000001,123
CS+,ptsd_CS+,ptsd,1,renewal,5,0.969861879,124
CS-,ptsd_CS-,ptsd,1,renewal,5,0.75121201675,124
CS+,ptsd_CS+,ptsd,1,renewal,5,0.846244261,125
CS-,ptsd_CS-,ptsd,1,renewal,5,0.22430448050000001,125
CS+,control_CS+,control,2,renewal,6,0.36201580125,1
CS-,control_CS-,control,2,renewal,6,0.241023202125,1
CS+,control_CS+,control,2,renewal,6,0.37699247324999996,2
CS-,control_CS-,control,2,renewal,6,0.1520321415,2
CS+,control_CS+,control,2,renewal,6,0.236944150375,3
CS-,control_CS-,control,2,renewal,6,0.0,3
CS+,control_CS+,control,2,renewal,6,0.0,4
CS-,control_CS-,control,2,renewal,6,0.101319420625,4
CS+,control_CS+,control,2,renewal,6,0.0,5
CS-,control_CS-,control,2,renewal,6,0.0,5
CS+,control_CS+,control,2,renewal,6,0.0,6
CS-,control_CS-,control,2,renewal,6,0.0,6
CS+,control_CS+,control,2,renewal,6,0.0,7
CS-,control_CS-,control,2,renewal,6,0.0,7
CS+,control_CS+,control,2,renewal,6,0.21983900487500002,8
CS-,control_CS-,control,2,renewal,6,0.09976534975,8
CS+,control_CS+,control,2,renewal,6,0.23315011075,9
CS-,control_CS-,control,2,renewal,6,0.316722931625,9
CS+,control_CS+,control,2,renewal,6,0.497795260375,10
CS-,control_CS-,control,2,renewal,6,0.157592447375,10
CS+,control_CS+,control,2,renewal,6,0.0,12
CS-,control_CS-,control,2,renewal,6,0.0,12
CS+,control_CS+,control,2,renewal,6,0.0,13
CS-,control_CS-,control,2,renewal,6,0.0,13
CS+,control_CS+,control,2,renewal,6,0.0,14
CS-,control_CS-,control,2,renewal,6,0.0,14
CS+,control_CS+,control,2,renewal,6,0.0,15
CS-,control_CS-,control,2,renewal,6,0.0,15
CS+,control_CS+,control,2,renewal,6,0.08033134512500001,16
CS-,control_CS-,control,2,renewal,6,0.0,16
CS+,control_CS+,control,2,renewal,6,0.0,17
CS-,control_CS-,control,2,renewal,6,0.0,17
CS+,control_CS+,control,2,renewal,6,0.0,18
CS-,control_CS-,control,2,renewal,6,0.0,18
CS+,control_CS+,control,2,renewal,6,0.0,19
CS-,control_CS-,control,2,renewal,6,0.0,19
CS+,control_CS+,control,2,renewal,6,0.0,20
CS-,control_CS-,control,2,renewal,6,0.0,20
CS+,control_CS+,control,2,renewal,6,0.0,21
CS-,control_CS-,control,2,renewal,6,0.0,21
CS+,control_CS+,control,2,renewal,6,0.110891275625,23
CS-,control_CS-,control,2,renewal,6,0.09074345712500001,23
CS+,control_CS+,control,2,renewal,6,0.09312290262499999,24
CS-,control_CS-,control,2,renewal,6,0.07395099725,24
CS+,control_CS+,control,2,renewal,6,0.0,25
CS-,control_CS-,control,2,renewal,6,0.0,25
CS+,control_CS+,control,2,renewal,6,0.0,26
CS-,control_CS-,control,2,renewal,6,0.0,26
CS+,ptsd_CS+,ptsd,2,renewal,6,0.27858858675,101
CS-,ptsd_CS-,ptsd,2,renewal,6,0.079155701,101
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,102
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,102
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,103
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,103
CS+,ptsd_CS+,ptsd,2,renewal,6,0.866847287625,104
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,104
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,105
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,105
CS+,ptsd_CS+,ptsd,2,renewal,6,0.18876423425,106
CS-,ptsd_CS-,ptsd,2,renewal,6,0.24916201899999998,106
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,107
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,107
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,108
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,108
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,109
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,109
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,110
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,110
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,111
CS-,ptsd_CS-,ptsd,2,renewal,6,0.069372184625,111
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,112
CS-,ptsd_CS-,ptsd,2,renewal,6,0.09012463028571428,112
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,113
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,113
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,114
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,114
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,115
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,115
CS+,ptsd_CS+,ptsd,2,renewal,6,0.37017038150000003,116
CS-,ptsd_CS-,ptsd,2,renewal,6,0.36442655025000004,116
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,117
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,117
CS+,ptsd_CS+,ptsd,2,renewal,6,0.45194771575,118
CS-,ptsd_CS-,ptsd,2,renewal,6,0.141479004,118
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,120
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,120
CS+,ptsd_CS+,ptsd,2,renewal,6,0.6070453165,121
CS-,ptsd_CS-,ptsd,2,renewal,6,0.68191195025,121
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,122
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,122
CS+,ptsd_CS+,ptsd,2,renewal,6,0.065431261625,123
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,123
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,124
CS-,ptsd_CS-,ptsd,2,renewal,6,0.13580111325,124
CS+,ptsd_CS+,ptsd,2,renewal,6,0.0,125
CS-,ptsd_CS-,ptsd,2,renewal,6,0.0,125
