condition,gc,group,half,phase,quarter,scr,subject
CS+,ptsd_CS+,ptsd,1,fear_conditioning,1,1.6734793151666667,116
CS-,ptsd_CS-,ptsd,1,fear_conditioning,1,0.9349000946666667,116
CS+,ptsd_CS+,ptsd,1,fear_conditioning,1,0.400573222,117
CS-,ptsd_CS-,ptsd,1,fear_conditioning,1,0.7083426864166666,117
CS+,ptsd_CS+,ptsd,1,fear_conditioning,1,0.41101132,118
CS-,ptsd_CS-,ptsd,1,fear_conditioning,1,0.12296491366666666,118
CS+,ptsd_CS+,ptsd,1,fear_conditioning,1,0.0,120
CS-,ptsd_CS-,ptsd,1,fear_conditioning,1,0.0,120
CS+,ptsd_CS+,ptsd,1,fear_conditioning,1,0.353078418,121
CS-,ptsd_CS-,ptsd,1,fear_conditioning,1,0.17951181958333332,121
CS+,ptsd_CS+,ptsd,1,fear_conditioning,1,1.8616831716666666,122
CS-,ptsd_CS-,ptsd,1,fear_conditioning,1,0.8109853100833333,122
CS+,ptsd_CS+,ptsd,1,fear_conditioning,1,0.0,123
CS-,ptsd_CS-,ptsd,1,fear_conditioning,1,0.0,123
CS+,ptsd_CS+,ptsd,1,fear_conditioning,1,0.43701394700000007,124
CS-,ptsd_CS-,ptsd,1,fear_conditioning,1,0.22718818708333333,124
CS+,ptsd_CS+,ptsd,1,fear_conditioning,1,1.5314320278333333,125
CS-,ptsd_CS-,ptsd,1,fear_conditioning,1,1.0412342530833334,125
CS+,control_CS+,control,2,fear_conditioning,2,0.7427289734999999,1
CS-,control_CS-,control,2,fear_conditioning,2,0.39623385241666664,1
CS+,control_CS+,control,2,fear_conditioning,2,0.43436665916666667,2
CS-,control_CS-,control,2,fear_conditioning,2,0.03791437725,2
CS+,control_CS+,control,2,fear_conditioning,2,0.503731804,3
CS-,control_CS-,control,2,fear_conditioning,2,0.09368979549999999,3
CS+,control_CS+,control,2,fear_conditioning,2,0.44309896633333334,4
CS-,control_CS-,control,2,fear_conditioning,2,0.11838639958333334,4
CS+,control_CS+,control,2,fear_conditioning,2,0.4589016221666667,5
CS-,control_CS-,control,2,fear_conditioning,2,0.16047550724999998,5
CS+,control_CS+,control,2,fear_conditioning,2,0.0,6
CS-,control_CS-,control,2,fear_conditioning,2,0.0,6
