,subject,encode_phase,condition,hit_rate,false_alarm_rate,corrected_recognition
93,17,baseline,CS-,0.75,0.14583333333333334,0.6041666666666666
92,17,extinction,CS+,0.6666666666666666,0.0625,0.6041666666666666
95,17,extinction,CS-,0.25,0.14583333333333334,0.10416666666666666
97,19,acquisition,CS+,0.625,0.2708333333333333,0.3541666666666667
100,19,acquisition,CS-,0.6666666666666666,0.3541666666666667,0.31249999999999994
96,19,baseline,CS+,0.7916666666666666,0.2708333333333333,0.5208333333333333
99,19,baseline,CS-,0.8333333333333334,0.3541666666666667,0.4791666666666667
98,19,extinction,CS+,0.625,0.2708333333333333,0.3541666666666667
101,19,extinction,CS-,0.6666666666666666,0.3541666666666667,0.31249999999999994
103,21,acquisition,CS+,0.5833333333333334,0.0,0.5833333333333334
106,21,acquisition,CS-,0.8333333333333334,0.20833333333333331,0.625
102,21,baseline,CS+,0.5416666666666666,0.0,0.5416666666666666
105,21,baseline,CS-,0.625,0.20833333333333331,0.4166666666666666
104,21,extinction,CS+,0.25,0.0,0.25
107,21,extinction,CS-,0.3333333333333333,0.20833333333333331,0.12499999999999994
109,23,acquisition,CS+,0.125,0.04166666666666666,0.08333333333333334
112,23,acquisition,CS-,0.4166666666666667,0.14583333333333334,0.27083333333333337
108,23,baseline,CS+,0.2916666666666667,0.04166666666666666,0.25
111,23,baseline,CS-,0.3333333333333333,0.14583333333333334,0.1875
110,23,extinction,CS+,0.04166666666666666,0.04166666666666666,0.0
113,23,extinction,CS-,0.2916666666666667,0.14583333333333334,0.14583333333333334
115,24,acquisition,CS+,0.7083333333333334,0.10416666666666667,0.6041666666666667
118,24,acquisition,CS-,0.125,0.04166666666666666,0.08333333333333334
114,24,baseline,CS+,0.5416666666666666,0.10416666666666667,0.4375
117,24,baseline,CS-,0.3333333333333333,0.04166666666666666,0.29166666666666663
116,24,extinction,CS+,0.6666666666666666,0.10416666666666667,0.5625
119,24,extinction,CS-,0.3333333333333333,0.04166666666666666,0.29166666666666663
121,25,acquisition,CS+,0.75,0.08333333333333333,0.6666666666666666
124,25,acquisition,CS-,0.5416666666666666,0.0,0.5416666666666666
120,25,baseline,CS+,0.3333333333333333,0.08333333333333333,0.25
123,25,baseline,CS-,0.4583333333333333,0.0,0.4583333333333333
122,25,extinction,CS+,0.20833333333333331,0.08333333333333333,0.125
125,25,extinction,CS-,0.08333333333333333,0.0,0.08333333333333333
127,26,acquisition,CS+,0.9583333333333334,0.0625,0.8958333333333334
130,26,acquisition,CS-,0.7083333333333334,0.0625,0.6458333333333334
126,26,baseline,CS+,0.6666666666666666,0.0625,0.6041666666666666
129,26,baseline,CS-,0.7083333333333334,0.0625,0.6458333333333334
128,26,extinction,CS+,0.8333333333333334,0.0625,0.7708333333333334
131,26,extinction,CS-,0.5833333333333334,0.0625,0.5208333333333334
