stimulus	source_memory	typicality	trial_type	encode_phase	recognition_memory
tools/benchdogs.jpg	3	1	CS+	extinction	DN
animals/leopard.jpg	2	7	CS-	acquisition	DO
animals/hummingbird.jpg	2	7	CS-	acquisition	DO
tools/wrench.jpg	3	7	CS+	extinction	DO
tools/chisel.jpg	2	5	CS+	acquisition	DO
animals/ostrich.jpg	3	5	CS-	acquisition	DO
tools/airpump.jpg	3	7	CS+	baseline	MN
tools/measuringdevice.jpg	3	3	CS+	extinction	DN
animals/porcupine.jpg	2	4	CS-	acquisition	DO
tools/paintroller.jpg	2	5	CS+	acquisition	DO
tools/beadingtool.jpg	3	2	CS+	acquisition	DO
animals/cow.jpg	1	7	CS-	acquisition	DO
tools/wheelbarrow.jpg	3	4	CS+	acquisition	MO
tools/padlock.jpg	2	6	CS+	baseline	MO
animals/aardvark.jpg	3	2	CS-	baseline	DO
tools/plunger.jpg	2	4	CS+	acquisition	MO
animals/ant.jpg	2	5	CS-	extinction	DO
tools/sparkplug.jpg	2	4	CS+	extinction	DO
animals/pigeon.jpg	3	7	CS-	acquisition	DO
tools/mallet.jpg	2	5	CS+	extinction	MN
animals/marmot.jpg	1	3	CS-	baseline	DO
tools/transmissionwrench.jpg	1	6	CS+	acquisition	DO
animals/chipmunk.jpg	3	6	CS-	extinction	MO
animals/canary.jpg	3	4	CS-	baseline	DN
animals/catfish.jpg	2	1	CS-	extinction	DO
animals/hyena.jpg	2	1	CS-	baseline	DO
tools/treadmill.jpg	3	5	CS+	baseline	DO
animals/cricket.jpg	2	6	CS-	baseline	DO
tools/campingstove.jpg	2	5	CS+	baseline	MO
animals/boar.jpg	2	3	CS-	acquisition	DO
animals/herring.jpg	3	4	CS-	extinction	MO
tools/hairdryer.jpg	2	7	CS+	acquisition	DO
tools/bucket.jpg	2	7	CS+	baseline	MN
tools/blackboard.jpg	3	6	CS+	extinction	MN
animals/shark.jpg	1	3	CS-	extinction	DO
tools/paintbrush.jpg	1	7	CS+	baseline	MO
tools/weedeater.jpg	3	5	CS+	extinction	MN
animals/perch.jpg	3	2	CS-	baseline	MO
animals/pelican.jpg	3	2	CS-	acquisition	DO
tools/rake.jpg	3	7	CS+	acquisition	DO
animals/finch.jpg	1	7	CS-	baseline	MO
tools/solderingtorch.jpg	2	5	CS+	baseline	DO
animals/seal.jpg	3	6	CS-	extinction	DO
tools/camera.jpg	2	3	CS+	baseline	DO
animals/partridge.jpg	1	1	CS-	extinction	MN
animals/horse.jpg	2	7	CS-	baseline	DO
tools/eraser.jpg	3	4	CS+	extinction	DN
animals/anteater.jpg	2	2	CS-	extinction	MO
animals/herculesbeetle.jpg	2	1	CS-	acquisition	DN
animals/gerbil.jpg	2	4	CS-	acquisition	DO
animals/giraffe.jpg	2	3	CS-	acquisition	DO
animals/crow.jpg	3	7	CS-	acquisition	DO
animals/snapper.jpg	3	2	CS-	acquisition	MO
animals/quail.jpg	2	1	CS-	acquisition	DO
animals/tiger.jpg	2	2	CS-	acquisition	DO
animals/angelfish.jpg	3	1	CS-	acquisition	DO
animals/mahimahi.jpg	1	1	CS-	extinction	MO
animals/rabbit.jpg	1	5	CS-	extinction	DO
animals/snail.jpg	3	6	CS-	extinction	MN
animals/firebug.jpg	3	1	CS-	extinction	DO
animals/mouse.jpg	2	7	CS-	extinction	DO
animals/mink.jpg	1	2	CS-	extinction	MO
animals/palmcockatoo.jpg	3	2	CS-	extinction	MO
animals/carp.jpg	3	5	CS-	extinction	MN
animals/skunk.jpg	3	5	CS-	baseline	DO
animals/rhino.jpg	3	4	CS-	baseline	MO
animals/racoon.jpg	2	6	CS-	baseline	DO
animals/flamingo.jpg	2	3	CS-	baseline	DO
animals/goldfish.jpg	1	5	CS-	baseline	MN
animals/llama.jpg	2	5	CS-	baseline	MO
animals/halibut.jpg	3	1	CS-	baseline	DO
animals/reindeer.jpg	1	4	CS-	baseline	DO
tools/pliers.jpg	1	7	CS+	acquisition	DO
tools/faxmachine.jpg	2	7	CS+	acquisition	DO
tools/shoehorn.jpg	2	1	CS+	acquisition	DO
tools/gong.jpg	3	5	CS+	acquisition	DO
tools/cheesegrater.jpg	3	7	CS+	acquisition	DO
tools/reflexhammer.jpg	1	3	CS+	acquisition	MO
tools/scissors.jpg	1	7	CS+	acquisition	DO
tools/drillbit.jpg	1	5	CS+	acquisition	MN
tools/sander.jpg	2	3	CS+	extinction	MN
tools/beaker.jpg	1	4	CS+	extinction	MN
tools/levelmount.jpg	3	2	CS+	extinction	MN
tools/spoon.jpg	2	7	CS+	extinction	MN
tools/fan.jpg	3	7	CS+	extinction	DN
tools/pruner.jpg	2	5	CS+	extinction	MO
tools/viceclamp.jpg	3	2	CS+	extinction	MN
tools/ruler.jpg	2	6	CS+	extinction	MN
tools/chainsaw.jpg	2	5	CS+	baseline	DO
tools/hammer.jpg	1	7	CS+	baseline	DO
