onset	duration	trial_type	stimulus	response	response_time	recognition_memory
4.0169999999999995	4.5	CS-	animals/prayingmantis.jpg	1	2.286	DO
13.567	4.5	CS+	tools/ladder.jpg	2	1.589	DO
24.116999999999997	4.0	CS-	animals/flea.jpg	1	1.557	DO
35.167	4.5	CS-	animals/angelfish.jpg	1	0.9940000000000001	DO
46.717	5.0	CS+	tools/chisel.jpg	2	1.0490000000000002	DO
57.766999999999996	5.0	CS+	tools/paintroller.jpg	2	1.1640000000000001	DO
67.817	4.5	CS-	animals/herculesbeetle.jpg	1	0.998	DO
77.367	5.0	CS+	tools/scissors.jpg	2	0.958	DO
87.4	5.0	CS+	tools/plow.jpg	2	1.5930000000000002	DO
99.45	4.5	CS-	animals/dragonfly.jpg	1	0.7959999999999999	DO
110.0	4.5	CS-	animals/pike.jpg	1	0.92	DO
119.55	5.0	CS+	tools/drillbit.jpg	2	1.454	MN
131.6	4.0	CS-	animals/waterbuffalo.jpg	1	1.131	DO
142.634	4.5	CS+	tools/cheesegrater.jpg	2	1.3530000000000002	DN
152.184	5.0	CS-	animals/quail.jpg	1	1.41	DN
163.234	4.0	CS+	tools/stove.jpg	2	2.381	DO
172.28400000000002	4.5	CS+	tools/shoehorn.jpg	2	1.167	DN
183.834	5.0	CS-	animals/ostrich.jpg	1	1.0979999999999999	DO
193.88400000000001	5.0	CS+	tools/rake.jpg	2	1.234	DO
205.93400000000003	5.0	CS-	animals/snapper.jpg	1	1.3419999999999999	DO
217.984	4.5	CS+	tools/gardenhose.jpg	2	1.265	MN
227.53400000000002	4.0	CS-	animals/giraffe.jpg	1	1.198	DO
237.584	5.0	CS-	animals/boar.jpg	1	1.192	MO
247.63400000000001	4.5	CS+	tools/plunger.jpg	2	1.76	MO
257.16700000000003	4.0	CS+	tools/reflexhammer.jpg	2	1.376	DO
268.217	4.0	CS-	animals/pigeon.jpg	1	1.409	DO
279.267	4.0	CS+	tools/faxmachine.jpg	2	1.55	DO
289.317	4.0	CS+	tools/rollingpin.jpg	2	1.4580000000000002	DO
299.367	4.0	CS-	animals/caterpillarpeacockmoth.jpg	1	1.66	DO
310.4	5.0	CS-	animals/mole.jpg	1	1.13	DO
322.45	4.5	CS+	tools/ropeandpulley.jpg	2	1.097	DO
334.0	4.0	CS-	animals/hummingbird.jpg	1	0.997	DO
344.034	4.0	CS+	tools/wheelbarrow.jpg	2	1.3359999999999999	DO
355.084	4.5	CS-	animals/tiger.jpg	1	1.089	MO
364.634	4.0	CS+	tools/gong.jpg	2	1.505	DO
374.667	5.0	CS-	animals/pelican.jpg	1	1.1640000000000001	DO
385.717	4.0	CS-	animals/leopard.jpg	1	0.9690000000000001	DN
396.751	4.0	CS+	tools/weldinghelmet.jpg	2	1.9240000000000002	DO
405.784	5.0	CS+	tools/electricbreaker.jpg	2	1.197	DO
416.834	4.5	CS-	animals/crow.jpg	1	1.055	DO
426.384	5.0	CS-	animals/baboon.jpg	1	1.006	DO
438.434	4.5	CS+	tools/beadingtool.jpg	2	2.005	DO
448.98400000000004	4.0	CS-	animals/porcupine.jpg	1	1.198	DO
459.034	4.5	CS+	tools/hairdryer.jpg	2	1.4609999999999999	DO
469.584	5.0	CS-	animals/cow.jpg	1	1.0959999999999999	DO
480.634	4.0	CS+	tools/pliers.jpg	2	1.38	DO
490.684	4.5	CS-	animals/gerbil.jpg	1	1.179	MO
500.23400000000004	5.0	CS+	tools/transmissionwrench.jpg	2	1.788	DO
