onset	duration	trial_type	stimulus	response
8.033999999999999	5.0	CS+	stims2/tools/loom.jpg	2
20.1	5.0	CS-	stims2/animals/sparrow.jpg	2
32.167	4.0	CS+	stims2/tools/drill.jpg	1
42.233999999999995	5.0	CS+	stims2/tools/circularsaw.jpg	1
52.3	4.5	CS-	stims2/animals/moth.jpg	2
61.867	5.0	CS-	stims2/animals/chicken.jpg	1
72.934	5.0	CS+	stims2/tools/handdrill.jpg	2
85.0	4.0	CS-	stims2/animals/hippo.jpg	2
94.06700000000001	4.5	CS-	stims2/animals/koi.jpg	2
103.634	4.0	CS+	stims2/tools/trowel.jpg	2
112.7	4.5	CS+	stims2/tools/hoe.jpg	2
124.26700000000001	4.0	CS-	stims2/animals/bluejay.jpg	2
135.334	4.0	CS+	stims2/tools/generator.jpg	2
144.4	4.5	CS-	stims2/animals/dolphin.jpg	2
155.967	5.0	CS+	stims2/tools/computermouse.jpg	2
167.03400000000002	4.0	CS-	stims2/animals/springhare.jpg	2
177.101	4.5	CS-	stims2/animals/peacock.jpg	2
188.667	4.5	CS+	stims2/tools/saw.jpg	2
198.234	5.0	CS-	stims2/animals/rosechafer.jpg	2
209.301	4.5	CS+	stims2/tools/coathanger.jpg	1
219.86700000000002	5.0	CS-	stims2/animals/dog.jpg	2
230.93400000000003	4.5	CS+	stims2/tools/ducttape.jpg	2
242.50099999999998	4.0	CS+	stims2/tools/glove.jpg	2
251.567	4.0	CS-	stims2/animals/donkey.jpg	1
