onset	duration	trial_type	stimulus	memory_condition	encode_phase	response	low_confidence_accuracy	high_confidence_accuracy	response_time
4.033	3.0	CS-	animals/herculesbeetle.jpg	Old	acquisition	MO	H	M	2.073
11.117	3.0	CS+	tools/telephone.jpg	New	foil	DO	FA	FA	1.686
18.217	3.0	CS-	animals/malaysianjunglenymph.jpg	New	foil	DN	CR	CR	1.368
25.3	3.0	CS-	animals/racoon.jpg	Old	baseline	MO	H	M	1.65
32.367	3.0	CS-	animals/seal.jpg	Old	extinction	MO	H	M	1.662
39.433	3.0	CS-	animals/anteater.jpg	Old	extinction	MO	H	M	1.555
46.516999999999996	3.0	CS+	tools/duster.jpg	New	foil	DN	CR	CR	1.565
53.583	3.0	CS-	animals/cranebug.jpg	Old	baseline	DO	H	H	1.25
60.65	3.0	CS+	tools/stapler.jpg	New	foil	MN	CR	CR	1.761
67.7	3.0	CS+	tools/shoehorn.jpg	Old	acquisition	DO	H	H	1.236
74.783	3.0	CS+	tools/hammer.jpg	Old	baseline	MO	H	M	1.8769999999999998
81.867	3.0	CS+	tools/flashlight.jpg	New	foil	MN	CR	CR	1.376
88.95	3.0	CS-	animals/earthworm.jpg	New	foil	MN	CR	CR	2.285
96.03299999999999	3.0	CS-	animals/beardeddragon.jpg	New	foil	MO	FA	CR	1.3780000000000001
103.117	3.0	CS-	animals/cow.jpg	Old	acquisition	DO	H	H	1.26
110.2	3.0	CS-	animals/crab.jpg	New	foil	MN	CR	CR	2.3819999999999997
117.26700000000001	3.0	CS+	tools/airpump.jpg	Old	baseline	DO	H	H	2.444
124.333	3.0	CS+	tools/lawnmower.jpg	Old	extinction	DO	H	H	1.393
131.417	3.0	CS+	tools/weldinghelmet.jpg	Old	acquisition	DO	H	H	1.05
138.483	3.0	CS+	tools/routerplane.jpg	Old	extinction	MO	H	M	2.439
145.567	3.0	CS+	tools/pizzacutter.jpg	New	foil	MN	CR	CR	2.0709999999999997
152.65	3.0	CS+	tools/hedgeshears.jpg	New	foil	DO	FA	FA	1.7519999999999998
159.733	3.0	CS-	animals/caracal.jpg	New	foil	MO	FA	CR	1.757
166.817	3.0	CS+	tools/stove.jpg	Old	acquisition	DO	H	H	1.202
173.917	3.0	CS+	tools/eraser.jpg	Old	extinction	DO	H	H	1.472
181.017	3.0	CS-	animals/dove.jpg	New	foil	MO	FA	CR	1.9080000000000001
188.11700000000002	3.0	CS-	animals/armadillo.jpg	New	foil	MO	FA	CR	1.734
195.183	3.0	CS+	tools/battery.jpg	New	foil	MN	CR	CR	2.416
202.267	3.0	CS-	animals/stinkbug.jpg	New	foil	MO	FA	CR	1.847
209.333	3.0	CS-	animals/perch.jpg	Old	baseline	MO	H	M	1.556
216.417	3.0	CS+	tools/carabiner.jpg	New	foil	MN	CR	CR	1.298
223.483	3.0	CS+	tools/woodchipper.jpg	Old	extinction	MO	H	M	1.8
230.567	3.0	CS-	animals/canary.jpg	Old	baseline	DO	H	H	1.608
