onset	duration	trial_type	stimulus	response
8.016	5.0	CS+	stims2/tools/hoe.jpg	2
18.05	4.5	CS-	stims2/animals/donkey.jpg	2
29.583000000000002	4.5	CS+	stims2/tools/glove.jpg	2
39.116	4.0	CS+	stims2/tools/trowel.jpg	2
48.15	5.0	CS-	stims2/animals/moth.jpg	2
59.183	4.0	CS-	stims2/animals/peacock.jpg	2
70.21600000000001	4.5	CS+	stims2/tools/circularsaw.jpg	1
79.749	4.5	CS-	stims2/animals/rosechafer.jpg	2
90.28299999999999	4.0	CS-	stims2/animals/sparrow.jpg	2
101.316	4.0	CS+	stims2/tools/computermouse.jpg	2
110.35	4.5	CS+	stims2/tools/saw.jpg	1
119.883	5.0	CS-	stims2/animals/koi.jpg	2
129.916	5.0	CS+	stims2/tools/loom.jpg	2
140.95	5.0	CS-	stims2/animals/bluejay.jpg	2
151.983	4.0	CS+	stims2/tools/coathanger.jpg	2
162.033	4.5	CS-	stims2/animals/chicken.jpg	2
172.56599999999997	5.0	CS-	stims2/animals/dolphin.jpg	2
184.61599999999999	5.0	CS+	stims2/tools/generator.jpg	2
196.65	4.0	CS-	stims2/animals/dog.jpg	2
207.699	5.0	CS+	stims2/tools/ducttape.jpg	2
218.733	4.0	CS-	stims2/animals/springhare.jpg	2
229.766	4.0	CS+	stims2/tools/handdrill.jpg	2
238.799	4.5	CS+	stims2/tools/drill.jpg	2
249.333	4.5	CS-	stims2/animals/hippo.jpg	2
