onset	duration	trial_type	stimulus	response	response_time	recognition_memory
4.016	4.5	CS+	tools/edger.jpg	1	1.117	DO
13.383	4.5	CS-	animals/llama.jpg	2	0.511	DO
22.766	4.0	CS+	tools/bucket.jpg	2	0.963	DO
31.65	5.0	CS+	tools/carpetblower.jpg	2	1.216	DO
41.516999999999996	4.5	CS-	animals/horse.jpg	2	0.496	DO
50.9	4.5	CS-	animals/cricket.jpg	2	0.7759999999999999	MN
61.233000000000004	4.0	CS+	tools/workbench.jpg	2	1.273	DO
71.05	5.0	CS-	animals/reindeer.jpg	2	0.496	MN
80.916	5.0	CS+	tools/duffelbag.jpg	2	0.768	DO
92.7	4.5	CS-	animals/rhino.jpg	2	0.546	DO
103.05	4.0	CS-	animals/elephantafrican.jpg	2	0.527	DO
112.866	5.0	CS+	tools/monkeywrench.jpg	2	0.809	DO
124.65	4.0	CS-	animals/perch.jpg	2	0.6990000000000001	MO
133.516	4.5	CS+	tools/extensioncord.jpg	2	1.4609999999999999	DO
144.8	4.0	CS-	animals/racoon.jpg	2	0.938	DO
154.63299999999998	4.0	CS+	tools/jumpercables.jpg	2	1.074	DO
163.483	4.0	CS+	tools/videogamecontroller.jpg	2	1.15	DO
174.31599999999997	5.0	CS-	animals/caterpillarhawkmoth.jpg	2	0.6579999999999999	DO
186.1	4.5	CS+	tools/toaster.jpg	2	2.168	DN
196.45	5.0	CS-	animals/zebra.jpg	2	0.575	DO
206.31599999999997	5.0	CS+	tools/padlock.jpg	2	0.674	DO
218.1	4.0	CS-	animals/salmon.jpg	2	0.615	MO
226.95	4.0	CS-	animals/shrimp.jpg	2	0.5579999999999999	DO
237.766	4.0	CS+	tools/hammer.jpg	2	0.8220000000000001	DO
248.56599999999997	4.0	CS+	tools/measuringtape.jpg	2	0.934	DN
259.35	5.0	CS-	animals/canary.jpg	2	0.696	DO
270.166	5.0	CS+	tools/campingstove.jpg	2	1.3719999999999999	DN
281.01599999999996	4.5	CS+	tools/treadmill.jpg	2	1.103	MO
291.33299999999997	5.0	CS-	animals/cranebug.jpg	2	0.665	DO
303.116	5.0	CS-	animals/halibut.jpg	2	0.688	DO
313.966	4.0	CS+	tools/camera.jpg	2	0.795	DO
323.816	4.5	CS-	animals/goldfish.jpg	2	0.575	DO
334.15	4.5	CS+	tools/paintbrush.jpg	2	0.633	DO
345.45	4.0	CS-	animals/skunk.jpg	2	0.569	DO
356.283	5.0	CS+	tools/microwave.jpg	2	0.97	DO
368.083	4.0	CS-	animals/aardvark.jpg	2	0.5589999999999999	DO
376.95	4.5	CS-	animals/hyena.jpg	2	0.612	DO
388.25	4.5	CS+	tools/squeegee.jpg	2	0.633	MN
398.583	4.5	CS+	tools/airpump.jpg	2	1.031	DN
407.93300000000005	5.0	CS-	animals/flamingo.jpg	2	0.531	MO
418.76599999999996	4.5	CS-	animals/finch.jpg	2	0.562	DO
428.15	4.0	CS+	tools/chainsaw.jpg	1	0.813	DO
437.0	5.0	CS-	animals/cat.jpg	2	0.564	DO
448.816	4.5	CS+	tools/blower.jpg	2	1.079	DO
460.15	4.0	CS-	animals/marmot.jpg	2	0.5379999999999999	MO
469.983	5.0	CS+	tools/solderingtorch.jpg	2	0.759	DO
479.85	4.5	CS-	animals/starfish.jpg	2	0.659	DN
489.216	5.0	CS+	tools/screwdriver.jpg	2	0.608	DO
